,feature,rank_pvc,rank_lfc,rank_shap,avg_rank,group
65,pitch_mean,67.0,67.0,67.0,67.0,audio_speech
63,silence_stretch,67.0,67.0,67.0,67.0,audio_speech
69,time_pct,67.0,67.0,67.0,67.0,temporal
67,hook_has_question,67.0,67.0,67.0,67.0,hook
66,pitch_std,67.0,67.0,67.0,67.0,audio_speech
64,voiced_frac,67.0,67.0,67.0,67.0,audio_speech
68,hook_has_address,67.0,67.0,67.0,67.0,hook
62,edit_pace_x_screencast,63.0,62.0,62.0,62.333333333333336,interaction
61,is_ad,58.0,63.0,63.0,61.333333333333336,ad
60,neutral,61.0,61.0,61.0,61.0,emotion
59,visual_entropy,62.0,59.0,60.0,60.333333333333336,visual_quality
58,music_rolloff,60.0,60.0,59.0,59.666666666666664,audio_music
57,sad,56.0,58.0,57.0,57.0,emotion
55,speech_ratio,54.0,57.0,58.0,56.333333333333336,audio_speech
56,music_rms,59.0,55.0,55.0,56.333333333333336,audio_music
53,face_screen_ratio,49.0,56.0,56.0,53.666666666666664,visual_content
54,speaker_prob,55.0,52.0,54.0,53.666666666666664,visual_content
51,bumper_score,53.0,53.0,53.0,53.0,visual_content
52,music_centroid,57.0,51.0,51.0,53.0,audio_music
50,vocal_centroid,50.0,54.0,52.0,52.0,audio_vocal
49,angry,52.0,44.0,49.0,48.333333333333336,emotion
48,is_ad_x_viewer_address,51.0,47.0,46.0,48.0,interaction
47,music_only,45.0,49.0,48.0,47.333333333333336,audio_music
45,avg_word_length,40.0,50.0,44.0,44.666666666666664,text_complexity
46,radial_med,48.0,46.0,40.0,44.666666666666664,visual_motion
44,rms,31.0,48.0,50.0,43.0,audio_basic
43,screencast_prob,36.0,45.0,45.0,42.0,visual_content
42,zcr,46.0,37.0,42.0,41.666666666666664,audio_basic
41,surprise,47.0,34.0,41.0,40.666666666666664,emotion
39,loudness_variance,27.0,43.0,47.0,39.0,audio_loudness
40,n_ad_segments,43.0,38.0,36.0,39.0,ad
38,filler_density,30.0,42.0,43.0,38.333333333333336,unknown
37,happy,42.0,35.0,37.0,38.0,emotion
36,lexical_diversity,44.0,33.0,34.0,37.0,text_complexity
35,disgust,34.0,41.0,35.0,36.666666666666664,emotion
34,cultural_ref_density,38.0,30.0,39.0,35.666666666666664,unknown
33,wps,39.0,32.0,28.0,33.0,audio_speech
32,question_density,41.0,29.0,29.0,33.0,unknown
31,ad_segment_length,33.0,31.0,32.0,32.0,ad
30,vocal_zcr,26.0,39.0,31.0,32.0,audio_vocal
29,flow_mag_med,18.0,36.0,38.0,30.666666666666668,visual_motion
28,vocal_rms,17.0,40.0,33.0,30.0,audio_vocal
27,beat_sync_ratio,37.0,23.0,27.0,29.0,audio_music
26,brightness,29.0,25.0,26.0,26.666666666666668,visual_quality
25,fear,35.0,22.0,22.0,26.333333333333332,emotion
24,cinematic,28.0,27.0,23.0,26.0,visual_quality
23,vocal_rolloff,21.0,26.0,25.0,24.0,audio_vocal
22,music_zcr,12.0,28.0,30.0,23.333333333333332,audio_music
21,speech_complexity,32.0,19.0,18.0,23.0,text_complexity
20,loudness_change,19.0,24.0,24.0,22.333333333333332,audio_loudness
19,frame,24.0,20.0,20.0,21.333333333333332,visual_motion
18,syntactic_depth,25.0,18.0,17.0,20.0,text_complexity
17,ad_density_pct,14.0,21.0,21.0,18.666666666666668,ad
16,sentiment_polarity,23.0,15.0,14.0,17.333333333333332,unknown
15,sharpness,15.0,17.0,16.0,16.0,visual_quality
14,topic_shift,22.0,12.0,13.0,15.666666666666666,unknown
13,text_prob,13.0,14.0,19.0,15.333333333333334,visual_content
12,beat_sync,7.0,16.0,15.0,12.666666666666666,audio_music
11,hook_score_x_time_pct,16.0,11.0,9.0,12.0,interaction
9,edit_pace,10.0,13.0,12.0,11.666666666666666,visual_motion
10,rolloff,20.0,8.0,7.0,11.666666666666666,audio_basic
8,sentiment_intensity,11.0,10.0,10.0,10.333333333333334,unknown
7,scene_novelty,6.0,7.0,11.0,8.0,visual_motion
6,speech_rate_cv,4.0,9.0,8.0,7.0,audio_speech
5,hook_score,9.0,5.0,5.0,6.333333333333333,hook
4,pause_rate,3.0,6.0,6.0,5.0,audio_speech
3,centroid,8.0,3.0,3.0,4.666666666666667,audio_basic
2,radial_ratio,2.0,4.0,4.0,3.3333333333333335,visual_motion
1,viewer_address,5.0,2.0,2.0,3.0,text_content
0,motion_speed,1.0,1.0,1.0,1.0,visual_motion
