,feature,importance,shap_mean,group,method
0,motion_speed,1.1784315053409522,0.06754920941661649,visual_motion,SHAP_mean_abs
1,viewer_address,0.619384465299094,0.12793071883028062,text_content,SHAP_mean_abs
2,centroid,0.5260838456067326,-0.00471641392663016,audio_basic,SHAP_mean_abs
3,radial_ratio,0.4314417267376456,-0.030200208136947484,visual_motion,SHAP_mean_abs
4,hook_score,0.4306313678407617,0.006053338285581195,hook,SHAP_mean_abs
5,pause_rate,0.38515594788637647,-0.0066122126699059,audio_speech,SHAP_mean_abs
6,rolloff,0.3499153729270241,-0.017252031756833142,audio_basic,SHAP_mean_abs
7,speech_rate_cv,0.33531800187834543,0.00519756762504933,audio_speech,SHAP_mean_abs
8,hook_score_x_time_pct,0.3258999913469665,0.030772457679154878,interaction,SHAP_mean_abs
9,sentiment_intensity,0.3006487707862255,0.01140450832592226,unknown,SHAP_mean_abs
10,scene_novelty,0.2987893971518417,-0.01682017469935559,visual_motion,SHAP_mean_abs
11,edit_pace,0.27591140427988387,0.00039818447696636435,visual_motion,SHAP_mean_abs
12,topic_shift,0.2560904601774257,-0.0387043562113526,unknown,SHAP_mean_abs
13,sentiment_polarity,0.22234404310025854,-0.013283808015374543,unknown,SHAP_mean_abs
14,beat_sync,0.2221249167123993,-0.017030532447070264,audio_music,SHAP_mean_abs
15,sharpness,0.20889642657541402,-0.020866030331419344,visual_quality,SHAP_mean_abs
16,syntactic_depth,0.19045936090919774,-0.023064829225088245,text_complexity,SHAP_mean_abs
17,speech_complexity,0.16800638312539992,-0.027976817149393707,text_complexity,SHAP_mean_abs
18,text_prob,0.13792192762277058,0.023544384592130825,visual_content,SHAP_mean_abs
19,frame,0.12040580317039544,0.008127409702420674,visual_motion,SHAP_mean_abs
20,ad_density_pct,0.11624104798183338,0.015092710496395758,ad,SHAP_mean_abs
21,fear,0.110528884678261,-0.00824327706781466,emotion,SHAP_mean_abs
22,cinematic,0.10331697712494559,-0.00023455191506165608,visual_quality,SHAP_mean_abs
23,loudness_change,0.09669830075110077,-0.005474985268196108,audio_loudness,SHAP_mean_abs
24,vocal_rolloff,0.09648952310532093,0.012548004947731273,audio_vocal,SHAP_mean_abs
25,brightness,0.09521573748808766,-0.020662894834788708,visual_quality,SHAP_mean_abs
