,feature,rank_spearman,rank_pearson,rank_mi,avg_rank,group
69,question_density,64.0,65.0,52.0,60.333333333333336,unknown
68,lexical_diversity,66.0,62.0,52.0,60.0,text_complexity
65,voiced_frac,68.5,69.0,31.0,56.166666666666664,audio_speech
67,pitch_std,68.5,69.0,31.0,56.166666666666664,audio_speech
66,pitch_mean,68.5,69.0,31.0,56.166666666666664,audio_speech
64,loudness_variance,63.0,53.0,52.0,56.0,audio_loudness
63,loudness_change,55.0,60.0,52.0,55.666666666666664,audio_loudness
62,radial_med,58.0,56.0,52.0,55.333333333333336,visual_motion
61,avg_word_length,52.0,61.0,52.0,55.0,text_complexity
59,brightness,44.0,64.0,52.0,53.333333333333336,visual_quality
60,flow_mag_med,60.0,48.0,52.0,53.333333333333336,visual_motion
58,edit_pace_x_screencast,48.0,57.0,52.0,52.333333333333336,interaction
57,time_pct,61.0,63.0,31.0,51.666666666666664,temporal
56,hook_has_question,68.5,58.0,25.0,50.5,hook
55,radial_ratio,44.0,51.0,52.0,49.0,visual_motion
54,bumper_score,62.0,66.0,15.0,47.666666666666664,visual_content
53,n_ad_segments,59.0,31.0,52.0,47.333333333333336,ad
52,happy,35.0,52.0,52.0,46.333333333333336,emotion
51,speaker_prob,40.0,44.0,52.0,45.333333333333336,visual_content
49,visual_entropy,57.0,20.0,52.0,43.0,visual_quality
50,disgust,39.0,67.0,23.0,43.0,emotion
47,silence_stretch,29.0,47.0,52.0,42.666666666666664,audio_speech
48,speech_complexity,42.0,55.0,31.0,42.666666666666664,text_complexity
46,sentiment_polarity,30.0,42.0,52.0,41.333333333333336,unknown
45,screencast_prob,44.0,27.0,52.0,41.0,visual_content
43,ad_density_pct,53.5,15.5,52.0,40.333333333333336,ad
44,is_ad,53.5,15.5,52.0,40.333333333333336,ad
42,ad_segment_length,56.0,12.0,52.0,40.0,ad
41,is_ad_x_viewer_address,49.0,17.0,52.0,39.333333333333336,interaction
40,cultural_ref_density,50.0,40.0,28.0,39.333333333333336,unknown
39,face_screen_ratio,22.0,43.0,52.0,39.0,visual_content
38,angry,38.0,54.0,21.0,37.666666666666664,emotion
37,beat_sync_ratio,36.0,24.0,52.0,37.333333333333336,audio_music
36,sharpness,23.0,32.0,52.0,35.666666666666664,visual_quality
35,rms,32.0,22.0,52.0,35.333333333333336,audio_basic
32,filler_density,47.0,49.0,6.0,34.0,unknown
34,neutral,31.0,19.0,52.0,34.0,emotion
33,surprise,41.0,59.0,2.0,34.0,emotion
31,cinematic,37.0,11.0,52.0,33.333333333333336,visual_quality
30,hook_has_address,34.0,14.0,52.0,33.333333333333336,hook
29,viewer_address,51.0,28.0,18.0,32.333333333333336,text_content
27,sentiment_intensity,46.0,23.0,27.0,32.0,unknown
28,sad,18.0,26.0,52.0,32.0,emotion
26,hook_score_x_time_pct,9.0,30.0,52.0,30.333333333333332,interaction
25,text_prob,65.0,18.0,7.0,30.0,visual_content
24,beat_sync,17.0,21.0,52.0,30.0,audio_music
23,hook_score,8.0,29.0,52.0,29.666666666666668,hook
22,edit_pace,12.0,25.0,52.0,29.666666666666668,visual_motion
21,speech_ratio,33.0,39.0,11.0,27.666666666666668,audio_speech
20,music_only,25.0,46.0,12.0,27.666666666666668,audio_music
19,fear,24.0,50.0,4.0,26.0,emotion
18,vocal_rms,26.0,41.0,8.0,25.0,audio_vocal
17,music_rms,28.0,45.0,1.0,24.666666666666668,audio_music
16,music_rolloff,19.5,37.0,17.0,24.5,audio_music
15,music_zcr,21.0,38.0,14.0,24.333333333333332,audio_music
14,vocal_zcr,16.0,35.0,22.0,24.333333333333332,audio_vocal
13,zcr,13.0,7.0,52.0,24.0,audio_basic
12,wps,5.0,9.0,52.0,22.0,audio_speech
11,scene_novelty,7.0,6.0,52.0,21.666666666666668,visual_motion
10,vocal_centroid,11.0,34.0,19.0,21.333333333333332,audio_vocal
9,vocal_rolloff,10.0,33.0,20.0,21.0,audio_vocal
8,music_centroid,19.5,36.0,5.0,20.166666666666668,audio_music
7,centroid,3.0,4.0,52.0,19.666666666666668,audio_basic
6,syntactic_depth,15.0,10.0,24.0,16.333333333333332,text_complexity
5,topic_shift,27.0,8.0,13.0,16.0,unknown
4,rolloff,6.0,3.0,26.0,11.666666666666666,audio_basic
3,frame,14.0,5.0,10.0,9.666666666666666,visual_motion
2,speech_rate_cv,4.0,13.0,9.0,8.666666666666666,audio_speech
1,motion_speed,2.0,1.0,16.0,6.333333333333333,visual_motion
0,pause_rate,1.0,2.0,3.0,2.0,audio_speech
