,brightness,sharpness,speaker_prob,face_screen_ratio,text_prob,motion_speed,angry,disgust,fear,happy,sad,surprise,neutral,cinematic,edit_pace,scene_novelty,screencast_prob,bumper_score,visual_entropy,rms,zcr,centroid,rolloff,music_rms,music_zcr,music_centroid,music_rolloff,vocal_rms,vocal_zcr,vocal_centroid,vocal_rolloff,speech_ratio,silence_stretch,music_only,frame,flow_mag_med,radial_med,radial_ratio,wps,viewer_address,question_density,filler_density,pitch_mean,pitch_std,voiced_frac,pause_rate,speech_rate_cv,beat_sync,beat_sync_ratio,is_ad,ad_segment_length,n_ad_segments,ad_density_pct,syntactic_depth,lexical_diversity,avg_word_length,speech_complexity,cultural_ref_density,sentiment_polarity,sentiment_intensity,hook_score,hook_has_question,hook_has_address,topic_shift,loudness_change,loudness_variance,time_pct,edit_pace_x_screencast,hook_score_x_time_pct,is_ad_x_viewer_address
brightness,1.0,0.38421052631578945,0.638876761810459,0.6845108162254918,-0.02631578947368421,0.3334796284175473,0.40017555410105676,0.4305806298179249,0.4422992966380101,0.6458973855666179,0.303641977453872,0.638876761810459,0.6318561380543002,0.5157894736842105,-0.06842105263157894,0.2003518032622181,-0.2982456140350877,0.08421052631578947,0.45614035087719296,-0.06842105263157894,0.07894736842105264,-0.15438596491228068,-0.23157894736842102,0.1933387252989655,0.13475123278412746,0.12889248353264365,0.12889248353264365,0.2519262178138035,0.1503745641214176,0.13279831636696618,0.11522206861251477,0.1738095611273528,-0.3872983346207417,0.17185664471019152,-0.8,-0.6736842105263158,-0.3578947368421052,0.20350877192982456,-0.18070175438596495,-0.22280701754385965,-0.6133577134957379,-0.09298245614035087,,,,-0.18947368421052632,-0.30701754385964913,0.005272415875321529,0.04217932700257223,-0.20759761335815316,-0.2539284111891573,0.04774201134976091,-0.20759761335815316,0.22982456140350876,0.3736842105263158,0.23333333333333334,0.1701754385964912,-0.2508771929824561,-0.04035087719298246,-0.5052631578947369,-0.1940299255272839,-0.1252448582170299,0.23570226039551584,-0.6508771929824562,0.0035087719298245615,-0.12280701754385966,0.2581988897471611,-0.04035087719298246,-0.20877192982456141,-0.3412677955657898
sharpness,0.38421052631578945,1.0,0.2264151161361242,0.240456363648442,0.3298245614035088,0.1842913735991709,0.18078106172109146,0.44112546156856786,0.19131199735532975,0.21588418050188585,0.09477842070814503,0.22290480425804476,0.18604652953821058,0.5473684210526315,0.15789473684210528,0.01581724762596459,0.2912280701754386,-0.028070175438596492,0.09473684210526316,-0.2175438596491228,-0.14210526315789473,-0.27543859649122804,-0.29473684210526313,0.06054040893199929,-0.10350457010954717,-0.07811665668645071,-0.07811665668645071,0.054681659680515485,-0.12303373428115986,-0.11326915219535352,-0.11131623577819226,0.02929374625741901,-0.3442651863295481,0.07225790743496689,-0.2070175438596491,-0.3736842105263158,-0.06140350877192983,-0.007017543859649123,-0.1719298245614035,-0.5087719298245614,-0.33743461602057784,-0.40350877192982454,,,,-0.47719298245614034,-0.6789473684210526,0.13356786884147873,-0.23022882655570676,-0.2637291568841774,-0.276202833223294,-0.3033021897514223,-0.2637291568841774,0.3175438596491228,0.16666666666666666,0.29298245614035084,-0.37894736842105264,-0.2719298245614035,0.0,-0.4473684210526316,-0.27831441806402263,-0.03131121455425748,-0.37712361663282534,-0.41052631578947374,-0.15964912280701754,-0.2982456140350877,0.3872983346207417,0.3614035087719299,-0.28947368421052627,-0.36537910720902494
speaker_prob,0.6388767618104589,0.22641511613612417,0.9999999999999999,0.9596136962247587,0.07634928334822792,0.7190517998244074,0.8525021949078139,0.7191215043686854,0.9086918349429324,0.9841966637401228,0.8858647936786654,0.9244951712028096,0.9350307287093942,0.35454149968602394,0.19218957532484962,0.39648386121060764,-0.27555948242923645,0.19833262111148867,0.278192216337796,-0.08336990710438681,0.35717423359458356,0.052654678171191675,-0.049144366293112224,0.19342357881426378,0.3458179136376231,0.3438641401142467,0.3438641401142467,0.3282339519272355,0.2969735755532131,0.29306602850646024,0.2832971608895783,0.2305452757584154,-0.043052034905353274,0.3067424431700951,-0.3808688387716198,-0.5476086529803934,-0.45721812211984775,-0.03773585268935404,0.16498465826973394,-0.13339185136701892,-0.41494541572374016,0.08424748507390668,,,,0.08688021898246627,0.010530935634238335,0.1995606130705276,0.15032980103550758,0.04679681569390488,0.032534929006238625,0.2744029143537416,0.04679681569390488,-0.08951295289102583,0.2123738686238064,0.2702940146121173,0.3905221964363383,-0.35717423359458356,0.04563405441503279,-0.22114964831900505,-0.28546335647083676,-0.26626213096882495,-0.07074171199248533,-0.2448442534960413,-0.08424748507390668,-0.041246164567433484,0.36594229669550277,0.1219833377632607,-0.30276439948435213,-0.08628215838605234
face_screen_ratio,0.6845108162254918,0.240456363648442,0.9596136962247587,0.9999999999999999,0.1342694293365388,0.7998244073748902,0.7857769973661106,0.6734071789075953,0.8718173836698858,0.9736611062335382,0.8173836698858647,0.9139596136962247,0.9385425812115891,0.47564725947976483,0.151820988726936,0.43340697023687264,-0.32996931653946787,0.19131199735532975,0.22553753816660435,-0.06757350365302932,0.45019749836368883,0.15094341075741616,0.036858274719834175,0.1445792407298537,0.2598518786090614,0.25789810508568506,0.25789810508568506,0.277435840319449,0.21296131404802776,0.20709999347789856,0.19537735233764017,0.15044056129998293,-0.12915610471605982,0.2110075405246514,-0.43352351694281144,-0.6020184870906248,-0.5098728002910394,0.0587977239578307,0.240456363648442,-0.22114964831900505,-0.4817586606284102,0.07547170537870808,,,,0.12549364964134016,-0.0017551559390397225,0.17670345033998255,0.18725291006177258,-0.05927596654561284,-0.0806687965771122,0.18449615743237913,-0.05927596654561284,-0.06669592568350946,0.28258010618539536,0.20710840080668727,0.34664329796034515,-0.3554190776555438,0.02106187126847667,-0.24572183146556117,-0.3724198865957994,-0.2975870875533926,-0.07074171199248533,-0.2922334638501138,-0.00702062375615889,0.014918825481837641,0.36594229669550277,0.06581834771398959,-0.38876704049729854,-0.19761397565837796
text_prob,-0.02631578947368421,0.3298245614035088,0.07634928334822792,0.1342694293365388,1.0,0.08688021898246627,-0.041246164567433484,0.11599314925707362,-0.08688021898246627,0.13777974121461822,0.03949100862839376,-0.06932865959206903,-0.025449761116075977,0.3929824561403509,-0.19824561403508772,-0.1476276445090028,0.26491228070175443,0.09824561403508772,-0.256140350877193,0.3245614035087719,0.38245614035087716,0.31578947368421056,0.3456140350877193,-0.017576247754451407,-0.0058587492514838024,-0.013670414920128871,-0.013670414920128871,0.025387913423096476,-0.013670414920128871,-0.025387913423096476,-0.02343499700593521,-0.21872663872206194,-0.043033148291193514,-0.011717498502967605,-0.10701754385964912,-0.019298245614035085,-0.23333333333333334,0.13859649122807016,0.1087719298245614,-0.18947368421052632,-0.10544831750643056,-0.11403508771929824,,,,0.02280701754385965,-0.10175438596491228,-0.16695983605184841,-0.17398972388561046,0.05524056664465879,0.017819537627309288,0.1376093268316638,0.05524056664465879,-0.20350877192982456,-0.22982456140350876,-0.09649122807017543,-0.1754385964912281,-0.13684210526315788,-0.18596491228070175,-0.2719298245614035,-0.13784026383612477,-0.03131121455425748,-0.3299831645537222,0.03508771929824562,0.38421052631578945,0.4070175438596491,0.2151657414559676,-0.1649122807017544,-0.14210526315789473,0.012983013961742002
motion_speed,0.33347962841754725,0.18429137359917086,0.7190517998244074,0.7998244073748902,0.08688021898246627,0.9999999999999999,0.6014047410008778,0.5292312293764652,0.7980684811237928,0.7383669885864793,0.6716417910447762,0.7208077260755048,0.7559262510974538,0.22817027207516394,0.29574377572819327,0.4984619718545777,-0.22992542801420368,0.20886355674572699,-0.05177710020167182,-0.20974113471524686,0.5397104512547146,0.303641977453872,0.17902590578205166,0.03321414989739883,0.24812923746880303,0.26375942565581423,0.26375942565581423,0.19342357881426378,0.1269952790194661,0.13481037311297173,0.14067169368310095,0.09768867616882008,0.12915610471605982,0.15239433482335935,-0.1720052820258928,-0.2808249502463556,-0.27994737227683575,0.11671786994614154,0.5177710020167181,-0.04738921035407251,-0.3340662245233501,0.22641511613612417,,,,0.2764370603987563,-0.01404124751231778,0.37890142834095764,0.3015387237144976,0.07264648531529995,0.04412271193996746,0.19667103076548031,0.07264648531529995,0.13163669542797918,0.2597630789778789,-0.10004388852526418,0.1290039615194196,-0.5555068547060722,0.1474330988793367,0.12988153948893946,-0.33113749350617067,-0.39156195730709553,-0.04716114132832356,-0.17814832781253184,-0.09828873258622445,0.021939449237996532,0.36594229669550277,0.16761739217829352,-0.3326020504480274,-0.0027832954318081403
angry,0.4001755541010567,0.18078106172109143,0.8525021949078139,0.7857769973661106,-0.041246164567433484,0.6014047410008778,0.9999999999999999,0.6523082594640153,0.8595258999122036,0.8050921861281826,0.884108867427568,0.8683055311676909,0.7769973661106233,0.16673981420877362,0.5028521765348806,0.35252777903648264,0.015796403451357504,0.2738043264901967,0.3396226742041863,-0.10969724618998265,0.044756476445512915,-0.2439666755265214,-0.32996931653946787,0.08010471445843248,0.15630188187011215,0.16802452301037055,0.16802452301037055,0.16020942891686496,0.08791980855193808,0.09573490264544368,0.09964244969219647,0.04298301751428084,0.043052034905353274,0.14848678777660654,-0.15971919045261473,-0.27731463836827613,-0.12373849370230043,-0.09565599867766487,0.017551559390397226,-0.07371654943966835,-0.19516500485311508,-0.13690216324509835,,,,-0.09039053086054571,-0.049144366293112224,0.4545058896804527,0.13978034131371753,0.2767697385325231,0.2963798327280642,0.2659741558923638,0.2767697385325231,-0.2351908958313228,0.13514700730605864,0.3018868215148323,0.41333922364385467,-0.11320755806806208,0.1930671532943695,0.010530935634238335,-0.34079933018672204,-0.20361221779968966,-0.33012798929826487,-0.13953489715365794,-0.32996931653946787,-0.2308030059837235,0.36594229669550277,0.4414217186684902,-0.3483984538993849,0.0009277651439360467
disgust,0.43058062981792483,0.44112546156856786,0.7191215043686854,0.6734071789075952,0.11599314925707362,0.5292312293764652,0.6523082594640153,1.0,0.6171433937247153,0.6945060983511752,0.6874731252033153,0.6698906923336653,0.6874731252033153,0.46397259702829446,0.39543119064911464,0.2658450704225353,0.05096668679477477,0.13356786884147873,0.16344489213496738,-0.4762749007373781,0.2776805694336005,0.05272415875321528,-0.02636207937660764,0.1975915145283183,0.34431788670281205,0.3599686997347581,0.3599686997347581,0.27780193131704156,0.3345361285578458,0.3580123481057648,0.3697504578797243,0.30910355738093354,0.12932653290286591,0.4499608746684476,-0.06502646246229886,-0.43058062981792483,-0.08963106988046599,-0.3936737186906741,0.23901618634790928,-0.17926213976093197,-0.22359154929577468,0.06151151854541783,,,,-0.08611612596358496,-0.13532534079991923,0.30105633802816906,-0.0369718309859155,0.03302413259660585,0.03302413259660585,0.20724595808128077,0.03302413259660585,0.014059775667524076,-0.02460460741816713,0.28998287314268406,0.27592309747516,-0.2548334339738739,0.41124843827507923,-0.21792652284662317,-0.3676342670787814,-0.12546516596551385,-0.23611686451611244,-0.047451742877893756,-0.31810242447773224,-0.32337484035305375,0.3448707544076424,0.31634495251929173,-0.37609899910626904,-0.16536010932300516
fear,0.4422992966380101,0.19131199735532975,0.9086918349429324,0.8718173836698858,-0.08688021898246627,0.7980684811237928,0.8595258999122036,0.6171433937247153,0.9999999999999999,0.8770851624231782,0.8683055311676909,0.9332748024582966,0.8683055311676909,0.1474330988793367,0.3431329860822658,0.4914289987067177,-0.2597630789778789,0.1965774651724489,0.1904344193858099,-0.0974111546167046,0.2764370603987563,0.03334796284175473,-0.07371654943966835,0.17583961710387616,0.3165113107869771,0.3282339519272355,0.3282339519272355,0.29306602850646024,0.2207764081415334,0.2266377287116626,0.2266377287116626,0.20514621995452217,0.08610406981070655,0.277435840319449,-0.22641511613612417,-0.3773585268935404,-0.3378675182651466,-0.09390084273862515,0.23870120770940226,-0.1404124751231778,-0.3340662245233501,0.09828873258622445,,,,0.06055287989687043,-0.04738921035407251,0.36131899547130764,0.2681321012621626,0.05927596654561284,0.055710494873696274,0.19948061691927288,0.05927596654561284,0.01930671532943695,0.19833262111148867,0.15269856669645585,0.30978502324051105,-0.3326020504480274,0.10530935634238335,0.012286091573278056,-0.20289857029157937,-0.23493717438425732,-0.09432228265664712,-0.23957878567892213,-0.1544537226354956,-0.05353225614071153,0.36594229669550277,0.26590612476451797,-0.21500660253236603,-0.039893901189250014
happy,0.6458973855666179,0.21588418050188585,0.9841966637401228,0.9736611062335382,0.13777974121461822,0.7383669885864793,0.8050921861281826,0.6945060983511753,0.8770851624231782,0.9999999999999999,0.8788410886742756,0.8999122036874452,0.9561018437225637,0.3931549303448978,0.1448003649707771,0.3648354820452376,-0.27555948242923645,0.15269856669645585,0.2939886197891535,-0.032470384872234866,0.39929797613153684,0.09302326476910529,-0.010530935634238335,0.19733112586101656,0.32628017840385903,0.3204188578337299,0.3204188578337299,0.3380028195441175,0.27938961384282546,0.27352829327269623,0.25594433156230867,0.20123867290776937,-0.12915610471605982,0.27352829327269623,-0.41421680161337454,-0.5458534970413538,-0.5362001393766352,0.002632733908559584,0.20008777705052835,-0.17025012608685308,-0.48527514720234016,0.08424748507390668,,,,0.06757350365302932,0.01404124751231778,0.16087926075729755,0.13626385473978755,0.045905447775925735,0.024512617744426365,0.2996891897378748,0.045905447775925735,-0.11935060385470113,0.2351908958313228,0.27555948242923645,0.4344010949123313,-0.3220711148137891,-0.03159280690271501,-0.26151823491691867,-0.2643829855314519,-0.26626213096882495,-0.07074171199248533,-0.23957878567892213,-0.015796403451357504,0.0043878898475993066,0.36594229669550277,0.07108381553110876,-0.2817025282158755,-0.06216026464371513
