,feature,mutual_information,group,method
0,music_rms,0.18740277180679699,audio_music,mutual_information
1,surprise,0.16241000141928974,emotion,mutual_information
2,pause_rate,0.1448581818937862,audio_speech,mutual_information
3,fear,0.13874536196517706,emotion,mutual_information
4,music_centroid,0.13731849935410279,audio_music,mutual_information
5,filler_density,0.13125709000322083,unknown,mutual_information
6,text_prob,0.12735017820157224,visual_content,mutual_information
7,vocal_rms,0.1271354806184528,audio_vocal,mutual_information
8,speech_rate_cv,0.12559752339164132,audio_speech,mutual_information
9,frame,0.11175531984355547,visual_motion,mutual_information
10,speech_ratio,0.10770890616091933,audio_speech,mutual_information
11,music_only,0.10567441244685827,audio_music,mutual_information
12,topic_shift,0.10095807615157537,unknown,mutual_information
13,music_zcr,0.09205893435769608,audio_music,mutual_information
14,bumper_score,0.08790387888685158,visual_content,mutual_information
15,motion_speed,0.07992311695872067,visual_motion,mutual_information
16,music_rolloff,0.0776080343804808,audio_music,mutual_information
17,viewer_address,0.0715133980226863,text_content,mutual_information
18,vocal_centroid,0.06335291815168032,audio_vocal,mutual_information
19,vocal_rolloff,0.053327855495038934,audio_vocal,mutual_information
20,angry,0.051328517543687724,emotion,mutual_information
21,vocal_zcr,0.04407365939873742,audio_vocal,mutual_information
22,disgust,0.025101601185192335,emotion,mutual_information
23,syntactic_depth,0.023132027930789834,text_complexity,mutual_information
24,hook_has_question,0.01900584795321647,hook,mutual_information
25,rolloff,0.014167454492532539,audio_basic,mutual_information
26,sentiment_intensity,0.013409492124662803,unknown,mutual_information
27,cultural_ref_density,0.006490993526597544,unknown,mutual_information
28,pitch_mean,1.1102230246251565e-16,audio_speech,mutual_information
29,speech_complexity,1.1102230246251565e-16,text_complexity,mutual_information
30,time_pct,1.1102230246251565e-16,temporal,mutual_information
31,pitch_std,1.1102230246251565e-16,audio_speech,mutual_information
32,voiced_frac,1.1102230246251565e-16,audio_speech,mutual_information
33,sharpness,0.0,visual_quality,mutual_information
34,speaker_prob,0.0,visual_content,mutual_information
35,face_screen_ratio,0.0,visual_content,mutual_information
36,brightness,0.0,visual_quality,mutual_information
37,centroid,0.0,audio_basic,mutual_information
38,radial_ratio,0.0,visual_motion,mutual_information
39,radial_med,0.0,visual_motion,mutual_information
40,flow_mag_med,0.0,visual_motion,mutual_information
41,silence_stretch,0.0,audio_speech,mutual_information
42,visual_entropy,0.0,visual_quality,mutual_information
43,happy,0.0,emotion,mutual_information
44,neutral,0.0,emotion,mutual_information
45,sad,0.0,emotion,mutual_information
46,cinematic,0.0,visual_quality,mutual_information
47,edit_pace,0.0,visual_motion,mutual_information
48,scene_novelty,0.0,visual_motion,mutual_information
49,screencast_prob,0.0,visual_content,mutual_information
50,zcr,0.0,audio_basic,mutual_information
51,rms,0.0,audio_basic,mutual_information
52,wps,0.0,audio_speech,mutual_information
53,question_density,0.0,unknown,mutual_information
54,ad_density_pct,0.0,ad,mutual_information
55,n_ad_segments,0.0,ad,mutual_information
56,ad_segment_length,0.0,ad,mutual_information
57,is_ad,0.0,ad,mutual_information
58,beat_sync,0.0,audio_music,mutual_information
59,beat_sync_ratio,0.0,audio_music,mutual_information
60,lexical_diversity,0.0,text_complexity,mutual_information
61,avg_word_length,0.0,text_complexity,mutual_information
62,hook_score,0.0,hook,mutual_information
63,sentiment_polarity,0.0,unknown,mutual_information
64,loudness_change,0.0,audio_loudness,mutual_information
65,hook_has_address,0.0,hook,mutual_information
66,loudness_variance,0.0,audio_loudness,mutual_information
67,edit_pace_x_screencast,0.0,interaction,mutual_information
68,hook_score_x_time_pct,0.0,interaction,mutual_information
69,is_ad_x_viewer_address,0.0,interaction,mutual_information
