,feature,correlation,abs_correlation,p_value,significant,group,method
0,motion_speed,-0.5106510273786169,0.5106510273786169,0.025474129055720492,True,visual_motion,pearson
1,pause_rate,-0.5032282733429373,0.5032282733429373,0.028067630468626,True,audio_speech,pearson
2,rolloff,-0.50105972421087,0.50105972421087,0.02886300448541713,True,audio_basic,pearson
3,centroid,-0.4954337640577377,0.4954337640577377,0.03100869634649211,True,audio_basic,pearson
4,frame,-0.4575167880600841,0.4575167880600841,0.04888426206648449,True,visual_motion,pearson
5,scene_novelty,-0.4026780527437816,0.4026780527437816,0.08739314500612251,False,visual_motion,pearson
6,zcr,-0.3952422038847479,0.3952422038847479,0.09396144203593049,False,audio_basic,pearson
7,topic_shift,-0.35399986751408075,0.35399986751408075,0.13703126666324356,False,unknown,pearson
8,wps,-0.35258710900597773,0.35258710900597773,0.13871624438007754,False,audio_speech,pearson
9,syntactic_depth,0.3075420467054706,0.3075420467054706,0.20024590942847278,False,text_complexity,pearson
10,cinematic,-0.30549539119261415,0.30549539119261415,0.2034114984920549,False,visual_quality,pearson
11,ad_segment_length,0.2966597299559725,0.2966597299559725,0.21745640130214325,False,ad,pearson
12,speech_rate_cv,-0.2860234833279654,0.2860234833279654,0.2351845099479296,False,audio_speech,pearson
13,hook_has_address,0.28595586632156844,0.28595586632156844,0.23530009515338815,False,hook,pearson
14,ad_density_pct,0.27889514226988926,0.27889514226988926,0.24757098809047048,False,ad,pearson
15,is_ad,0.27889514226988926,0.27889514226988926,0.24757098809047048,False,ad,pearson
16,is_ad_x_viewer_address,0.2757846834305045,0.2757846834305045,0.25310334692143194,False,interaction,pearson
17,text_prob,-0.24189231570328118,0.24189231570328118,0.31841378954605987,False,visual_content,pearson
18,neutral,-0.23769310419935166,0.23769310419935166,0.32714463936710786,False,emotion,pearson
19,visual_entropy,0.23538440406267747,0.23538440406267747,0.3320043358870194,False,visual_quality,pearson
20,beat_sync,-0.23466075743484793,0.23466075743484793,0.3335362498252815,False,audio_music,pearson
21,rms,0.22746175232012525,0.22746175232012525,0.3490007390732449,False,audio_basic,pearson
22,sentiment_intensity,-0.20932531881706373,0.20932531881706373,0.3897498978461323,False,unknown,pearson
23,beat_sync_ratio,-0.20667720223177743,0.20667720223177743,0.39591097818460064,False,audio_music,pearson
24,edit_pace,-0.19727898372189023,0.19727898372189023,0.41820308495976255,False,visual_motion,pearson
25,sad,-0.19519728545639584,0.19519728545639584,0.4232298258846368,False,emotion,pearson
26,screencast_prob,0.19482756092323322,0.19482756092323322,0.4241259573854069,False,visual_content,pearson
