,feature,correlation,abs_correlation,p_value,significant,group,method
0,pause_rate,-0.5578947368421052,0.5578947368421052,0.013059921195492315,True,audio_speech,spearman
1,motion_speed,-0.50636248841296,0.50636248841296,0.02694847955801335,True,visual_motion,spearman
2,centroid,-0.5017543859649122,0.5017543859649122,0.028606325778109072,True,audio_basic,spearman
3,speech_rate_cv,-0.4736842105263158,0.4736842105263158,0.040494108368515275,True,audio_speech,spearman
4,wps,-0.4666666666666667,0.4666666666666667,0.043987700236935864,True,audio_speech,spearman
5,rolloff,-0.443859649122807,0.443859649122807,0.056951700558556854,False,audio_basic,spearman
6,scene_novelty,-0.43761051765168685,0.43761051765168685,0.06096167912376196,False,visual_motion,spearman
7,hook_score,0.3871818875906434,0.3871818875906434,0.10147952354173176,False,hook,spearman
8,hook_score_x_time_pct,0.38070175438596493,0.38070175438596493,0.10783179176413282,False,interaction,spearman
9,vocal_rolloff,-0.37886578492928585,0.37886578492928585,0.10968235711030037,False,audio_vocal,spearman
10,vocal_centroid,-0.3710541192606408,0.3710541192606408,0.11781124378818901,False,audio_vocal,spearman
11,edit_pace,-0.3701754385964912,0.3701754385964912,0.11875173008045042,False,visual_motion,spearman
12,zcr,-0.368421052631579,0.368421052631579,0.12064548315260958,False,audio_basic,spearman
13,frame,-0.356140350877193,0.356140350877193,0.1345057418260472,False,visual_motion,spearman
14,syntactic_depth,0.3508771929824562,0.3508771929824562,0.14077495590862724,False,text_complexity,spearman
15,vocal_zcr,-0.34957203867186687,0.34957203867186687,0.1423606279528285,False,audio_vocal,spearman
16,beat_sync,-0.34094955993745885,0.34094955993745885,0.15314990309107065,False,audio_music,spearman
17,sad,-0.33962267420418635,0.33962267420418635,0.15485898933968634,False,emotion,spearman
18,music_rolloff,-0.33394870733457677,0.33394870733457677,0.16231561614869316,False,audio_music,spearman
19,music_centroid,-0.33394870733457677,0.33394870733457677,0.16231561614869316,False,audio_music,spearman
20,music_zcr,-0.3319957909174155,0.3319957909174155,0.16493804349868416,False,audio_music,spearman
21,face_screen_ratio,-0.3080298673014713,0.3080298673014713,0.19949624012378744,False,visual_content,spearman
22,sharpness,0.2982456140350877,0.2982456140350877,0.21489010690621158,False,visual_quality,spearman
23,fear,-0.29749893166723296,0.29749893166723296,0.2160959145521679,False,emotion,spearman
24,music_only,-0.2968432954085127,0.2968432954085127,0.2171583340710674,False,audio_music,spearman
25,vocal_rms,-0.28512579690554507,0.28512579690554507,0.23672200027581108,False,audio_vocal,spearman
26,topic_shift,-0.2771929824561403,0.2771929824561403,0.25058889481209135,False,unknown,spearman
27,music_rms,-0.2753612148197387,0.2753612148197387,0.2538625403348041,False,audio_music,spearman
28,silence_stretch,-0.2581988897471611,0.2581988897471611,0.28584217133949386,False,audio_speech,spearman
29,sentiment_polarity,-0.256140350877193,0.256140350877193,0.28983671332206656,False,unknown,spearman
30,neutral,-0.24659940943508105,0.24659940943508105,0.30879359682151936,False,emotion,spearman
31,rms,0.2368421052631579,0.2368421052631579,0.32893104152682695,False,audio_basic,spearman
32,speech_ratio,-0.23630288647651335,0.23630288647651335,0.33006592661332523,False,audio_speech,spearman
33,hook_has_address,0.23570226039551584,0.23570226039551584,0.3313327620386788,False,hook,spearman
34,happy,-0.22378238222756464,0.22378238222756464,0.3570614873800503,False,emotion,spearman
35,beat_sync_ratio,-0.20913916305442065,0.20913916305442065,0.3901812659483875,False,audio_music,spearman
36,cinematic,-0.20175438596491227,0.20175438596491227,0.4075051414152553,False,visual_quality,spearman
37,angry,-0.1974550431419688,0.1974550431419688,0.41777941958305703,False,emotion,spearman
38,disgust,-0.19683685934533707,0.19683685934533707,0.4192680155734966,False,emotion,spearman
39,speaker_prob,-0.19218957532484962,0.19218957532484962,0.4305490280374146,False,visual_content,spearman
40,surprise,-0.19043441938580993,0.19043441938580993,0.43485078274271016,False,emotion,spearman
41,speech_complexity,-0.18771929824561404,0.18771929824561404,0.44154950238237817,False,text_complexity,spearman
42,radial_ratio,-0.1842105263157895,0.1842105263157895,0.4502851887980263,False,visual_motion,spearman
43,brightness,0.1842105263157895,0.1842105263157895,0.4502851887980263,False,visual_quality,spearman
44,screencast_prob,0.1842105263157895,0.1842105263157895,0.4502851887980263,False,visual_content,spearman
45,sentiment_intensity,-0.18070175438596495,0.18070175438596495,0.4591089856621523,False,unknown,spearman
46,filler_density,-0.16140350877192983,0.16140350877192983,0.5091713427471696,False,unknown,spearman
47,edit_pace_x_screencast,-0.15964912280701754,0.15964912280701754,0.5138473123904942,False,interaction,spearman
48,is_ad_x_viewer_address,0.15579616754090403,0.15579616754090403,0.524187302121326,False,interaction,spearman
49,cultural_ref_density,0.15087719298245614,0.15087719298245614,0.5375272100958033,False,unknown,spearman
50,viewer_address,0.14385964912280702,0.14385964912280702,0.5568219628907939,False,text_content,spearman
51,avg_word_length,0.1280701754385965,0.1280701754385965,0.6013177937232191,False,text_complexity,spearman
52,ad_density_pct,0.11137211017068302,0.11137211017068302,0.6498870572671914,False,ad,spearman
53,is_ad,0.11137211017068302,0.11137211017068302,0.6498870572671914,False,ad,spearman
54,loudness_change,0.1087719298245614,0.1087719298245614,0.6575797528910041,False,audio_loudness,spearman
55,ad_segment_length,0.09889843383156653,0.09889843383156653,0.6870864377796466,False,ad,spearman
56,visual_entropy,0.07368421052631578,0.07368421052631578,0.7643412715216654,False,visual_quality,spearman
57,radial_med,-0.07017543859649124,0.07017543859649124,0.7752817747006227,False,visual_motion,spearman
58,n_ad_segments,0.04961424708896722,0.04961424708896722,0.8401473275024199,False,ad,spearman
59,flow_mag_med,0.04912280701754386,0.04912280701754386,0.8417115685641903,False,visual_motion,spearman
60,time_pct,0.043033148291193514,0.043033148291193514,0.8611401754548696,False,temporal,spearman
61,bumper_score,0.028070175438596492,0.028070175438596492,0.9091820663410366,False,visual_content,spearman
62,loudness_variance,-0.01754385964912281,0.01754385964912281,0.9431706684765945,False,audio_loudness,spearman
63,question_density,-0.007029887833762038,0.007029887833762038,0.9772135721410421,False,unknown,spearman
64,text_prob,-0.007017543859649123,0.007017543859649123,0.9772535735987998,False,visual_content,spearman
65,lexical_diversity,-0.005263157894736842,0.005263157894736842,0.9829392613354335,False,text_complexity,spearman
66,pitch_std,0.0,0.0,1.0,False,audio_speech,spearman
67,pitch_mean,0.0,0.0,1.0,False,audio_speech,spearman
68,voiced_frac,0.0,0.0,1.0,False,audio_speech,spearman
69,hook_has_question,0.0,0.0,1.0,False,hook,spearman
