,feature,correlation,abs_correlation,p_value,significant,group,method
0,frame,-0.7097854014300718,0.7097854014300718,0.0,True,visual_motion,spearman
1,time_pct,-0.6396361401824443,0.6396361401824443,0.0,True,temporal,spearman
2,hook_score_x_time_pct,-0.46198198301981447,0.46198198301981447,0.0,True,interaction,spearman
3,hook_score,0.2802619550838655,0.2802619550838655,0.0,True,hook,spearman
4,scene_novelty,-0.27207608114996035,0.27207608114996035,0.0,True,visual_motion,spearman
5,syntactic_depth,0.22175703703968166,0.22175703703968166,1.0931615365715246e-240,True,text_complexity,spearman
6,hook_has_address,0.218968664463141,0.218968664463141,1.4101056617587002e-234,True,hook,spearman
7,edit_pace,-0.20216015214540953,0.20216015214540953,1.5727063653337379e-199,True,visual_motion,spearman
8,edit_pace_x_screencast,-0.18585226932183918,0.18585226932183918,2.0591422582109467e-168,True,interaction,spearman
9,ad_density_pct,0.17328760824532366,0.17328760824532366,2.423565076128849e-146,True,ad,spearman
10,beat_sync_ratio,-0.15826347672999908,0.15826347672999908,4.316904765461122e-122,True,audio_music,spearman
11,cinematic,-0.1566437627436602,0.1566437627436602,1.293554382903203e-119,True,visual_quality,spearman
12,topic_shift,-0.1536290256032392,0.1536290256032392,4.471931630988464e-115,True,unknown,spearman
13,n_ad_segments,0.14652195142322158,0.14652195142322158,9.689462640283765e-105,True,ad,spearman
14,pause_rate,-0.13310152639100412,0.13310152639100412,1.3177319545967069e-86,True,audio_speech,spearman
15,beat_sync,-0.12711971498643837,0.12711971498643837,4.206540521842473e-79,True,audio_music,spearman
16,rms,0.12323850248499896,0.12323850248499896,2.0104611035656984e-74,True,audio_basic,spearman
17,speech_complexity,0.11651285365416912,0.11651285365416912,1.1491091189656665e-66,True,text_complexity,spearman
18,speech_rate_cv,-0.11619341114735748,0.11619341114735748,2.616548446143153e-66,True,audio_speech,spearman
19,flow_mag_med,-0.10166937050583552,0.10166937050583552,4.0923564059214865e-51,True,visual_motion,spearman
20,wps,-0.09462887628613416,0.09462887628613416,1.7332774436830795e-44,True,audio_speech,spearman
21,visual_entropy,0.0885265131409058,0.0885265131409058,3.9365680800335644e-39,True,visual_quality,spearman
22,text_prob,-0.08253523803503679,0.08253523803503679,3.2000555805670403e-34,True,visual_content,spearman
23,zcr,-0.07863172058501104,0.07863172058501104,3.303510370976163e-31,True,audio_basic,spearman
24,centroid,-0.07594663817746501,0.07594663817746501,3.217025689222663e-29,True,audio_basic,spearman
25,viewer_address,0.07388422159034036,0.07388422159034036,9.728946543971987e-28,True,text_content,spearman
26,music_zcr,0.06832891658439723,0.06832891658439723,1.8686598117190904e-10,True,audio_music,spearman
27,rolloff,-0.06417689325147236,0.06417689325147236,2.589737933499328e-21,True,audio_basic,spearman
28,cultural_ref_density,0.06070208695028709,0.06070208695028709,3.1329912304805825e-19,True,unknown,spearman
29,loudness_variance,-0.04843334394124241,0.04843334394124241,8.690647867227905e-13,True,audio_loudness,spearman
30,motion_speed,-0.04822325627082562,0.04822325627082562,1.0891252763994966e-12,True,visual_motion,spearman
31,face_screen_ratio,-0.047086334548251695,0.047086334548251695,3.634127330161807e-12,True,visual_content,spearman
