,feature,importance_mean,importance_std,group,model
0,loudness_change,9.997336292144609e-14,1.6023953342576907e-13,audio_loudness,rf_loo
1,scene_novelty,9.777068044058978e-14,1.9058954966708373e-13,visual_motion,rf_loo
2,ad_density_pct,8.881784197001251e-14,1.9910416695260414e-13,ad,rf_loo
3,time_pct,8.746781077206832e-14,1.4101013738459636e-13,temporal,rf_loo
4,sentiment_intensity,8.58335624798201e-14,1.4118639712843255e-13,text_content,rf_loo
5,zcr,8.355982572538778e-14,1.1770294299870372e-13,audio_basic,rf_loo
6,lexical_diversity,8.320455435750773e-14,1.3694508970188227e-13,text_complexity,rf_loo
7,speech_rate_cv,7.929656931082718e-14,1.1115904604411478e-13,audio_speech,rf_loo
8,syntactic_depth,7.673861546209083e-14,1.3578321093560397e-13,text_complexity,rf_loo
9,flow_mag_med,7.673861546209083e-14,1.3578321093560397e-13,visual_motion,rf_loo
10,music_only,7.467804152838653e-14,1.340793201013404e-13,audio_music,rf_loo
11,music_zcr,7.467804152838653e-14,9.31207935297812e-14,audio_music,rf_loo
12,bumper_score,7.247535904753021e-14,1.0845777944376445e-13,visual_content,rf_loo
13,question_density,6.991740519879386e-14,1.1056885166986371e-13,text_content,rf_loo
14,is_ad_x_viewer_address,6.73594513500575e-14,1.387596639672553e-13,interaction,rf_loo
15,radial_med,6.52988774163532e-14,1.0821740817282306e-13,visual_motion,rf_loo
16,surprise,6.309619493549689e-14,1.0940549326968794e-13,emotion,rf_loo
18,angry,6.139089236967266e-14,8.185452315956354e-14,emotion,rf_loo
17,speaker_prob,6.139089236967266e-14,8.185452315956354e-14,visual_content,rf_loo
19,n_ad_segments,5.897504706808832e-14,7.697247505938572e-14,ad,rf_loo
21,topic_shift,5.847766715305624e-14,1.0889159575455795e-13,text_content,rf_loo
20,wps,5.847766715305624e-14,1.0889159575455795e-13,audio_speech,rf_loo
22,ad_segment_length,5.798028723802418e-14,1.1393667424606563e-13,ad,rf_loo
23,filler_density,5.762501587014412e-14,9.807662331893451e-14,text_content,rf_loo
24,screencast_prob,5.6274984672199934e-14,8.621480896930193e-14,visual_content,rf_loo
25,avg_word_length,5.456968210637569e-14,1.091393642127514e-13,text_complexity,rf_loo
26,music_centroid,5.4285465012071646e-14,1.1102088705236357e-13,audio_music,rf_loo
27,is_ad,5.4285465012071646e-14,1.1102088705236357e-13,ad,rf_loo
28,sad,5.2580162446247416e-14,8.099937870587637e-14,emotion,rf_loo
29,text_prob,5.2011728257639336e-14,8.144493633330663e-14,visual_content,rf_loo
30,edit_pace_x_screencast,5.2011728257639336e-14,8.144493633330663e-14,interaction,rf_loo
31,beat_sync_ratio,5.17275111633353e-14,9.00416621015705e-14,audio_music,rf_loo
32,vocal_rolloff,4.909850304102292e-14,8.493420215709048e-14,audio_vocal,rf_loo
33,voiced_frac,4.860112312599086e-14,9.447129958378724e-14,audio_speech,rf_loo
