,feature,importance_mean,importance_std,group,model
69,cinematic,0.0,0.0,visual_quality,ridge_loo
0,is_ad_x_viewer_address,0.0,0.0,interaction,ridge_loo
1,brightness,0.0,0.0,visual_quality,ridge_loo
2,sharpness,0.0,0.0,visual_quality,ridge_loo
3,speaker_prob,0.0,0.0,visual_content,ridge_loo
4,face_screen_ratio,0.0,0.0,visual_content,ridge_loo
54,hook_has_address,0.0,0.0,hook,ridge_loo
55,topic_shift,0.0,0.0,unknown,ridge_loo
56,loudness_change,0.0,0.0,audio_loudness,ridge_loo
57,loudness_variance,0.0,0.0,audio_loudness,ridge_loo
58,time_pct,0.0,0.0,temporal,ridge_loo
59,edit_pace_x_screencast,0.0,0.0,interaction,ridge_loo
60,hook_score_x_time_pct,0.0,0.0,interaction,ridge_loo
61,motion_speed,0.0,0.0,visual_motion,ridge_loo
14,edit_pace,0.0,0.0,visual_motion,ridge_loo
15,scene_novelty,0.0,0.0,visual_motion,ridge_loo
16,screencast_prob,0.0,0.0,visual_content,ridge_loo
17,bumper_score,0.0,0.0,visual_content,ridge_loo
18,visual_entropy,0.0,0.0,visual_quality,ridge_loo
19,rms,0.0,0.0,audio_basic,ridge_loo
20,zcr,0.0,0.0,audio_basic,ridge_loo
21,centroid,0.0,0.0,audio_basic,ridge_loo
22,rolloff,0.0,0.0,audio_basic,ridge_loo
23,music_rms,0.0,0.0,audio_music,ridge_loo
24,music_zcr,0.0,0.0,audio_music,ridge_loo
25,music_centroid,0.0,0.0,audio_music,ridge_loo
26,music_rolloff,0.0,0.0,audio_music,ridge_loo
27,vocal_rms,0.0,0.0,audio_vocal,ridge_loo
28,vocal_zcr,0.0,0.0,audio_vocal,ridge_loo
29,vocal_centroid,0.0,0.0,audio_vocal,ridge_loo
30,vocal_rolloff,0.0,0.0,audio_vocal,ridge_loo
31,speech_ratio,0.0,0.0,audio_speech,ridge_loo
32,silence_stretch,0.0,0.0,audio_speech,ridge_loo
33,music_only,0.0,0.0,audio_music,ridge_loo
34,frame,0.0,0.0,visual_motion,ridge_loo
35,flow_mag_med,0.0,0.0,visual_motion,ridge_loo
36,radial_med,0.0,0.0,visual_motion,ridge_loo
37,radial_ratio,0.0,0.0,visual_motion,ridge_loo
38,wps,0.0,0.0,audio_speech,ridge_loo
39,viewer_address,0.0,0.0,text_content,ridge_loo
40,question_density,0.0,0.0,unknown,ridge_loo
41,filler_density,0.0,0.0,unknown,ridge_loo
42,pitch_mean,0.0,0.0,audio_speech,ridge_loo
43,pitch_std,0.0,0.0,audio_speech,ridge_loo
44,voiced_frac,0.0,0.0,audio_speech,ridge_loo
45,pause_rate,0.0,0.0,audio_speech,ridge_loo
46,speech_rate_cv,0.0,0.0,audio_speech,ridge_loo
47,beat_sync,0.0,0.0,audio_music,ridge_loo
48,beat_sync_ratio,0.0,0.0,audio_music,ridge_loo
49,is_ad,0.0,0.0,ad,ridge_loo
50,ad_segment_length,0.0,0.0,ad,ridge_loo
51,n_ad_segments,0.0,0.0,ad,ridge_loo
52,ad_density_pct,0.0,0.0,ad,ridge_loo
53,syntactic_depth,0.0,0.0,text_complexity,ridge_loo
62,angry,0.0,0.0,emotion,ridge_loo
63,disgust,0.0,0.0,emotion,ridge_loo
64,fear,0.0,0.0,emotion,ridge_loo
65,happy,0.0,0.0,emotion,ridge_loo
66,sad,0.0,0.0,emotion,ridge_loo
67,surprise,0.0,0.0,emotion,ridge_loo
68,neutral,0.0,0.0,emotion,ridge_loo
5,text_prob,0.0,0.0,visual_content,ridge_loo
6,lexical_diversity,0.0,0.0,text_complexity,ridge_loo
7,avg_word_length,0.0,0.0,text_complexity,ridge_loo
8,speech_complexity,0.0,0.0,text_complexity,ridge_loo
9,cultural_ref_density,0.0,0.0,unknown,ridge_loo
10,sentiment_polarity,0.0,0.0,unknown,ridge_loo
11,sentiment_intensity,0.0,0.0,unknown,ridge_loo
12,hook_score,0.0,0.0,hook,ridge_loo
13,hook_has_question,0.0,0.0,hook,ridge_loo
