2026-03-20 22:49:56,168 INFO Tuned JSON: applied loss / optimizer / window / feature-filter params (architecture kept from CLI — use --tuned-apply-architecture to override).
2026-03-20 22:49:56,168 INFO Saved tuned payload copy -> experiments/transformer_exp/v4_tuned/tuned_params_applied.json
2026-03-20 22:49:56,168 INFO Merged tuned params from /home/kolya/ilya/seenx-ml/configs/tuned_tabular_transformer.json
2026-03-20 22:49:56,168 INFO Loading merged data...
2026-03-20 22:49:56,182 INFO Loaded 138P93_Z_u0: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,196 INFO Loaded 1J5zlq2Vs3Y: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,206 INFO Loaded 39R6j9qkzPo: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,216 INFO Loaded 3G6JrAq-w4M: 101 rows, 120 cols (output+llm)
2026-03-20 22:49:56,226 INFO Loaded 3MncoqWP_qg: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,236 INFO Loaded 3PBo1GiAlbs: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,246 INFO Loaded 3WA4YT8fkx8: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,255 INFO Loaded 4WcGtcKKoWg: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,265 INFO Loaded 6Ha1lqRKMig: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,276 INFO Loaded 6_qPAwOsDi0: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,289 INFO Loaded 7g_56jn0NCA: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,300 INFO Loaded 8YXWaEo201o: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,312 INFO Loaded 8__NWVjeyZ8: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,321 INFO Loaded 9B3N8I4Vidc: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,334 INFO Loaded BZEZxzRJ-L4: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,343 INFO Loaded Db6f982wxPg: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,356 INFO Loaded DhFuAhFMvms: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,364 INFO Loaded DrS6_CT0XrU: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,376 INFO Loaded ECP4p12A5FY: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,387 INFO Loaded EFxlvlchMw8: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,398 INFO Loaded EhAdb6fIEe0: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,408 INFO Loaded Ei6QuJppkb4: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,415 INFO Loaded FYbEJ3oRgFk: 100 rows, 122 cols (output+llm)
2026-03-20 22:49:56,427 INFO Loaded FZ4waB-THOA: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,439 INFO Loaded Fr4ZqY97Bco: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,450 INFO Loaded GfEdSBXxyHA: 101 rows, 82 cols (output+llm)
2026-03-20 22:49:56,460 INFO Loaded GthDbmZFW-w: 101 rows, 84 cols (output+llm)
2026-03-20 22:49:56,467 INFO Loaded IgJxh-fJTBU: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,473 INFO Loaded JXTBwlW02No: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,484 INFO Loaded K5zVqoMMj3Y: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,490 INFO Loaded LH3DvvXTxzc: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,497 INFO Loaded Mc0b511IaVU: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,502 INFO Loaded NE38Pn3CYRc: 100 rows, 52 cols (output+llm)
2026-03-20 22:49:56,509 INFO Loaded Nvq6okhPSOw: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,515 INFO Loaded OpuMLYUuP_M: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,521 INFO Loaded P9bVljfAWS8: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,529 INFO Loaded Q1ZmiQVX9cY: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,536 INFO Loaded RhVq2oJpsEY: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,542 INFO Loaded RkwsqGM4_DE: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,548 INFO Loaded S_o49-nmh5w: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,557 INFO Loaded Sf95qeC7BUs: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,566 INFO Loaded U8e1Pd7aBLY: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,572 INFO Loaded VYYzb9KHawI: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,578 INFO Loaded VYsqc9S5b9E: 101 rows, 52 cols (output+llm)
