feature,importance
duration_seconds,5.867538366218797
out__centroid__max,3.4204704485459656
emotion__energy_density,2.314738138575014
out__screencast_prob__mean,1.4667929033459826
interval_label_mean__trigger_watch_to_end,1.4519172070002697
emotion__negative_emotion_ratio,1.4051127743828289
out__loudness_variance__min,1.3582820282509123
out__zcr__max,1.3108902541825211
integration_suggested_next_step_present,1.2884601306126648
evidence_analytical_intervals,1.1794744923991378
out__visual_topic_shift__min,1.1252866518437439
abstract_total_count,0.9971806881990151
linguistic__rare_word_ratio,0.9622131176015698
out__visual_entropy__trend,0.9462675727787644
out__screencast_prob__std,0.8493121340241153
out__centroid__std,0.8427660788714544
interval_label_mean__problem_consequence,0.8315298799012906
out__is_ad__max,0.8289155045590647
expectation_alignment_score,0.8063410284233615
out__screencast_prob__q75,0.8029203495356662
out__overlay_prob__trend,0.7963281540223289
out__text_prob__max,0.7642407953443204
out__pause_rate__trend,0.7575464311749214
interval_label_mean__trigger_urgency,0.7398931558230135
out__rms__min,0.7181407046599942
linguistic__avg_sentence_length,0.7088280415303005
out__rolloff__std,0.6996550379930464
interval_label_mean__pain_point,0.6760313407981035
out__brightness__trend,0.6605192896887379
out__pause_rate__max,0.6587425893876495
out__pitch_mean__q25,0.6586321320792506
out__is_ad_x_viewer_address__mean,0.6059217878155763
out__n_chapters__median,0.5832209127539889
out__radial_ratio__std,0.5788537895326529
linguistic__foreign_terms_count,0.563490007027774
out__n_chapters__min,0.5403616703873702
out__pitch_mean__median,0.5395130724577413
out__is_ad_x_viewer_address__std,0.5105895982874765
out__speech_rate_cv__max,0.4984162487951155
out__topic_change_rate__median,0.4956929921193195
out__screencast_prob__q25,0.46465081790084684
out__visual_entropy__q25,0.45912600790056735
out__radial_med__trend,0.43794772049472774
out__speaker_prob__trend,0.4361135922222611
emotion__positive_emotion_ratio,0.4344816784343942
out__flow_mag_med__trend,0.4243498523953736
interval_label_mean__promise_result,0.4145091918834301
abstract_intervals_with_feature,0.40554823564739434
out__loudness_change__max,0.4034678131649637
out__motion_speed__mean,0.39325436993100327
out__visual_entropy__std,0.37902341619054414
out__bumper_score__std,0.3752639150236535
out__motion_speed__q25,0.3735778354811712
out__text_prob__trend,0.3701049566455252
out__audio_novelty__trend,0.3611352526511695
out__screencast_prob__trend,0.3562944861340078
out__has_example__max,0.35161652307167696
out__motion_speed__trend,0.3462449522598579
out__sharpness__trend,0.3432232654562279
out__pitch_std__max,0.34235499905420097
out__zcr__min,0.33978142962400815
out__speech_rate_cv__mean,0.33840771009369786
out__edit_pace__std,0.3374648511655808
out__viewer_address__trend,0.33547599460205235
out__speech_rate_cv__std,0.33454130010067795
out__speaker_prob__std,0.3315935728025663
out__motion_speed__max,0.32822005342440164
out__loudness_change__trend,0.32629326518138635
out__motion_speed__std,0.324613767715598
abstract_intervals_total,0.32060114441113774
out__zcr__trend,0.31916295988520726
out__pitch_std__trend,0.3190785749531656
out__edit_pace__max,0.31301255595245603
out__loudness_change__min,0.31035611207901337
out__centroid__q75,0.3090316961166337
out__radial_ratio__trend,0.3088430305632856
out__loudness_variance__max,0.30515322577597226
interval_label_mean__solution_radical,0.3031141506861028
out__voiced_frac__q25,0.3005702245970209
out__audio_self_similarity__trend,0.29894327752660815
out__radial_med__median,0.29414297869072875
out__audio_topic_shift__trend,0.2913214361868336
out__visual_entropy__max,0.2911642943339616
out__pitch_std__q75,0.28498803124471545
out__curiosity_gap__max,0.27541166774053794
out__unique_classes__q75,0.2730003852837116
out__n_chapters__mean,0.26890049628314366
segments_count,0.26725536001382444
out__sharpness__mean,0.265889590726009
integration_present,0.2644697943889879
out__radial_ratio__q25,0.2642256890614132
out__voiced_frac__mean,0.2629364434411732
out__pitch_mean__trend,0.2628699003871247
out__speech_complexity__trend,0.2596855545835795
out__overlay_prob__mean,0.2551068068654159
out__rolloff__q75,0.25314063943715887
linguistic__flesch_reading_ease,0.25298018190313654
integration_confidence,0.25185046700659536
out__question_density__median,0.24947383214187605
out__voiced_frac__max,0.2488811086534454
out__overlay_prob__max,0.2472285521918824
out__visual_entropy__median,0.24664803958510761
out__flow_mag_med__mean,0.24184600415495763
out__unique_classes__max,0.24112449921639315
out__pitch_std__q25,0.24051791572159922
out__brightness__max,0.24032978338647779
linguistic__avg_word_length,0.2392213975688271
out__n_chapters__q75,0.23909832357008137
out__flow_mag_med__q25,0.23816237404707166
out__pause_rate__q75,0.23591468370025429
out__rms__q25,0.23327053296227174
integration_evidence_count_max,0.23124528346468448
out__radial_med__q75,0.23041004350450206
out__screencast_prob__min,0.22950434395933397
out__is_ad_x_viewer_address__max,0.22884666421395639
out__pause_rate__median,0.22700867583784318
out__object_count__median,0.2256472522738345
interval_label_mean__why_important,0.22522549953271204
out__rolloff__trend,0.2252168551885442
out__centroid__q25,0.2230414969881565
out__scene_novelty__max,0.22039213455621662
out__flow_mag_med__max,0.2189618049062548
out__audio_self_similarity__median,0.21824328599772597
out__voiced_frac__std,0.21730539776533483
out__wps__mean,0.21578139572287455
out__pitch_mean__max,0.2125249379612204
out__radial_med__q25,0.2119472674366618
out__rms__median,0.21187452987038338
out__cultural_ref_cnt__trend,0.21182023014511026
out__segment_self_similarity__q25,0.21081326729983108
out__visual_entropy__min,0.21061907000544128
interval_label_mean__solution_fast,0.21056828050909746
out__object_count__q25,0.21006649610070188
out__pitch_std__median,0.209563377052516
out__radial_ratio__q75,0.20843754916671714
out__is_intro__max,0.2078552101327232
out__audio_hook_similarity__median,0.20735846645008787
out__voiced_frac__q75,0.20643729089038804
out__chapter_id__q75,0.20641199371282473
out__audio_topic_shift__min,0.20627846916220247
out__pause_rate__std,0.2055356943397865
out__hook_has_address__q25,0.20472914437948725
out__edit_pace__trend,0.20321420610296387
out__edit_pace__mean,0.20298390888146192
out__visual_hook_similarity__q75,0.2028245484764019
out__pitch_mean__q75,0.20198168431626257
out__pitch_std__mean,0.20084858476208128
out__speech_rate_cv__trend,0.19986652334997748
out__speech_rate_cv__q75,0.19503779036705146
interval_label_mean__solution_simple,0.19486350870314384
out__n_chapters__max,0.19197455003647185
out__zcr__median,0.19138314087232614
out__radial_med__mean,0.18991429033303758
out__rms__q75,0.18983901656975602
out__brightness__q75,0.18832304267915903
out__question_density__std,0.18686266938453847
out__sharpness__median,0.18479890929560866
out__topic_shift__min,0.18476551959916043
out__audio_hook_similarity__trend,0.18148951704469063
out__speech_complexity__mean,0.18130246524295876
out__centroid__median,0.18038154931479972
out__pitch_mean__mean,0.18011891699620547
out__brightness__min,0.17907310257192527
out__hook_has_address__median,0.17706390355601087
out__zcr__q75,0.17683917313680983
out__text_prob__std,0.17647200674859803
out__rms__mean,0.1755345468253456
out__n_chapters__q25,0.17539044792001826
out__radial_med__max,0.1746238112604471
out__voiced_frac__median,0.17462373546846338
out__zcr__q25,0.17317367219779928
out__hook_has_address__max,0.16934427353075554
out__hook_has_address__q75,0.16862954392599322
out__aesthetic_score__min,0.16774221953650814
out__zcr__mean,0.16715266250123567
out__depth_variance__median,0.16607545541070595
out__brightness__median,0.16485401304629016
out__text_prob__mean,0.16446838181358994
out__loudness_change__mean,0.16389011431026404
out__n_ad_segments__q25,0.16382463800970107
out__loudness_variance__std,0.16382234891103317
out__speech_rate_cv__q25,0.16316090252237386
out__screencast_prob__max,0.16249605528941752
out__radial_med__min,0.16140490616206002
out__rolloff__max,0.16113747176812526
out__beat_sync__max,0.15943386683458968
out__rms__trend,0.1584999604983804
linguistic__subordinate_clause_ratio,0.15828039492805418
out__hook_has_address__mean,0.15722529033179938
out__rms__max,0.15608554685316994
out__speaker_prob__median,0.15601160581353896
out__loudness_variance__q25,0.15552611166623573
out__crutch_cnt__max,0.15548169541519044
out__radial_ratio__mean,0.1549885747852639
out__audio_self_similarity__q75,0.1548642798273085
out__ekman_joy__trend,0.15417591213386422
out__rolloff__mean,0.15411641200901677
out__flow_mag_med__median,0.15267291484244896
out__radial_med__std,0.15245500154619515
evidence_concreteness_density_mean,0.15172265980116895
out__lexical_diversity__max,0.15160508234750442
out__loudness_variance__mean,0.15052685643497013
out__speech_rate_cv__median,0.1494704146829943
emotion__personal_pronoun_ratio,0.14909510894739111
out__ekman_neutral__trend,0.14908136040054393
out__voiced_frac__trend,0.14665246317586894
out__storytelling__trend,0.14564157903203356
out__sharpness__std,0.14523741634929788
out__is_ad_x_viewer_address__trend,0.14453867883330215
out__scene_novelty__trend,0.14397303402636244
out__pause_rate__mean,0.1420244274693458
evidence_water_ratio_mean,0.1400957763587159
out__speech_complexity__q75,0.13878354396868228
out__is_outro__max,0.13856546412886278
out__visual_entropy__q75,0.1385287309928545
out__depth_variance__mean,0.13697371844916928
out__question_density__max,0.13566490362128697
out__radial_ratio__median,0.13538522000646536
out__audio_momentum__q75,0.13457058315099876
out__beat_sync__trend,0.1340288128095111
out__rolloff__q25,0.1329937028743102
out__bumper_score__mean,0.12952043268895516
out__hook_score__std,0.12929367158661895
out__overlay_prob__std,0.127545598025349
out__chapter_id__median,0.1266527957578309
out__motion_speed__median,0.12589881788323987
out__n_ad_segments__q75,0.12374562980841015
out__edit_pace_x_screencast__std,0.12369211655054775
out__topic_change_rate__max,0.12364027635518042
out__avg_word_length__q25,0.1234138599239617
out__speaker_prob__max,0.12329047679031524
out__depth_variance__q25,0.12317436487591919
out__unique_classes__median,0.12148917303513021
out__beat_sync_ratio__trend,0.12082862844012739
emotion__emotional_polarity_ratio,0.12065253562417463
out__brightness__mean,0.12055829974527958
out__sharpness__max,0.12037443510906705
out__beat_sync_ratio__mean,0.11960599220642962
out__wps__max,0.11953059763140202
out__overlay_prob__q75,0.11939434287695791
out__is_question__max,0.11881766235427946
out__is_outro__std,0.11773462018979115
out__scene_novelty__q75,0.11709515433595837
out__speaker_prob__q75,0.11633696215485619
out__depth_mean__trend,0.11497993311847068
out__crutch_cnt__q75,0.11449397335203695
out__sharpness__q25,0.11311214443500928
out__centroid__trend,0.11212478595627906
out__n_ad_segments__median,0.11185362799967702
out__speaker_prob__q25,0.10939740733047336
out__motion_speed__q75,0.10897829433973254
out__question_density__mean,0.10868505055489903
out__loudness_change__std,0.10806052795738537
out__visual_entropy__mean,0.10785612210235225
out__bumper_score__trend,0.10720949319613211
out__sharpness__min,0.10637166122139678
out__loudness_change__q25,0.10578471870098942
out__ekman_intensity__q75,0.10547625856603038
out__overlay_prob__median,0.10545885970282842
out__audio_hook_similarity__min,0.10465139023333492
out__audio_momentum__trend,0.10367267269214056
out__segment_self_similarity__q75,0.10345948945447654
out__rms__std,0.10343603967033421
out__question_density__q75,0.10093721325569698
out__screencast_prob__median,0.10056511755999675
out__text_prob__q25,0.10024581227374849
out__question_density__trend,0.1001688388273941
out__ekman_excitement__trend,0.09900952786409448
out__loudness_change__median,0.09822626410994503
out__hook_similarity__q75,0.09674390625617896
out__ad_segment_length__max,0.0957669288212096
out__beat_sync_ratio__max,0.09438976360825775
out__loudness_variance__median,0.09262930593870784
out__sharpness__q75,0.0919652455662608
out__centroid__mean,0.0915984078087517
out__text_prob__q75,0.09147262844130163
out__beat_sync__mean,0.09055273197427682
out__topic_change_rate__q75,0.08986508132449747
out__has_example__trend,0.08965963981749689
out__hook_has_address__min,0.08908263215740309
out__audio_novelty__std,0.08806481358221041
out__viewer_engagement__trend,0.08805551421123094
out__unique_classes__q25,0.08762576617412007
out__brightness__q25,0.08703154423195145
out__audio_novelty__median,0.08666925096204967
out__audio_topic_shift__std,0.08487271738263896
out__flow_mag_med__std,0.08447904090233518
out__pitch_std__min,0.08001775355658045
out__n_ad_segments__max,0.07928358446824862
out__lexical_diversity__trend,0.07918794750533345
out__flow_mag_med__q75,0.07823447736520303
out__has_example__std,0.07603672605099507
out__speech_complexity__q25,0.07582252158600652
out__beat_sync__std,0.07568063773319979
out__speech_complexity__std,0.07554165414887398
out__speaker_prob__mean,0.07416223768921212
out__depth_mean__max,0.07414101369322333
out__loudness_variance__q75,0.07366591220013001
out__unique_classes__trend,0.0730602035768373
out__speech_complexity__max,0.07149589510626171
out__audio_momentum__q25,0.06895539975872098
out__visual_topic_shift__mean,0.06555002438017962
out__voiced_frac__min,0.06537801433652028
out__edit_pace_x_screencast__trend,0.06429191850307511
out__radial_ratio__max,0.06378792164401667
out__lexical_diversity__mean,0.0636456830338004
interval_label_mean__quick_tip,0.06325390493444612
out__chapter_id__q25,0.06309412874545708
out__loudness_variance__trend,0.0626945833312053
out__visual_topic_shift__std,0.06231191544430825
out__ekman_intensity__mean,0.061770467617317706
out__pitch_std__std,0.06142852727799077
out__ekman_joy__min,0.060692525865401595
out__information_density__median,0.05980161346791966
out__n_ad_segments__mean,0.059009572437280645
out__topic_shift__trend,0.058995065392221956
out__wps__q75,0.05877182933627136
out__visual_hook_similarity__trend,0.058671637512150696
out__visual_momentum__trend,0.057585348712536566
out__hook_score__trend,0.0572010803052241
out__ad_density_percent__std,0.05691098700436169
out__aesthetic_score__mean,0.05679926731466638
out__loudness_change__q75,0.05647982947641354
out__semantic_momentum__q75,0.05520100938166472
out__ekman_intensity__trend,0.05517874770425363
out__scene_novelty__median,0.05471222867868256
out__lexical_diversity__min,0.05384222290423931
out__viewer_address__std,0.05382448336514458
out__audio_novelty__max,0.05320737179253956
out__syntactic_depth__q75,0.0527748468094527
out__avg_word_length__std,0.052754261938793276
out__zcr__std,0.05251758860304041
out__visual_hook_similarity__max,0.05212879336105567
out__audio_self_similarity__max,0.05166888771822833
out__ad_segment_length__trend,0.0514679749924439
out__has_example__q75,0.051394127284743976
out__wps__median,0.0512174519693254
out__syntactic_depth__min,0.051175323360951055
out__pitch_mean__std,0.050616053112291594
evidence_authority_intervals,0.04949510230453548
