feature,importance
duration_seconds,3.693397880097747
interval_label_mean__pain_point,1.572961520105606
out__centroid__max,0.6583010667144479
out__zcr__max,0.5851675413515098
out__voiced_frac__trend,0.5610418983161235
out__radial_ratio__trend,0.5572634419002811
linguistic__avg_sentence_length,0.5519361793111774
out__loudness_change__min,0.5419063671102716
out__radial_med__trend,0.5386842559926789
out__visual_entropy__max,0.5357130034655594
out__visual_entropy__std,0.5316086640332001
emotion__negative_emotion_ratio,0.5237163651222716
out__sharpness__median,0.5128783312154725
out__zcr__trend,0.5115443178736756
out__screencast_prob__trend,0.5113620707974705
linguistic__foreign_terms_count,0.5107261128618694
out__screencast_prob__q25,0.5093733659095413
out__rms__min,0.5008055226083535
linguistic__rare_word_ratio,0.5001377561841566
emotion__emotional_polarity_ratio,0.49953000560754435
out__speaker_prob__trend,0.4974372298593945
linguistic__subordinate_clause_ratio,0.4971596672988716
out__radial_med__min,0.48994086738734
out__screencast_prob__std,0.48674604023052115
linguistic__avg_word_length,0.4803174770693718
out__overlay_prob__trend,0.47716978282770306
out__speech_rate_cv__trend,0.4751909932249158
out__text_prob__max,0.47459793918903265
out__motion_speed__mean,0.4733860785157825
out__speaker_prob__max,0.47293635729592864
out__loudness_variance__min,0.4723225968254579
out__pitch_mean__trend,0.4708254408808382
out__bumper_score__trend,0.46819624159638284
out__rms__trend,0.4663288568017429
out__brightness__trend,0.46630407964139203
out__text_prob__trend,0.45528806089640306
out__loudness_variance__trend,0.45295689565345987
emotion__energy_density,0.4529183189451869
out__flow_mag_med__trend,0.45258675430841466
out__visual_entropy__min,0.4510663148671813
out__speech_rate_cv__max,0.4500410100936681
out__sharpness__std,0.44960916536683826
out__text_prob__std,0.44889480998312364
linguistic__flesch_reading_ease,0.44537848295485183
out__pitch_mean__max,0.4450999677982269
emotion__positive_emotion_ratio,0.4431277104165189
out__motion_speed__trend,0.44253189452845526
interval_label_mean__trigger_watch_to_end,0.4414477289640488
out__flow_mag_med__max,0.43974597386703407
out__visual_entropy__q75,0.43252121345067013
interval_label_mean__promise_result,0.4322816916943217
out__pitch_std__trend,0.4298026206115016
out__screencast_prob__max,0.4293025397499942
out__sharpness__q25,0.42922410757070983
emotion__personal_pronoun_ratio,0.4274447228059014
out__sharpness__trend,0.4271036511466512
out__voiced_frac__std,0.4268815622997687
out__rms__max,0.42643640998184845
out__sharpness__max,0.42614593832028075
out__motion_speed__q75,0.4256657158251983
out__pause_rate__trend,0.42245401435855934
out__edit_pace__mean,0.4219726109884128
out__motion_speed__std,0.4199114581049469
out__pitch_std__q25,0.418768689978336
out__screencast_prob__q75,0.4187608388419862
segments_count,0.41833231634176765
out__rolloff__std,0.41807123933607865
out__screencast_prob__min,0.4173580263332055
out__visual_entropy__trend,0.41496791221922447
out__voiced_frac__max,0.4123464470621979
out__speech_rate_cv__std,0.41213233354603257
out__radial_ratio__std,0.41126170651588473
out__overlay_prob__max,0.4067239335377142
interval_label_mean__why_important,0.40498209647715544
interval_label_mean__problem_consequence,0.4037524075320551
out__speech_rate_cv__q25,0.4027676807376309
out__pitch_std__max,0.40230839498067483
out__brightness__min,0.4020373816641337
out__radial_med__q75,0.40102340263214237
out__loudness_variance__max,0.3980115189180017
out__loudness_change__trend,0.3969946091093651
out__rolloff__max,0.39585569604539167
out__screencast_prob__mean,0.3932028261547141
out__zcr__min,0.3925490979486817
out__radial_med__q25,0.3922124109098697
out__speaker_prob__std,0.3904393515938289
out__pitch_std__mean,0.39028431050276
out__text_prob__mean,0.38945098339372863
out__zcr__std,0.3861492056757637
out__pitch_mean__median,0.3852415881306389
out__radial_ratio__q75,0.3830350798849645
out__rolloff__trend,0.38176197919023386
out__pitch_mean__q25,0.3811438209400315
out__pitch_std__q75,0.37920466767106625
out__pitch_std__std,0.37746115112563405
out__motion_speed__max,0.3770625879196546
out__radial_med__max,0.3733068339636253
out__sharpness__q75,0.37192355017862505
out__brightness__max,0.3716685891157705
out__flow_mag_med__q75,0.3706222946183747
out__brightness__std,0.3690520559450999
out__text_prob__q75,0.3686559679163415
out__sharpness__min,0.36847579564877214
out__pitch_std__median,0.3676427367466895
interval_label_mean__trigger_urgency,0.36374541811587874
out__centroid__trend,0.36217161062449443
out__overlay_prob__std,0.35806243350643285
out__speaker_prob__mean,0.35779380655212806
out__pitch_mean__std,0.3572682462000902
out__pitch_mean__q75,0.3566905140601052
out__centroid__q25,0.35517873852656234
interval_label_mean__solution_simple,0.35407553074287296
out__pitch_mean__mean,0.35321285853524276
out__visual_entropy__q25,0.3449493124576526
out__speech_rate_cv__median,0.3443537745622295
out__radial_med__mean,0.3437381530893803
out__flow_mag_med__std,0.3424751403945788
out__edit_pace__std,0.34071519630876923
out__rms__std,0.3357724015097264
interval_label_mean__solution_radical,0.33564939436443486
abstract_total_count,0.33376352265383613
out__screencast_prob__median,0.33094614771037345
out__visual_entropy__median,0.32887529001610305
out__centroid__std,0.32603434942318865
out__radial_ratio__max,0.3256061672235861
out__flow_mag_med__mean,0.3244688821576577
out__loudness_change__max,0.3221067234144832
out__overlay_prob__q75,0.320911495410675
out__rms__q25,0.3188214216772126
out__radial_ratio__q25,0.31358737770879136
out__bumper_score__mean,0.3117394499857014
out__motion_speed__q25,0.3111520455036979
out__rolloff__q25,0.3107102559299549
out__speech_rate_cv__q75,0.3106072286253834
out__speaker_prob__q75,0.31041153052618287
out__edit_pace__trend,0.30986820463450215
out__sharpness__mean,0.3097115150242685
abstract_intervals_with_feature,0.3091304426080698
evidence_concreteness_density_mean,0.3088157061573776
out__speech_rate_cv__mean,0.30678212911721675
out__bumper_score__std,0.3063341758059104
evidence_water_ratio_mean,0.304083537458384
out__centroid__median,0.30291718096427894
out__motion_speed__median,0.2985693760897291
out__radial_med__median,0.2982774774634566
out__flow_mag_med__q25,0.2966308998295243
out__brightness__q75,0.2964808781321572
interval_label_mean__solution_fast,0.2911811125540389
out__visual_entropy__mean,0.2887797209148832
interval_label_mean__quick_tip,0.28769086267671723
out__radial_ratio__mean,0.28625961679079304
out__radial_med__std,0.27915328934060274
out__loudness_variance__std,0.2790942297795437
out__loudness_change__std,0.27690263695734024
out__flow_mag_med__median,0.2757628750464177
out__pause_rate__mean,0.26152189875786036
out__rms__q75,0.2585117477559836
out__centroid__mean,0.2574698148451337
out__rolloff__q75,0.25033650209448244
out__rms__median,0.24977709382558796
out__overlay_prob__mean,0.24953190860722368
out__loudness_variance__q25,0.24867380897234317
out__rolloff__median,0.2386127266263252
out__speaker_prob__q25,0.23205758409072072
out__rolloff__mean,0.23092614415476156
out__pause_rate__std,0.2307305437124964
evidence_analytical_intervals,0.22680385347974355
out__zcr__q25,0.22630888269783753
out__brightness__q25,0.22145004163746385
out__speaker_prob__median,0.22051281397333825
out__loudness_change__q25,0.21981521937828238
out__rms__mean,0.2135959223813209
out__zcr__q75,0.2131382670126881
out__centroid__q75,0.20976638423453067
out__radial_ratio__median,0.20694478059802654
out__loudness_variance__q75,0.20255802412750587
out__crutch_cnt__trend,0.19697983973911076
out__wps__trend,0.19554838005451083
evidence_authority_intervals,0.1922812389830822
out__speech_complexity__median,0.1910448676871127
out__brightness__mean,0.18591823822699763
out__zcr__median,0.18433890813579326
out__brightness__median,0.18350545939471358
out__lexical_diversity__trend,0.18062149288435342
out__speech_complexity__trend,0.1793821019255262
out__speech_complexity__mean,0.17688816263104673
out__voiced_frac__median,0.17305293918969689
out__loudness_change__q75,0.17274124882385342
out__cultural_ref_cnt__trend,0.17160676859871007
out__voiced_frac__q25,0.16483423702637098
out__loudness_change__mean,0.16340369465030347
out__speech_complexity__max,0.16173842349819367
out__avg_word_length__std,0.16132551942278245
out__speech_complexity__min,0.15782939647338579
out__ekman_sadness__max,0.15701847689444084
out__beat_sync__trend,0.156067390670628
out__avg_word_length__trend,0.15575188198439988
out__voiced_frac__q75,0.15574578039953096
out__viewer_address__trend,0.15503779556849223
out__pause_rate__max,0.15418752120522763
out__wps__median,0.15331180249141393
out__loudness_change__median,0.15075638500655214
out__overlay_prob__median,0.15046274684022362
integration_suggested_next_step_present,0.14832069695467784
out__voiced_frac__mean,0.14767682550257363
out__zcr__mean,0.1466564687118574
out__wps__mean,0.14282501148977905
out__syntactic_depth__std,0.1425223768970928
out__loudness_variance__median,0.14061338643198984
out__loudness_variance__mean,0.14023013671671497
out__beat_sync_ratio__trend,0.13849236066301213
out__speech_complexity__std,0.13767294658037657
out__bumper_score__max,0.13679388712166377
out__ekman_joy__trend,0.13254944290607024
out__crutch_cnt__max,0.1324689542689477
out__edit_pace__max,0.13170162512168532
out__wps__q75,0.12954615437304237
integration_evidence_count_max,0.12909240002234515
out__syntactic_depth__trend,0.1282180423152952
out__scene_novelty__trend,0.12677972622978848
out__avg_word_length__max,0.12417255052294673
abstract_intervals_total,0.12391750319422008
out__speech_complexity__q75,0.12196200464689153
out__viewer_engagement__q25,0.12179779861368492
out__viewer_address__max,0.12116132810828702
out__lexical_diversity__min,0.12086443922936266
out__speech_complexity__q25,0.12085180447562778
out__unique_classes__q25,0.12048400395751027
out__chapter_id__q75,0.11971502095059709
out__ekman_excitement__trend,0.11671332547918463
out__wps__std,0.1163541704024039
out__voiced_frac__min,0.11595724407197343
out__unique_classes__trend,0.11585040663737427
out__syntactic_depth__min,0.11581612977901923
out__n_chapters__trend,0.11539397423557221
out__pitch_mean__min,0.11494836013032157
out__cumulative_info__trend,0.11232406178205608
out__visual_momentum__max,0.11222716514577954
out__ekman_intensity__trend,0.11016253410685795
expectation_alignment_score,0.10998133695633652
out__aesthetic_score__min,0.10951177194868819
out__lexical_diversity__std,0.10936791833763623
out__visual_topic_shift__min,0.10658382125730262
