feature,importance
duration_seconds,3.689096487897676
out__centroid__max,2.8826736971086606
emotion__energy_density,1.8213996783162805
interval_label_mean__trigger_watch_to_end,1.606270757213555
out__screencast_prob__q75,1.186311619098634
out__screencast_prob__mean,1.1504159396291307
out__loudness_variance__min,0.9758778161691185
out__zcr__max,0.9520117243173382
out__pitch_mean__median,0.940026575903611
out__screencast_prob__trend,0.9270746931102983
expectation_alignment_score,0.9210055616350424
interval_label_mean__promise_result,0.8753382955989141
integration_evidence_count_max,0.8338128328989199
out__flow_mag_med__trend,0.7892185009216384
out__pause_rate__max,0.7222770939340412
evidence_concreteness_density_mean,0.7024702645768673
linguistic__foreign_terms_count,0.6998431309283817
out__radial_med__trend,0.6675387422646489
out__screencast_prob__std,0.6511139838911528
out__text_prob__max,0.6503477313867021
out__motion_speed__mean,0.6379253843756475
out__overlay_prob__trend,0.6277927195224573
linguistic__avg_sentence_length,0.618247421977089
abstract_total_count,0.6137995416026129
out__rms__max,0.6038488834310872
evidence_analytical_intervals,0.586197849265187
out__brightness__std,0.5798466910822602
out__motion_speed__q25,0.5728919318567854
out__visual_entropy__trend,0.559439766011859
out__radial_med__median,0.5508524493981218
out__pitch_mean__q25,0.5483149042742225
out__loudness_variance__max,0.5391392147828294
emotion__positive_emotion_ratio,0.5350875381905315
out__bumper_score__mean,0.5276169356561058
out__sharpness__median,0.5104511782204523
out__is_ad_x_viewer_address__mean,0.5102965326053528
out__text_prob__trend,0.5065816792474569
linguistic__flesch_reading_ease,0.49417598832703435
out__speaker_prob__std,0.4911275881606819
interval_label_mean__trigger_urgency,0.4865536230724045
out__screencast_prob__q25,0.4745339328818928
integration_suggested_next_step_present,0.4738864678517365
out__rms__q75,0.4687780304182782
out__pitch_std__trend,0.46646843578258995
out__has_example__max,0.46059822256364386
out__bumper_score__std,0.45548080974461186
out__loudness_change__min,0.454246607212788
out__radial_med__max,0.4425114312916661
out__loudness_variance__trend,0.43959796255732125
out__bumper_score__max,0.43286518369678206
out__edit_pace__trend,0.43101095975769066
out__pause_rate__std,0.42978797145037473
out__motion_speed__max,0.4295901467521213
out__voiced_frac__max,0.4282994129789611
out__bumper_score__trend,0.42762816745751664
out__brightness__max,0.4275091870530415
interval_label_mean__solution_fast,0.42330054037874565
out__depth_variance__mean,0.42209575848645886
out__visual_entropy__median,0.41847250973213096
segments_count,0.4173550537165556
out__n_chapters__mean,0.41535782732924575
abstract_intervals_with_feature,0.4131509870074926
out__visual_entropy__std,0.41133267227782255
out__rolloff__max,0.41038183877529744
out__screencast_prob__max,0.4059108532225627
out__loudness_change__trend,0.4017482603193591
out__speech_complexity__q25,0.3935404171183478
out__zcr__trend,0.3927843523706842
out__visual_entropy__q25,0.3916474289310653
integration_confidence,0.3900592989519595
out__brightness__min,0.38792171557305954
integration_present,0.3821613381041853
out__brightness__mean,0.37749445386099995
out__screencast_prob__median,0.3763271418791786
out__visual_topic_shift__min,0.37511509347216876
out__motion_speed__trend,0.3712129066729032
out__centroid__median,0.3676484778460595
interval_label_mean__solution_radical,0.35895504471877915
out__n_chapters__q25,0.35647074393386
linguistic__avg_word_length,0.3546690747034488
out__flow_mag_med__mean,0.3544766614242651
out__speech_rate_cv__max,0.3538938125312615
out__speaker_prob__max,0.3530551999540931
emotion__personal_pronoun_ratio,0.3527260197809753
out__rms__min,0.34929168233572694
out__radial_ratio__std,0.3473938558960849
out__radial_med__std,0.3415033618222015
interval_label_mean__why_important,0.3412675499106159
linguistic__rare_word_ratio,0.3408599253376441
out__zcr__min,0.3397554930942705
out__rolloff__q75,0.33844431715473294
out__brightness__median,0.3366260254017514
out__speech_rate_cv__std,0.3308303085496932
out__chapter_id__q75,0.3207787767907333
out__pitch_mean__trend,0.32061925633348837
out__sharpness__trend,0.3204176332291448
interval_label_mean__problem_consequence,0.3193451906254577
out__voiced_frac__std,0.3191102655567033
out__flow_mag_med__q25,0.31846637552278734
out__pause_rate__trend,0.31430134272026905
out__rolloff__std,0.3070813712309514
out__scene_novelty__max,0.3042755811219291
out__rms__q25,0.3037060510483274
out__centroid__std,0.3024933982863177
