feature,importance
duration_seconds,5.9314882309584505
out__centroid__max,2.071872349818391
linguistic__avg_sentence_length,1.6225866687735135
emotion__negative_emotion_ratio,1.1836091209550024
out__screencast_prob__mean,1.172302853765117
out__screencast_prob__q75,1.1025083332696413
emotion__energy_density,1.0920505277075185
out__pitch_mean__median,1.0239743935604815
interval_label_mean__trigger_watch_to_end,0.9185799191449183
out__visual_entropy__std,0.8877685606640736
out__sharpness__median,0.8722766776050935
out__zcr__max,0.8650238335139727
linguistic__foreign_terms_count,0.8592935650752178
out__rms__max,0.8196702174146636
out__screencast_prob__trend,0.7446512257764243
out__topic_change_rate__median,0.7309828560425762
interval_label_mean__trigger_urgency,0.7307312223374229
out__radial_med__trend,0.7184657724498555
abstract_total_count,0.6947433300967153
integration_suggested_next_step_present,0.6925294925079298
interval_label_mean__promise_result,0.6734035369728952
out__loudness_variance__min,0.6480353213989045
out__screencast_prob__max,0.6215012137987621
linguistic__avg_word_length,0.5871917642972032
out__screencast_prob__std,0.5485384219005315
out__motion_speed__mean,0.5482466166699266
out__pitch_mean__q25,0.5442112019666443
abstract_intervals_with_feature,0.5396357144470851
segments_count,0.5204656162984447
out__pitch_std__trend,0.5187955874622328
out__brightness__std,0.5125700793082657
emotion__positive_emotion_ratio,0.5091686782306482
out__edit_pace__trend,0.506001250283453
out__rolloff__std,0.505264180508677
out__overlay_prob__trend,0.4910448424086114
out__loudness_change__min,0.4886116228175007
interval_label_mean__problem_consequence,0.48013124897217085
linguistic__rare_word_ratio,0.47551855099223855
interval_label_mean__why_important,0.4634856163218032
out__pitch_mean__mean,0.44853586031035303
out__motion_speed__q25,0.4423721185508221
out__pitch_std__max,0.43843288965526866
out__motion_speed__max,0.4372093014025968
out__sharpness__trend,0.42807892161689726
out__speaker_prob__max,0.42738537891662176
expectation_alignment_score,0.4214449522196833
out__brightness__median,0.41952792970227576
out__visual_topic_shift__min,0.4171069140359579
out__visual_entropy__trend,0.41425811459258055
out__centroid__std,0.4133594324577955
out__loudness_variance__max,0.41162981580043406
out__pitch_mean__q75,0.4099237370475445
out__is_ad_x_viewer_address__mean,0.4092813168819643
out__flow_mag_med__std,0.40868895713748954
evidence_analytical_intervals,0.40318112908117026
evidence_concreteness_density_mean,0.4025442574342383
out__flow_mag_med__mean,0.40171195610305127
out__screencast_prob__q25,0.39588307352954877
out__voiced_frac__trend,0.39020382512385526
out__bumper_score__max,0.3900451183257557
out__pause_rate__max,0.38692339923594404
out__edit_pace__std,0.38432324556461916
out__radial_ratio__std,0.3827852528861727
out__radial_med__q75,0.3823676118922421
out__text_prob__trend,0.38214003228590987
interval_label_mean__pain_point,0.38002891295257857
out__radial_ratio__trend,0.3781099891885994
out__brightness__max,0.37401825466730304
out__text_prob__max,0.3698266228692213
out__motion_speed__std,0.36939590016704665
out__is_ad_x_viewer_address__std,0.3675574606458538
out__radial_med__max,0.36512495489119406
out__pitch_std__std,0.36327991496071205
out__flow_mag_med__trend,0.3621955418181051
out__pitch_mean__trend,0.3588971990672144
out__visual_entropy__max,0.34971267305165826
out__screencast_prob__min,0.3480888526923695
out__is_ad__max,0.34385826271023556
out__visual_entropy__q25,0.3408636629274226
out__rms__std,0.3397717582561
out__bumper_score__trend,0.3390597833708085
out__speech_rate_cv__max,0.3382533863998224
abstract_intervals_total,0.32655694538246616
out__bumper_score__std,0.3247340460786165
out__pause_rate__trend,0.32424134041211683
out__speaker_prob__trend,0.3237505111887097
out__voiced_frac__std,0.3228473389379462
out__sharpness__std,0.3219679503925458
emotion__personal_pronoun_ratio,0.3218117954044716
interval_label_mean__solution_fast,0.31913340654022093
out__motion_speed__trend,0.3188632669882538
out__overlay_prob__max,0.3128354174398464
out__loudness_change__trend,0.30752359757354747
