feature,gradient_importance
curve_p0,0.0004304767663597886
chapter_id,0.00036540127330226825
curve_p3,0.00029936273786006494
llm_linguistic__avg_sentence_length,0.00025069545663427564
is_outro,0.00023515245629823767
emb_vis_pc9,0.00023511506647082568
is_intro,0.00020699143578895018
emb_vis_pc6,0.00017102852580137552
llm_linguistic__foreign_terms_count,0.00014961614933781676
radial_ratio,0.00014290011586126639
llm_expectation_mismatch_points_count,0.00013722113362746313
storytelling,0.00013660679505846928
edit_pace,0.00013182652801333461
duration_sec,0.00013155502238078044
hook_similarity,0.0001264376054677996
curve_fit_mae,0.0001258839760794217
object_count,0.00012086900460417382
curve_p2,0.00011449772459855012
emb_vis_pc7,0.00011418454158729219
desc_chapter_boundary_dist,0.00011401521842344665
llm_duration_seconds,0.00011354407024555258
emb_vis_pc3,0.0001107195123040583
topic_change_rate,0.00010994476760970429
llm_evidence_water_ratio_mean,0.00010771306615424692
emb_aud_pc9,0.00010747652240752358
llm_interval_label_mean__trigger_watch_to_end,0.00010284541315286333
curve_p4,0.00010228101091342978
llm_emotion__negative_emotion_ratio,0.00010196898383583176
llm_linguistic__subordinate_clause_ratio,0.00010126653032784815
hook_has_address,0.0001010453634080477
has_example,9.937187169271056e-05
avg_word_length,9.90851298411144e-05
emb_txt_pc0,9.877012871584157e-05
semantic_momentum,9.757503612490836e-05
viewer_engagement,9.736214155964262e-05
llm_evidence_concreteness_density_mean,9.496900383965112e-05
llm_interval_label_mean__solution_fast,9.311523244832642e-05
emb_aud_pc7,9.168957408292044e-05
overlay_prob,9.150858531938865e-05
llm_interval_label_mean__solution_simple,8.96087585715577e-05
segment_self_similarity,8.57785915286513e-05
emb_txt_pc11,8.38105635239117e-05
ekman_intensity,8.368302987946664e-05
information_density,8.117274496726168e-05
comment_question_rate_30s,7.927866845420794e-05
llm_interval_label_mean__solution_radical,7.835407141101313e-05
ad_segment_length,7.767022507323417e-05
emb_txt_pc8,7.438885186275001e-05
best_curve_type,7.32810607587453e-05
emb_txt_pc2,7.16896563062619e-05
ekman_excitement,7.079227107169573e-05
llm_segments_count,6.988579443714115e-05
emb_vis_pc10,6.965672746446216e-05
narrative_momentum,6.900252119521611e-05
