feature,gradient_importance
curve_p0,0.0001572479691958506
curve_p3,0.00011844726868730504
best_curve_type,8.429849153799296e-05
llm_linguistic__foreign_terms_count,8.147572432335438e-05
emb_vis_pc6,7.075237117533106e-05
storytelling,6.524853397422703e-05
emb_aud_pc6,6.46407042950159e-05
llm_interval_label_mean__trigger_watch_to_end,6.195787377691886e-05
duration_sec,6.044376041245414e-05
hook_similarity,5.918342835684598e-05
llm_expectation_alignment_score,5.7185369587386956e-05
llm_evidence_authority_intervals,5.4898776352274584e-05
cultural_ref_cnt,5.2015013829986854e-05
llm_interval_label_mean__problem_consequence,5.144118333646475e-05
visual_audio_sync,5.010038505588454e-05
avg_word_length,4.962765333402785e-05
llm_evidence_concreteness_density_mean,4.679272378780297e-05
speech_complexity,4.6393703814828766e-05
llm_abstract_intervals_total,4.636492772078782e-05
semantic_momentum,4.567998039419763e-05
emb_txt_pc3,4.512934556260007e-05
llm_linguistic__avg_sentence_length,4.490985520533286e-05
has_example,4.387729259178741e-05
llm_interval_label_mean__solution_fast,4.0633397111378146e-05
ad_segment_length,4.060903556819539e-05
viewer_address,4.0267623444378844e-05
title_claim_intensity,3.986603605881101e-05
viewer_engagement,3.965172445532517e-05
emb_aud_pc5,3.940012843486329e-05
ekman_joy,3.908175913238665e-05
flow_mag_med,3.906333361101133e-05
llm_interval_label_mean__solution_radical,3.862400553771295e-05
pitch_mean,3.8317498012929716e-05
content_rhythm,3.8061831037339286e-05
curve_p2,3.768620933897182e-05
radial_ratio,3.7341047209338286e-05
emb_txt_pc6,3.589845862279617e-05
ekman_intensity,3.5877623486157975e-05
emb_vis_pc9,3.5861808714798824e-05
author_reply_rate_video,3.572511045604188e-05
llm_abstract_intervals_with_feature,3.2877690455279665e-05
chapter_id,3.2541897599003275e-05
llm_interval_label_mean__why_important,3.1654838494432624e-05
is_outro,3.156354432576336e-05
ekman_excitement,3.14987738875061e-05
bumper_score,3.149599924654467e-05
llm_interval_label_mean__quick_tip,3.1251887958205773e-05
topic_change_rate,3.12134522573615e-05
is_question,3.0219679274523514e-05
emb_txt_pc9,2.9608245745293972e-05
desc_chapter_boundary_dist,2.959571866085753e-05
emb_vis_pc2,2.9046733834547923e-05
title_transcript_gap,2.8978065347473603e-05
object_count,2.8890364592371043e-05
llm_emotion__energy_density,2.88578131403483e-05
emb_aud_pc9,2.8542118457153265e-05
segment_self_similarity,2.791930928651709e-05
voiced_frac,2.7913049734706874e-05
is_intro,2.7868033475897393e-05
ekman_neutral,2.7750047570407334e-05
speaker_prob,2.7331898218108107e-05
emb_aud_pc8,2.7241905070241045e-05
radial_med,2.7022421090805437e-05
curve_p4,2.670623471203726e-05
emb_vis_pc3,2.6644191166269593e-05
overlay_prob,2.654889740369981e-05
lexical_diversity,2.65488137642933e-05
screencast_prob,2.6418187087529076e-05
emb_vis_pc4,2.608888819395361e-05
emb_aud_pc10,2.6086624711751937e-05
emb_aud_pc2,2.5822494649219152e-05
information_density,2.5674294170130453e-05
emb_txt_pc0,2.56287562478974e-05
emb_vis_pc8,2.5441849948038e-05
curve_fit_mae,2.539181150496006e-05
video_cluster,2.5344667278659472e-05
text_prob,2.502395998362772e-05
comment_density_30s,2.4790253246465e-05
emb_vis_pc1,2.478992028045468e-05
mean_retention_prior,2.4680651222297456e-05
llm_interval_label_mean__trigger_urgency,2.4459064900383964e-05
emb_vis_pc7,2.43028286149638e-05
llm_expectation_mismatch_points_count,2.4186702648876236e-05
llm_emotion__personal_pronoun_ratio,2.4028512461882202e-05
emb_vis_pc5,2.3926919584482676e-05
hook_has_address,2.3876609247963643e-05
llm_interval_label_mean__solution_simple,2.3850782554291072e-05
emb_vis_pc0,2.3666810920985882e-05
log1p_view_count,2.3661873001401545e-05
emb_vis_pc10,2.3637261529074748e-05
llm_integration_evidence_count_max,2.345541704471543e-05
emb_aud_pc1,2.3385505596706934e-05
crutch_cnt,2.3235064145410433e-05
edit_pace,2.2816925411461853e-05
llm_duration_seconds,2.2558713544640342e-05
wps,2.2409500616049627e-05
emb_aud_pc3,2.2351182087732015e-05
complex_words_ratio_video,2.228747734989156e-05
unique_classes,2.221465238108067e-05
rms,2.2068355247029103e-05
comment_question_rate_30s,2.1929583181190537e-05
llm_evidence_water_ratio_mean,2.183877106745058e-05
engagement_surprise,2.151258743197104e-05
emb_txt_pc11,2.1172594335894247e-05
hook_score,2.1143064350326314e-05
emb_txt_pc5,2.0994615715608235e-05
syntactic_depth,2.059859698420041e-05
llm_abstract_total_count,2.0579735854653335e-05
loudness_variance,2.0515540472842986e-05
llm_linguistic__subordinate_clause_ratio,2.0413136644492626e-05
semantic_novelty,2.029940212651127e-05
scene_novelty,1.979406035843567e-05
llm_emotion__emotional_polarity_ratio,1.9727335211427998e-05
curve_p1,1.923998435700014e-05
brightness,1.8666941753053833e-05
emb_aud_pc7,1.8618333490394436e-05
question_density,1.845143183345499e-05
speech_rate_cv,1.837267645896645e-05
emb_aud_pc11,1.8190839182352647e-05
narrative_momentum,1.785262295470602e-05
curiosity_gap,1.7823105849856802e-05
emb_txt_pc8,1.772499649632664e-05
emb_aud_pc4,1.761493704179884e-05
emb_txt_pc1,1.7613440093100508e-05
n_chapters,1.7357245906168827e-05
sharpness,1.7098951946081798e-05
pause_rate,1.6672255242156098e-05
emb_txt_pc7,1.66681309337946e-05
emb_aud_pc0,1.652743349040975e-05
motion_speed,1.6341266837116562e-05
avg_comment_length_video,1.6263213399270172e-05
topic_shift,1.613281306163117e-05
llm_emotion__positive_emotion_ratio,1.602549864401226e-05
title_delivery_30s,1.5880955015745712e-05
llm_segments_count,1.533273903078225e-05
emb_txt_pc2,1.497169191679859e-05
visual_entropy,1.4786751592055225e-05
emb_txt_pc10,1.4675112504392019e-05
pitch_std,1.4146215789878624e-05
llm_interval_label_mean__pain_point,1.3455699081532657e-05
timecode_like_weighted_30s,1.3031739422331157e-05
ekman_sadness,1.2976005677955982e-05
rolloff,1.296263245649243e-05
emb_txt_pc4,1.2889543017990946e-05
llm_evidence_analytical_intervals,1.2358043522908702e-05
llm_linguistic__rare_word_ratio,1.2352515682323428e-05
zcr,1.2096710474907012e-05
llm_emotion__negative_emotion_ratio,1.1968063427048037e-05
comment_reply_depth_30s,1.1704821793045994e-05
emb_vis_pc11,1.1282585523986199e-05
llm_interval_label_mean__promise_result,1.1231637427044915e-05
cumulative_info,1.113809635171492e-05
has_person_mention,9.926839675244992e-06
