video_id,split,spearman,pearson,rmse,mae,spike_rmse,curvature_rmse
YoGUM0AsXJI,train,0.9977449937543142,0.9944724176149949,1.6279608291569876,1.2085136564651338,1.0936055964764047,1.7027794538971144
jPVQgOI33V0,train,0.9957425586840429,0.9866860706585263,2.0420200779790854,1.3083036441614133,1.2778586841663788,1.5281570062471752
8YXWaEo201o,val,0.9858028803736671,0.9651931555587875,2.854639869042824,1.5967059371495012,1.366178863890363,1.5649770465570796
EFxlvlchMw8,train,0.973580920974133,0.9689619341534336,2.3490490592369304,1.6858504267022159,1.7679251840189578,2.6704736212433193
bK-1Mfb93uA,train,0.9945463285765975,0.9806329773944927,2.2730657380867445,1.8135996525830556,1.0830201944611035,1.6795604803172468
dx7dMwMXSAA,train,0.9714367247027961,0.966354545968507,2.565359840057592,1.8516293893946274,2.0888795104515023,3.2447766212490015
LH3DvvXTxzc,train,0.9963257040540141,0.9795281375149721,2.491901538104014,1.9508554062040726,1.1793985706338688,1.6513316635428383
RhVq2oJpsEY,train,0.9825610118455647,0.9811385109838328,2.5084930900721374,1.9875345513372138,1.86274670478036,3.0613772244282984
kifrPvJigCU,train,0.9829007182559346,0.9799826718182122,2.5094929740302145,2.089423755607983,1.6351156845282928,2.4481702566654184
3MncoqWP_qg,val,0.9916508189510861,0.9810213863861211,2.775234379537046,2.0983023690705256,1.182429473621764,1.7886215361687108
GthDbmZFW-w,train,0.9649746466565553,0.9658321639590004,2.7725265547316718,2.165637743355024,1.8563232625833646,2.3715449329488147
Z6cbf9WN0c4,train,0.9448477978796221,0.9637706423051223,2.861424242676403,2.1681273432061228,2.000245122807237,3.2540350431579363
GfEdSBXxyHA,train,0.996803462446825,0.9844207193932512,2.617896718325721,2.1852291598178377,1.1730380838595416,1.8112072241823642
vVZDZxRRXDI,train,0.9574741642871306,0.9687790036281981,2.927072546163927,2.5045932354313316,2.2674887505930728,3.9910189154018805
9B3N8I4Vidc,train,0.9290998297284714,0.9238078463469126,3.8735220951361553,2.590877079727626,3.173796848428449,5.498635552409568
Mc0b511IaVU,train,0.9956495566685489,0.9892239516939565,3.074813592477843,2.6732085577332145,1.1186667639112091,1.789859864324945
mBzEZBF1a_U,train,0.8651482050288026,0.9273688340177875,4.021945630660219,2.6901931951541713,4.651864251928932,7.854899035093502
iP_siVZjbzc,train,0.9965042809745708,0.9896355879807387,3.1321871095539855,2.6920102940927637,0.8722302968836343,1.3826461527173448
jTtvWTti3b0,train,0.9478946293818071,0.953888826946585,3.6075677314017804,2.7173143896726097,3.022529855561813,4.863688864631153
q607HENWvqY,train,0.9749063540236398,0.9826423685740622,3.366846873028851,2.8160852111212096,1.8189227505979118,2.7371506648434845
8__NWVjeyZ8,train,0.9334376472646835,0.9341006539975785,4.752192975202578,2.8889467220495244,3.407096714827345,5.353294467445485
eLSgNBnpeRg,train,0.9976023523419171,0.9651754768737715,3.6842011581583685,2.9219626624985495,1.0466105619612964,1.4718117384050318
xK0GkyIVzq4,train,0.9485866521199623,0.9413069356355066,4.691068925330762,3.0211347447763575,2.9807526985197788,4.439312473322131
IgJxh-fJTBU,train,0.9706881317033125,0.9633602716857755,4.156536121887087,3.0564823339481166,2.4568870536071334,4.005269899493388
S_o49-nmh5w,train,0.9969741980747711,0.9906239940970356,3.469106812255453,3.1286079104584044,0.8554394054026303,1.1656731450125537
138P93_Z_u0,val,0.8986085224452209,0.8959989952164208,5.158531515350444,3.19816525147693,3.104651636596044,4.081523578992071
Fr4ZqY97Bco,train,0.9957376851996311,0.981861970319303,3.7162935898747627,3.2749951051013304,1.2001258176843268,1.9425348341895348
qoqjZR52lOQ,train,0.9843232980111432,0.9596190033539079,4.631504135329111,3.2965698619880293,1.817312538798349,2.239274119607676
lgeLlSArJXU,train,0.9909717068491168,0.9694212378049827,4.322105828815989,3.5434237187451654,1.1524106286751798,1.7732669828273881
lLoSngvynB8,train,0.9667836113585926,0.9757782974267671,4.067396527585164,3.647903820075611,2.1260150259342154,3.363257121721886
VYsqc9S5b9E,train,0.9657542116131151,0.9647571742432669,4.60713629067277,3.7152570214602028,2.7981006357298397,4.173100927435679
3WA4YT8fkx8,val,0.9949902639076618,0.987761032871556,4.105160786415371,3.758822450543394,1.1558565453726604,1.7926052822187388
3PBo1GiAlbs,val,0.8844317751647426,0.9256932103513432,4.5492660001622935,3.8370126403204283,2.7817841394760756,3.4593596941478957
W6enyqR-1Jw,train,0.9904689959336279,0.9842023821670466,4.431766106854828,3.9481290685068267,1.590430969919299,2.446213400109361
rJxhpVu7BhU,train,0.9698821326055073,0.9752470730662676,4.489279985434222,4.012983756490273,2.5096617718764493,4.200569391081489
ib29EiVnmJM,train,0.9555400512511859,0.9660269622994938,4.567307652547844,4.043970655686786,2.7355459639128394,4.822022615180417
