feature,importance_mae_increase
curve_p0,0.06206757699695794
ad_segment_length,0.054103802218295804
llm_interval_label_mean__promise_result,0.04511103236635883
video_cluster,0.040899515938837894
llm_linguistic__foreign_terms_count,0.029826417929268285
speaker_prob,0.02447742676184106
flow_mag_med,0.020715379872338364
llm_emotion__emotional_polarity_ratio,0.019807646848975107
llm_abstract_intervals_total,0.017083114523305316
pause_rate,0.013967535440677933
llm_emotion__negative_emotion_ratio,0.013725818344469213
llm_evidence_authority_intervals,0.010988673597279508
llm_interval_label_mean__quick_tip,0.010648758891392754
hook_similarity,0.010321218660562792
radial_med,0.010163093793509917
llm_interval_label_mean__pain_point,0.009729940584390917
llm_interval_label_mean__solution_fast,0.006751012015264142
llm_emotion__positive_emotion_ratio,0.00611200364116075
llm_integration_evidence_count_max,0.005927942609629551
speech_complexity,0.005868986022748028
llm_interval_label_mean__problem_consequence,0.005797491293929073
llm_linguistic__avg_sentence_length,0.005792952685466091
visual_audio_sync,0.004954120900371765
avg_word_length,0.004040536156582064
content_rhythm,0.003102874755859908
motion_speed,0.003042757393110662
n_chapters,0.0029870779207445963
curve_p2,0.00294628332157032
topic_change_rate,0.002915136255447296
llm_interval_label_mean__trigger_urgency,0.002265959132229156
title_claim_intensity,0.0018094015593576411
llm_emotion__personal_pronoun_ratio,0.0016621076627923632
semantic_novelty,0.0013657384186303763
curve_p3,0.0013099191999280297
storytelling,0.0012619131862529425
pitch_std,0.0010489586556315562
screencast_prob,0.0010479766543551132
radial_ratio,0.0009789218210149997
topic_shift,0.0009533885288558844
llm_segments_count,0.0009408176535433318
cumulative_info,0.0009356545929861682
rolloff,0.0008013835441162224
speech_rate_cv,0.0007412561095595885
object_count,0.000736950411655298
edit_pace,0.0006841615481739302
voiced_frac,0.0006692099492543827
has_person_mention,0.0005865279597419004
syntactic_depth,0.0005318090860596906
loudness_variance,0.0004746704605160801
wps,0.0004597339693077629
title_delivery_30s,0.0004554408611635215
rms,0.00043715801176139973
has_example,0.0003801943838794841
segment_self_similarity,0.000379489357322349
bumper_score,0.0002859701024435779
complex_words_ratio_video,0.00018097402239044177
llm_evidence_analytical_intervals,0.00017085437334074527
curve_p4,0.00013417536669516986
comment_density_30s,8.726088520738529e-05
timecode_like_weighted_30s,7.687685119843006e-05
llm_duration_seconds,7.586967040307258e-05
is_outro,6.823146303869265e-05
ekman_intensity,6.739802092988374e-05
cultural_ref_cnt,6.190762661469525e-05
chapter_id,4.7764290284154263e-05
unique_classes,3.899929940557693e-05
desc_chapter_boundary_dist,3.2263777830721097e-05
crutch_cnt,1.9279958392163603e-05
comment_question_rate_30s,1.4887391143858508e-05
author_reply_rate_video,9.864076922975565e-06
log1p_view_count,0.0
mean_retention_prior,0.0
narrative_momentum,-1.8612701113696062e-05
ekman_sadness,-2.653795500417999e-05
is_intro,-4.131959216409816e-05
comment_reply_depth_30s,-4.220213433677363e-05
ekman_excitement,-5.256350677829147e-05
question_density,-6.442431962868274e-05
title_transcript_gap,-6.47592072432109e-05
curiosity_gap,-0.00010806546352852091
information_density,-0.00012727366028730813
llm_expectation_alignment_score,-0.00014953613281232236
text_prob,-0.00016069947296237785
overlay_prob,-0.0002100739935443722
scene_novelty,-0.00021688883060614708
semantic_momentum,-0.0003238501721876119
sharpness,-0.0005211128260042367
best_curve_type,-0.0005675690402287733
pitch_mean,-0.0006078713797895338
ekman_neutral,-0.0006503366401095315
llm_linguistic__rare_word_ratio,-0.0006823095944848608
viewer_address,-0.0006873656420817534
brightness,-0.0007415960330776628
llm_interval_label_mean__solution_simple,-0.0008436775836999644
is_question,-0.0011044946047344222
lexical_diversity,-0.0012490149771811805
llm_abstract_intervals_with_feature,-0.0013260756388747315
zcr,-0.001408272922628721
llm_interval_label_mean__trigger_watch_to_end,-0.0014897563669939255
llm_expectation_mismatch_points_count,-0.001569572927140032
ekman_joy,-0.0017071437520949455
engagement_surprise,-0.0024529737214438185
llm_interval_label_mean__why_important,-0.0026965817995986776
duration_sec,-0.0027409128623426446
curve_fit_mae,-0.003022604964352915
llm_evidence_water_ratio_mean,-0.004004134124655205
visual_entropy,-0.004508080812963833
llm_evidence_concreteness_density_mean,-0.004643416955525244
viewer_engagement,-0.005478495733178749
hook_score,-0.008665465049616886
hook_has_address,-0.00877609756520048
llm_emotion__energy_density,-0.008841652445273832
llm_abstract_total_count,-0.010350997219778021
llm_linguistic__subordinate_clause_ratio,-0.013314223840291165
curve_p1,-0.0207139081293987
avg_comment_length_video,-0.04713463484257415
llm_interval_label_mean__solution_radical,-0.10489540351892875
