feature,importance_mae_increase
ad_segment_length,0.1566958953051684
video_cluster,0.03653420552168759
llm_interval_label_mean__trigger_urgency,0.024686732780028937
curve_p0,0.02016686669277264
curve_p2,0.012101414494781674
llm_linguistic__foreign_terms_count,0.008454037656878318
llm_linguistic__avg_sentence_length,0.008363907565377934
llm_abstract_total_count,0.008251827227400218
llm_abstract_intervals_with_feature,0.004548033157197058
duration_sec,0.004236897383585199
llm_emotion__positive_emotion_ratio,0.0041669046131298515
speaker_prob,0.003636921042262505
llm_emotion__negative_emotion_ratio,0.0036260535614716836
llm_interval_label_mean__pain_point,0.003511213548111828
curve_p4,0.002939303558652758
semantic_momentum,0.0028247329661551155
llm_interval_label_mean__quick_tip,0.00245571451218544
visual_audio_sync,0.0023342233286429703
screencast_prob,0.0021769092421311718
pause_rate,0.002046325733952692
pitch_mean,0.0017946388068364645
hook_has_address,0.0017715869563647384
llm_evidence_analytical_intervals,0.0015710622957441818
llm_segments_count,0.0014579986975136923
llm_emotion__personal_pronoun_ratio,0.0014362536641234769
llm_expectation_alignment_score,0.0014108966286032754
topic_change_rate,0.0013019360331414376
wps,0.0010841999116898056
llm_abstract_intervals_total,0.0010159596358197593
engagement_surprise,0.0009254669592323831
title_claim_intensity,0.0008810301425038839
syntactic_depth,0.0008777139997316515
speech_complexity,0.0005973576712531662
title_delivery_30s,0.0005696790839963365
zcr,0.0005114426313852505
content_rhythm,0.00047972273118427705
cumulative_info,0.00047716952786528805
ekman_intensity,0.0004656259769649414
storytelling,0.0004636531615812937
unique_classes,0.00043075108292030723
best_curve_type,0.0004244675337291189
curiosity_gap,0.0004009662288254982
chapter_id,0.0003802346711111089
llm_emotion__emotional_polarity_ratio,0.0003627802279121776
segment_self_similarity,0.00035603589350567216
n_chapters,0.0002318958244697337
topic_shift,0.00023151561371973864
complex_words_ratio_video,0.00019952629265625652
loudness_variance,0.00019690006872992902
information_density,0.0001836002463164732
text_prob,0.00017276801685225016
llm_interval_label_mean__solution_simple,0.00011676498765596695
ekman_joy,8.795835790801713e-05
crutch_cnt,6.400004471836714e-05
comment_question_rate_30s,5.875389174736512e-05
rms,5.050004512074935e-05
viewer_address,2.8075164694385535e-05
timecode_like_weighted_30s,2.2603655018530826e-05
author_reply_rate_video,2.0764291089806857e-05
comment_density_30s,1.2219621009871654e-05
ekman_excitement,5.350647978611771e-06
title_transcript_gap,1.7890048894149875e-06
log1p_view_count,0.0
mean_retention_prior,0.0
comment_reply_depth_30s,-5.149211821375843e-07
ekman_sadness,-3.4514826910007436e-05
desc_chapter_boundary_dist,-3.466338607793773e-05
ekman_neutral,-5.44016117309809e-05
is_question,-6.57953444894351e-05
object_count,-9.501995426634362e-05
bumper_score,-0.00012145593221498292
has_person_mention,-0.00012149747842234622
brightness,-0.00013273383917974021
is_intro,-0.00015079007290482357
scene_novelty,-0.00016461111137851722
question_density,-0.00021035222723971478
lexical_diversity,-0.00021804582954606153
llm_expectation_mismatch_points_count,-0.0002804280901112695
viewer_engagement,-0.00029662985219491844
narrative_momentum,-0.00037734532120303754
voiced_frac,-0.00041112364715534255
llm_evidence_authority_intervals,-0.00047179621831864676
is_outro,-0.0004948379969838731
rolloff,-0.0005213822468676336
overlay_prob,-0.0006274937796518406
radial_ratio,-0.0006666882203362571
visual_entropy,-0.000682761566867344
avg_comment_length_video,-0.0007108593931297591
has_example,-0.0007651212585247554
edit_pace,-0.0008465178335462417
sharpness,-0.0008848171422982295
cultural_ref_cnt,-0.001222735112257567
pitch_std,-0.0013626211940662714
llm_interval_label_mean__problem_consequence,-0.0014477745534572743
speech_rate_cv,-0.001531948429523607
avg_word_length,-0.0015754347193759344
llm_duration_seconds,-0.0017012366367244642
llm_evidence_water_ratio_mean,-0.0019315184539694386
curve_p3,-0.002176395579926845
llm_interval_label_mean__why_important,-0.0022350223150979787
motion_speed,-0.00245653158760728
hook_similarity,-0.002715066085161292
semantic_novelty,-0.0029119611179873792
llm_linguistic__rare_word_ratio,-0.0031395877548569353
curve_fit_mae,-0.0032308635145135156
llm_emotion__energy_density,-0.003305593811639381
llm_interval_label_mean__promise_result,-0.0034495275012732898
llm_interval_label_mean__solution_fast,-0.003615967904773439
llm_integration_evidence_count_max,-0.0037626851903329595
llm_evidence_concreteness_density_mean,-0.004810264008274186
llm_interval_label_mean__trigger_watch_to_end,-0.006779894183571204
llm_linguistic__subordinate_clause_ratio,-0.010599798573913096
hook_score,-0.010817724800739429
llm_interval_label_mean__solution_radical,-0.028948007715810853
radial_med,-0.1474239739647795
flow_mag_med,-0.1576435454214371
curve_p1,-0.33991345320597777
