video_id,split,spearman,pearson,rmse,mae,spike_rmse,curvature_rmse
3MncoqWP_qg,val,0.9958283619283534,0.9827213502383253,2.0761029514578224,1.420388627760481,1.1064368075891189,1.4944780514774265
GfEdSBXxyHA,train,0.9956727843686244,0.9914049128320024,2.086523375295504,1.5291354490978886,1.3936371736180195,2.3024486118275016
3WA4YT8fkx8,val,0.996843913736728,0.9817144600634351,2.339581883091234,1.6933485352166808,1.1099316494292124,1.6353350002952527
eLSgNBnpeRg,train,0.9928010046264046,0.979430566898729,2.578948902698795,1.697206893769821,1.5005238606780442,2.3096021149894437
8YXWaEo201o,val,0.9848872541218782,0.9655095397295934,3.1204894354610504,1.9766466499555229,1.4198376482879607,1.6711316556074387
Mc0b511IaVU,train,0.9982838585698707,0.9894220997071376,2.489545652237962,2.07359242203212,0.9627754899650821,1.3411930618130448
YoGUM0AsXJI,train,0.9981645571204533,0.9941176514533445,2.3452856208055413,2.0820647513512336,1.193439054173284,1.8675499279057082
iP_siVZjbzc,train,0.9973083128439221,0.9947277065160164,2.369003386365385,2.1048113756840774,0.7271711266834819,1.1564170565154313
Db6f982wxPg,train,0.9981323628527575,0.9819623366295227,2.862966727284612,2.2101489152058518,1.1211566730037583,1.3249064468910843
K5zVqoMMj3Y,train,0.9685209451489538,0.9628702235917459,3.134260488674897,2.2198323920221608,2.7460755865429762,4.1775573131771955
ib29EiVnmJM,train,0.971911379468985,0.9838445989844194,2.992002730380599,2.2390329530923667,2.3144709482792654,3.932201747135847
e21aHqRYPKE,train,0.9932897288175051,0.9912671047548324,2.8676585310999356,2.3381008865809676,1.2376282774327878,2.1153438001406166
LH3DvvXTxzc,train,0.9973281082907363,0.9798438035205413,3.14992815643817,2.3427791406612593,1.42368812841226,1.940154058833796
lgeLlSArJXU,train,0.9729902831348439,0.9729669367634127,3.4739828440730283,2.4284423979202123,3.0932988973467688,4.971368300006559
EhAdb6fIEe0,train,0.9828402555749987,0.9749951621466875,3.2611872602107423,2.5318021868715186,2.263043779221118,3.7599716780281747
hnyYg62DY4E,train,0.8804808004789131,0.8977184739914031,6.154548129286398,2.762638054271736,3.2505376923147487,4.601290451338306
EFxlvlchMw8,train,0.971622416124933,0.9694277510769,3.9030843304724336,2.7775281773935454,2.9833425934881377,4.729936096509989
JXTBwlW02No,train,0.973664744868786,0.9720266975043315,3.699334487961929,2.7987096427690865,1.461353475639004,1.7946456602353138
9B3N8I4Vidc,train,0.9582533884164249,0.9511956177007548,4.647653247707732,2.8417683214244276,3.198325502562775,5.493999946247492
v_puTGCZjnA,train,0.9528013433606232,0.9601197997459122,4.143757695295965,2.89471928435977,3.636442987018251,6.110180721989338
Fr4ZqY97Bco,train,0.9924221334634908,0.9890700813984841,3.483065797513486,2.951013319563157,1.364568488430395,2.252718941889429
IgJxh-fJTBU,train,0.9472944049424401,0.9474355136314173,4.7336244625751,3.066856761970142,3.427806085216396,5.6940542528262315
S_o49-nmh5w,train,0.9919764390476997,0.986841753733376,3.6060753598336306,3.146195440009089,1.1972426333282897,1.7123993324414883
Nvq6okhPSOw,train,0.8936819561052751,0.9309005073602158,5.131791011006509,3.184925098230343,7.00904473213526,12.26051158909888
kifrPvJigCU,train,0.9880282567811635,0.9831393767328428,3.8078939518595263,3.2314282785547843,1.664175521985674,2.4806591032687075
jPVQgOI33V0,train,0.9942737742963798,0.9890451011461128,3.4250869056456748,3.248772762789586,1.2819163328011876,1.489440279399149
FZ4waB-THOA,train,0.9890668939454124,0.9713203625228284,4.343820496266622,3.2781290299821615,1.6896438747334448,2.813812121714594
xK0GkyIVzq4,train,0.9488080734951923,0.9464095933586777,4.457938791950225,3.3690647842860457,4.035771463879925,7.046549662368889
bK-1Mfb93uA,train,0.9943976758698996,0.984950139668587,3.846722586209237,3.416988146187054,1.217396845561256,1.9702147402798018
RhVq2oJpsEY,train,0.9521932540656353,0.963867894857418,4.461385734365265,3.495515842248898,2.7637625408851454,4.519355423527345
yKC5nekLvbs,train,0.9669937179189106,0.9454451506579394,5.302772221142571,3.5319953767379912,3.2116588759366693,4.934036187290171
vVZDZxRRXDI,train,0.9357653089443898,0.9293846056988511,5.349859022358349,3.561210254631421,4.6178831077604166,7.869161650306332
dx7dMwMXSAA,train,0.9881874438117338,0.9854526098702311,4.15647273022621,3.6442973637344815,1.5094432217895082,2.2567228153511096
b5gAWk2QuSU,train,0.9922791015088036,0.9889583447398442,4.248875986608341,3.6672605382333887,1.6033718414787714,2.5393011514361867
xZnMwJQ4mfc,train,0.9747087385490981,0.9598823089811518,4.709850902588793,3.880976346459719,2.1005415316825746,3.332687992326971
138P93_Z_u0,val,0.959762666702411,0.9478918870060468,4.742843865870558,3.909348176257445,4.7132077480571875,8.280424112695364
qoqjZR52lOQ,train,0.9786644589207416,0.960623129755646,4.511693252912408,3.962764305643517,2.0690552240873696,2.8655662311422776
lYAEH2n3I58,train,0.9502432530655738,0.956625293247209,5.058738251715961,3.9773983152786103,3.7274441525186344,5.691723703022514
rJxhpVu7BhU,train,0.9471121533783023,0.9536978183786725,5.3591654514879545,4.003548348304069,4.249613726338309,7.142377218297818
VYsqc9S5b9E,train,0.9664534044009664,0.9460882576839263,5.518733306259551,4.033030406083211,3.904827730609348,5.9996852794232165
