time_sec,baseline_retention,baseline_std
0,113.59,3.71
1,112.63,4.42
2,110.86,5.22
3,108.59,5.97
4,106.45,6.47
5,104.41,6.64
6,102.43,6.96
7,100.59,6.91
8,98.91,6.68
9,97.36,6.48
10,95.85,6.46
11,94.39,6.63
12,93.09,6.82
13,91.99,6.94
14,90.99,7.01
15,90.1,7.13
16,89.3,7.25
17,88.59,7.35
18,87.97,7.46
19,87.37,7.62
20,86.83,7.78
21,86.34,7.96
22,85.91,8.02
23,85.53,8.02
24,85.19,8.02
25,84.87,8.07
26,84.55,8.16
27,84.25,8.26
28,83.97,8.36
29,83.71,8.35
30,83.48,8.32
31,83.28,8.24
32,83.1,8.16
33,82.91,8.23
34,82.7,8.38
35,82.51,8.53
36,82.34,8.62
37,82.18,8.68
38,82.03,8.74
39,81.88,8.78
40,81.72,8.82
41,81.57,8.86
42,81.43,8.9
43,81.3,8.91
44,81.18,8.92
45,81.06,8.92
46,80.95,8.92
47,80.82,8.95
48,80.68,9.0
49,80.56,9.06
50,80.46,9.07
51,80.39,8.99
52,80.34,8.92
53,80.28,8.84
54,80.22,8.82
55,80.15,8.83
56,80.08,8.84
57,80.01,8.84
58,79.94,8.89
59,79.87,8.95
60,79.81,9.01
61,79.74,9.03
62,79.68,9.05
63,79.6,9.1
64,79.52,9.16
65,79.47,9.13
66,79.43,9.08
67,79.38,9.03
68,79.31,9.03
69,79.24,9.08
70,79.17,9.13
71,79.09,9.18
72,79.03,9.21
73,78.96,9.22
74,78.88,9.24
75,78.78,9.34
76,78.68,9.44
77,78.58,9.5
78,78.5,9.51
79,78.42,9.53
80,78.35,9.54
81,78.28,9.53
82,78.22,9.55
83,78.17,9.58
84,78.11,9.62
85,78.04,9.67
86,78.0,9.7
87,77.98,9.72
88,77.96,9.77
89,77.93,9.81
90,77.85,9.8
91,77.75,9.8
92,77.69,9.81
93,77.66,9.77
94,77.62,9.75
95,77.59,9.72
96,77.53,9.72
97,77.47,9.73
98,77.39,9.73
99,77.29,9.76
100,77.19,9.82
101,77.09,9.92
102,77.02,9.98
103,76.96,10.03
104,76.9,10.07
105,76.83,10.11
106,76.75,10.16
107,76.66,10.21
108,76.58,10.25
109,76.52,10.25
110,76.45,10.25
111,76.38,10.26
112,76.31,10.28
113,76.23,10.29
114,76.16,10.31
115,76.06,10.35
116,75.97,10.4
117,75.89,10.43
118,75.82,10.44
119,75.7,10.51
120,75.56,10.64
121,75.44,10.8
122,75.35,10.95
123,75.29,11.0
124,75.23,11.04
125,75.18,11.06
126,75.13,11.05
127,75.1,10.99
128,75.07,10.94
129,75.04,10.91
130,74.99,10.91
131,74.94,10.91
132,74.89,10.93
133,74.83,10.99
134,74.77,11.06
135,74.71,11.13
136,74.66,11.13
137,74.6,11.15
138,74.53,11.16
139,74.47,11.16
140,74.4,11.17
141,74.33,11.18
142,74.25,11.21
143,74.16,11.25
144,74.06,11.28
145,73.97,11.31
146,73.87,11.34
147,73.77,11.37
148,73.68,11.4
149,73.6,11.42
150,73.51,11.43
151,73.43,11.45
152,73.34,11.48
153,73.25,11.52
154,73.16,11.56
155,73.07,11.6
156,72.98,11.64
157,72.89,11.69
158,72.83,11.71
159,72.77,11.73
160,72.69,11.77
161,72.59,11.87
162,72.51,11.97
163,72.44,12.07
164,72.38,12.18
165,72.33,12.25
166,72.28,12.32
167,72.21,12.43
168,72.13,12.52
169,72.09,12.57
170,72.08,12.58
171,72.06,12.6
172,72.04,12.62
173,72.0,12.67
174,71.96,12.71
175,71.92,12.76
176,71.89,12.8
177,71.85,12.84
178,71.82,12.89
179,71.8,12.93
180,71.79,12.95
181,71.79,12.98
182,71.81,12.99
183,71.85,13.0
184,71.88,13.01
185,71.84,13.07
186,71.77,13.15
187,71.69,13.24
188,71.6,13.34
189,71.52,13.4
190,71.44,13.46
191,71.4,13.49
192,71.37,13.52
193,71.32,13.56
194,71.28,13.6
195,71.22,13.66
196,71.16,13.75
197,71.09,13.85
198,71.03,13.94
199,70.99,14.01
200,70.97,14.06
201,70.96,14.08
202,70.95,14.11
203,70.94,14.13
204,70.94,14.09
205,70.93,14.06
206,70.94,14.02
207,70.95,14.0
208,70.94,13.99
209,70.94,13.98
210,70.93,13.97
211,70.92,13.99
212,70.91,14.01
213,70.92,13.97
214,70.95,13.9
215,70.98,13.84
216,71.01,13.8
217,71.05,13.76
218,71.11,13.72
219,71.16,13.69
220,71.21,13.66
221,71.22,13.64
222,71.22,13.65
223,71.22,13.67
224,71.21,13.69
225,71.21,13.68
226,71.2,13.67
227,71.19,13.66
228,71.18,13.65
229,71.16,13.63
230,71.12,13.61
231,71.07,13.59
232,71.03,13.57
233,70.99,13.55
234,70.96,13.53
235,70.92,13.52
236,70.9,13.49
237,70.86,13.48
238,70.81,13.48
239,70.77,13.48
240,70.75,13.46
241,70.73,13.43
242,70.72,13.41
243,70.7,13.39
244,70.68,13.38
245,70.66,13.37
246,70.64,13.36
247,70.64,13.32
248,70.65,13.29
249,70.65,13.27
250,70.64,13.26
251,70.64,13.26
252,70.63,13.26
253,70.63,13.27
254,70.62,13.29
255,70.61,13.32
256,70.59,13.36
257,70.57,13.36
258,70.55,13.33
259,70.54,13.3
260,70.52,13.28
261,70.48,13.29
262,70.44,13.31
263,70.41,13.32
264,70.39,13.33
265,70.39,13.31
266,70.39,13.28
267,70.4,13.26
268,70.38,13.26
269,70.35,13.27
270,70.32,13.27
271,70.31,13.24
272,70.31,13.16
273,70.31,13.09
274,70.31,13.05
275,70.27,13.05
276,70.23,13.07
277,70.2,13.09
278,70.18,13.11
279,70.16,13.12
280,70.15,13.1
281,70.14,13.07
282,70.11,13.09
283,70.07,13.12
284,70.03,13.17
285,70.03,13.17
286,70.04,13.16
287,70.05,13.17
288,70.04,13.2
289,70.04,13.21
290,70.04,13.21
291,69.99,13.24
292,69.93,13.29
293,69.9,13.34
294,69.9,13.34
295,69.89,13.36
296,69.87,13.39
297,69.83,13.4
298,69.8,13.4
299,69.76,13.42
300,69.7,13.46
301,69.64,13.54
302,69.57,13.65
303,69.53,13.72
304,69.51,13.78
305,69.51,13.74
306,69.51,13.71
307,69.5,13.7
308,69.49,13.7
309,69.49,13.7
310,69.47,13.7
311,69.46,13.7
312,69.44,13.71
313,69.42,13.71
314,69.4,13.74
315,69.38,13.77
316,69.36,13.8
317,69.35,13.81
318,69.35,13.83
319,69.3,13.93
320,69.25,14.04
321,69.19,14.14
322,69.18,14.14
323,69.17,14.14
324,69.16,14.14
325,69.15,14.11
326,69.14,14.09
327,69.13,14.07
328,69.11,14.08
329,69.09,14.08
330,69.08,14.08
331,69.06,14.09
332,69.03,14.11
333,69.0,14.14
334,68.97,14.17
335,68.95,14.17
336,68.94,14.17
337,68.92,14.18
338,68.89,14.19
339,68.87,14.2
340,68.83,14.21
341,68.79,14.21
342,68.76,14.2
343,68.72,14.19
344,68.68,14.18
345,68.65,14.17
346,68.62,14.16
347,68.59,14.15
348,68.57,14.14
349,68.53,14.16
350,68.49,14.2
351,68.45,14.22
352,68.43,14.24
353,68.4,14.24
354,68.36,14.24
355,68.32,14.24
356,68.28,14.25
357,68.24,14.26
358,68.2,14.27
359,68.17,14.29
360,68.14,14.32
361,68.12,14.34
362,68.09,14.37
363,68.07,14.41
364,68.04,14.44
365,68.02,14.48
366,68.0,14.52
367,67.97,14.56
368,67.95,14.6
369,67.94,14.61
370,67.93,14.6
371,67.92,14.59
372,67.91,14.58
373,67.89,14.56
374,67.86,14.55
375,67.82,14.53
376,67.79,14.51
377,67.75,14.5
378,67.7,14.49
379,67.66,14.48
380,67.62,14.47
381,67.58,14.46
382,67.54,14.46
383,67.51,14.45
384,67.47,14.43
385,67.43,14.42
386,67.38,14.41
387,67.34,14.4
388,67.3,14.4
389,67.26,14.4
390,67.23,14.4
391,67.2,14.4
392,67.17,14.41
393,67.14,14.42
394,67.11,14.42
395,67.08,14.44
396,67.05,14.45
397,67.01,14.47
398,66.98,14.49
399,66.95,14.5
400,66.93,14.51
401,66.9,14.52
402,66.88,14.53
403,66.85,14.54
404,66.83,14.55
405,66.8,14.54
406,66.77,14.53
407,66.75,14.52
408,66.72,14.51
409,66.7,14.5
410,66.68,14.48
411,66.65,14.47
412,66.63,14.46
413,66.61,14.44
414,66.6,14.41
415,66.58,14.39
416,66.57,14.38
417,66.56,14.36
418,66.55,14.35
419,66.53,14.33
420,66.52,14.32
421,66.51,14.31
422,66.5,14.3
423,66.49,14.29
424,66.48,14.28
425,66.47,14.27
426,66.46,14.26
427,66.45,14.26
428,66.44,14.25
429,66.43,14.25
430,66.41,14.25
431,66.39,14.25
432,66.37,14.25
433,66.35,14.25
434,66.33,14.25
435,66.32,14.24
436,66.3,14.24
437,66.29,14.23
438,66.28,14.23
439,66.26,14.23
440,66.23,14.23
441,66.2,14.23
442,66.16,14.24
443,66.13,14.24
444,66.1,14.25
445,66.07,14.26
446,66.05,14.27
447,66.02,14.28
448,66.0,14.29
449,65.99,14.29
450,65.96,14.29
451,65.93,14.29
452,65.9,14.29
453,65.85,14.28
454,65.81,14.28
455,65.76,14.28
456,65.71,14.27
457,65.67,14.27
458,65.63,14.26
459,65.6,14.26
460,65.56,14.26
461,65.53,14.25
462,65.49,14.24
463,65.47,14.23
464,65.45,14.23
465,65.43,14.22
466,65.41,14.22
467,65.41,14.21
468,65.4,14.2
469,65.39,14.2
470,65.38,14.21
471,65.36,14.21
472,65.33,14.21
473,65.31,14.21
474,65.28,14.2
475,65.25,14.2
476,65.21,14.19
477,65.18,14.18
478,65.15,14.16
479,65.12,14.15
480,65.1,14.13
481,65.07,14.11
482,65.05,14.09
483,65.04,14.07
484,65.03,14.05
485,65.02,14.03
486,65.01,14.0
487,64.99,13.98
488,64.98,13.96
489,64.97,13.94
490,64.96,13.92
491,64.95,13.9
492,64.94,13.88
493,64.93,13.87
494,64.92,13.85
495,64.91,13.84
496,64.9,13.83
497,64.89,13.82
498,64.88,13.81
499,64.88,13.8
500,64.86,13.8
501,64.85,13.79
502,64.84,13.79
503,64.83,13.78
504,64.82,13.78
505,64.81,13.77
506,64.8,13.76
507,64.8,13.75
508,64.8,13.74
509,64.79,13.72
510,64.78,13.7
511,64.77,13.69
512,64.76,13.67
513,64.75,13.65
514,64.74,13.64
515,64.73,13.62
516,64.71,13.61
517,64.7,13.61
518,64.68,13.59
519,64.67,13.58
520,64.65,13.57
521,64.64,13.56
522,64.62,13.55
523,64.6,13.54
524,64.58,13.54
525,64.56,13.53
526,64.54,13.52
527,64.53,13.52
528,64.52,13.53
529,64.5,13.53
530,64.48,13.53
531,64.47,13.54
532,64.45,13.54
533,64.43,13.55
534,64.41,13.56
535,64.38,13.57
536,64.34,13.57
537,64.31,13.57
538,64.28,13.58
539,64.24,13.59
540,64.2,13.61
541,64.16,13.63
542,64.11,13.65
543,64.07,13.68
544,64.03,13.71
545,63.99,13.73
546,63.94,13.75
547,63.89,13.78
548,63.84,13.8
549,63.79,13.82
550,63.75,13.84
551,63.71,13.86
552,63.68,13.88
553,63.65,13.9
554,63.62,13.93
555,63.6,13.95
556,63.58,13.98
557,63.55,14.01
558,63.53,14.03
559,63.5,14.06
560,63.48,14.09
561,63.46,14.11
562,63.44,14.14
563,63.41,14.17
564,63.38,14.19
565,63.35,14.21
566,63.32,14.23
567,63.29,14.25
568,63.27,14.28
569,63.24,14.31
570,63.22,14.34
571,63.2,14.37
572,63.18,14.41
573,63.15,14.45
574,63.11,14.49
575,63.07,14.53
576,63.02,14.58
