time_sec,baseline_retention,baseline_std
0,113.59,3.71
1,113.06,3.95
2,112.52,4.27
3,111.87,4.57
4,110.98,4.78
5,109.92,4.91
6,108.81,5.03
7,107.7,5.16
8,106.58,5.3
9,105.47,5.46
10,104.35,5.62
11,103.24,5.8
12,102.12,5.99
13,101.0,6.18
14,99.89,6.39
15,98.77,6.6
16,97.66,6.81
17,96.54,7.0
18,95.42,7.19
19,94.36,7.37
20,93.54,7.5
21,93.05,7.49
22,92.66,7.47
23,92.27,7.47
24,91.88,7.47
25,91.5,7.47
26,91.12,7.48
27,90.74,7.5
28,90.36,7.52
29,89.98,7.55
30,89.6,7.58
31,89.22,7.62
32,88.83,7.66
33,88.46,7.71
34,88.09,7.77
35,87.73,7.83
36,87.37,7.88
37,87.0,7.92
38,86.64,7.97
39,86.32,7.98
40,86.09,7.98
41,85.93,7.96
42,85.78,7.95
43,85.64,7.93
44,85.49,7.92
45,85.34,7.9
46,85.2,7.89
47,85.05,7.88
48,84.9,7.87
49,84.76,7.86
50,84.61,7.85
51,84.47,7.84
52,84.32,7.84
53,84.18,7.83
54,84.03,7.83
55,83.88,7.84
56,83.72,7.85
57,83.57,7.87
58,83.43,7.88
59,83.3,7.89
60,83.2,7.91
61,83.12,7.93
62,83.04,7.95
63,82.97,7.97
64,82.89,7.99
65,82.81,8.02
66,82.74,8.05
67,82.66,8.07
68,82.59,8.1
69,82.51,8.13
70,82.43,8.16
71,82.36,8.19
72,82.29,8.21
73,82.22,8.23
74,82.15,8.25
75,82.08,8.28
76,82.01,8.3
77,81.94,8.32
78,81.88,8.35
79,81.82,8.36
80,81.77,8.37
81,81.72,8.38
82,81.68,8.39
83,81.63,8.4
84,81.59,8.41
85,81.54,8.42
86,81.49,8.43
87,81.45,8.45
88,81.4,8.46
89,81.36,8.48
90,81.31,8.49
91,81.26,8.5
92,81.22,8.51
93,81.17,8.54
94,81.11,8.56
95,81.06,8.59
96,81.01,8.61
97,80.96,8.63
98,80.91,8.66
99,80.85,8.68
100,80.8,8.71
101,80.75,8.74
102,80.7,8.77
103,80.64,8.8
104,80.58,8.83
105,80.53,8.87
106,80.47,8.91
107,80.42,8.94
108,80.37,8.96
109,80.32,8.98
110,80.27,9.0
111,80.22,9.01
112,80.17,9.03
113,80.13,9.05
114,80.08,9.06
115,80.03,9.07
116,79.99,9.09
117,79.94,9.1
118,79.89,9.12
119,79.85,9.13
120,79.8,9.15
121,79.75,9.17
122,79.72,9.18
123,79.69,9.18
124,79.66,9.19
