time_sec,baseline_retention,baseline_std
0,113.59,3.71
1,112.87,4.06
2,111.91,4.38
3,110.3,4.45
4,108.57,4.5
5,106.84,4.6
6,105.11,4.74
7,103.37,4.92
8,101.64,5.14
9,99.91,5.38
10,98.16,5.6
11,96.49,5.79
12,95.15,5.96
13,94.11,6.08
14,93.15,6.21
15,92.28,6.35
16,91.49,6.5
17,90.77,6.65
18,90.09,6.79
19,89.45,6.92
20,88.86,7.03
21,88.28,7.09
22,87.72,7.12
23,87.26,7.14
24,86.89,7.16
25,86.56,7.14
26,86.24,7.14
27,85.94,7.13
28,85.64,7.13
29,85.36,7.13
30,85.09,7.14
31,84.81,7.16
32,84.54,7.19
33,84.28,7.23
34,84.05,7.28
35,83.85,7.36
36,83.66,7.43
37,83.48,7.5
38,83.32,7.56
39,83.15,7.62
40,82.99,7.68
41,82.85,7.72
42,82.7,7.76
43,82.56,7.8
44,82.43,7.84
45,82.31,7.88
46,82.2,7.92
47,82.1,7.96
48,82.0,7.99
49,81.91,8.03
50,81.82,8.07
51,81.73,8.11
52,81.64,8.15
53,81.54,8.2
54,81.44,8.25
55,81.35,8.3
56,81.26,8.35
57,81.16,8.41
58,81.08,8.46
59,80.99,8.51
60,80.91,8.57
61,80.83,8.63
62,80.76,8.65
63,80.69,8.67
64,80.62,8.69
65,80.56,8.7
66,80.5,8.71
67,80.43,8.73
68,80.37,8.74
69,80.31,8.76
70,80.26,8.78
71,80.21,8.8
72,80.16,8.81
73,80.11,8.83
74,80.06,8.84
75,80.01,8.85
76,79.97,8.86
77,79.92,8.87
78,79.87,8.88
79,79.83,8.89
80,79.78,8.9
81,79.74,8.91
82,79.7,8.91
83,79.65,8.91
84,79.61,8.9
85,79.56,8.91
86,79.51,8.91
87,79.47,8.92
88,79.42,8.92
89,79.37,8.93
90,79.33,8.95
91,79.28,8.96
92,79.24,8.97
93,79.19,8.97
94,79.14,8.99
95,79.09,9.02
96,79.04,9.04
97,78.98,9.07
98,78.91,9.11
99,78.85,9.16
100,78.78,9.21
101,78.71,9.27
102,78.63,9.33
103,78.56,9.38
104,78.49,9.44
105,78.41,9.49
106,78.34,9.55
107,78.28,9.6
108,78.21,9.64
109,78.15,9.67
110,78.08,9.69
111,78.02,9.72
112,77.95,9.75
113,77.88,9.79
114,77.81,9.83
115,77.74,9.86
116,77.67,9.9
117,77.61,9.93
118,77.54,9.98
119,77.47,10.02
120,77.41,10.07
121,77.36,10.1
122,77.32,10.12
123,77.27,10.13
124,77.23,10.15
125,77.19,10.16
126,77.15,10.17
127,77.11,10.18
128,77.07,10.2
129,77.03,10.22
130,76.99,10.23
131,76.95,10.24
132,76.91,10.25
133,76.87,10.26
134,76.83,10.27
135,76.79,10.28
136,76.74,10.29
137,76.68,10.3
138,76.61,10.32
139,76.54,10.33
140,76.46,10.34
141,76.39,10.35
142,76.31,10.36
143,76.24,10.37
144,76.15,10.35
145,76.07,10.35
146,75.97,10.33
147,75.88,10.31
148,75.78,10.29
149,75.68,10.26
150,75.58,10.24
151,75.48,10.22
152,75.39,10.21
153,75.29,10.2
154,75.2,10.2
155,75.1,10.22
156,75.01,10.25
157,74.9,10.28
158,74.8,10.33
159,74.71,10.37
160,74.63,10.4
161,74.55,10.44
162,74.48,10.47
163,74.41,10.51
164,74.34,10.54
165,74.27,10.57
166,74.2,10.61
167,74.14,10.66
168,74.08,10.73
169,74.03,10.75
170,73.99,10.76
171,73.96,10.78
172,73.92,10.79
173,73.88,10.8
174,73.84,10.82
175,73.8,10.82
176,73.76,10.83
177,73.72,10.83
178,73.68,10.84
179,73.63,10.84
180,73.58,10.85
181,73.54,10.86
182,73.5,10.86
183,73.46,10.86
184,73.43,10.86
185,73.4,10.86
186,73.36,10.87
187,73.31,10.87
188,73.26,10.87
189,73.2,10.88
190,73.15,10.89
191,73.09,10.91
192,73.03,10.93
193,72.98,10.95
194,72.93,10.97
195,72.9,10.97
196,72.86,10.99
197,72.83,11.01
198,72.81,11.02
199,72.78,11.05
200,72.77,11.07
201,72.76,11.09
202,72.75,11.11
203,72.74,11.13
204,72.73,11.16
205,72.71,11.17
206,72.7,11.17
207,72.69,11.16
208,72.67,11.14
209,72.66,11.13
210,72.65,11.11
211,72.65,11.09
212,72.64,11.07
213,72.63,11.05
214,72.63,11.04
215,72.62,11.02
216,72.62,11.01
217,72.64,10.98
218,72.65,10.95
219,72.67,10.92
