time_sec,baseline_retention,baseline_std
0,113.59,3.71
1,112.63,4.42
2,110.86,5.22
3,108.59,5.97
4,106.45,6.47
5,104.41,6.64
6,102.43,6.96
7,100.59,6.91
8,98.91,6.68
9,97.36,6.48
10,95.85,6.46
11,94.39,6.63
12,93.09,6.82
13,91.99,6.94
14,90.99,7.01
15,90.1,7.13
16,89.3,7.25
17,88.59,7.35
18,87.97,7.46
19,87.37,7.62
20,86.83,7.78
21,86.34,7.96
22,85.91,8.02
23,85.53,8.02
24,85.19,8.02
25,84.87,8.07
26,84.55,8.16
27,84.25,8.26
28,83.97,8.36
29,83.71,8.35
30,83.48,8.32
31,83.28,8.24
32,83.1,8.16
33,82.91,8.23
34,82.7,8.38
35,82.51,8.53
36,82.34,8.62
37,82.18,8.68
38,82.03,8.74
39,81.88,8.78
40,81.72,8.82
41,81.57,8.86
42,81.43,8.9
43,81.3,8.91
44,81.18,8.92
45,81.06,8.92
46,80.95,8.92
47,80.82,8.95
48,80.68,9.0
49,80.56,9.06
50,80.46,9.07
51,80.39,8.99
52,80.34,8.92
53,80.28,8.84
54,80.22,8.82
55,80.15,8.83
56,80.08,8.84
57,80.01,8.84
58,79.94,8.89
59,79.87,8.95
60,79.81,9.01
61,79.74,9.03
62,79.68,9.05
63,79.6,9.1
64,79.52,9.16
65,79.47,9.13
66,79.43,9.08
67,79.38,9.03
68,79.31,9.03
69,79.24,9.08
70,79.17,9.13
71,79.09,9.18
72,79.03,9.21
73,78.96,9.22
74,78.88,9.24
75,78.78,9.34
76,78.68,9.44
77,78.58,9.5
78,78.5,9.51
79,78.42,9.53
80,78.35,9.54
81,78.28,9.53
82,78.22,9.55
83,78.17,9.58
84,78.11,9.62
85,78.04,9.67
86,78.0,9.7
87,77.98,9.72
88,77.96,9.77
89,77.93,9.81
90,77.85,9.8
91,77.75,9.8
92,77.69,9.81
93,77.66,9.77
94,77.62,9.75
95,77.59,9.72
96,77.53,9.72
97,77.47,9.73
98,77.39,9.73
99,77.29,9.76
100,77.19,9.82
101,77.09,9.92
102,77.02,9.98
103,76.96,10.03
104,76.9,10.07
105,76.83,10.11
106,76.75,10.16
107,76.66,10.21
108,76.58,10.25
109,76.52,10.25
110,76.45,10.25
111,76.38,10.26
112,76.31,10.28
113,76.23,10.29
114,76.16,10.31
115,76.06,10.35
116,75.97,10.4
117,75.89,10.43
118,75.82,10.44
119,75.7,10.51
120,75.56,10.64
121,75.44,10.8
122,75.35,10.95
