name,duration_sec,avd_sec,avd_pct,retention_30,mean_retention
138P93_Z_u0,1195.48,781.45,65.37,77.56,65.37
1J5zlq2Vs3Y,1733.96,816.65,47.1,74.49,47.1
39R6j9qkzPo,992.16,527.1,53.13,65.9,53.13
3G6JrAq-w4M,933.44,739.66,79.24,93.39,79.24
3MncoqWP_qg,1014.08,711.1,70.12,90.8,70.12
3PBo1GiAlbs,1175.0,834.92,71.06,89.79,71.06
3WA4YT8fkx8,807.84,572.3,70.84,86.08,70.84
4WcGtcKKoWg,777.56,625.66,80.46,89.42,80.46
6Ha1lqRKMig,1050.32,621.04,59.13,84.37,59.13
6_qPAwOsDi0,1094.92,795.71,72.67,92.04,72.67
7g_56jn0NCA,1747.76,1128.29,64.56,85.97,64.56
8YXWaEo201o,1116.64,766.72,68.66,81.66,68.66
8__NWVjeyZ8,1589.68,1017.32,64.0,86.17,64.0
9B3N8I4Vidc,751.8,485.68,64.6,74.24,64.6
BZEZxzRJ-L4,1644.88,1103.88,67.11,83.98,67.11
Db6f982wxPg,723.16,540.95,74.8,88.16,74.8
DhFuAhFMvms,1634.8,1125.18,68.83,87.05,68.83
DrS6_CT0XrU,507.16,354.18,69.84,82.22,69.84
ECP4p12A5FY,1419.04,1035.43,72.97,87.46,72.97
EFxlvlchMw8,1226.12,831.71,67.83,83.36,67.83
EhAdb6fIEe0,1126.76,664.84,59.0,77.73,59.0
Ei6QuJppkb4,943.84,750.91,79.56,92.25,79.56
FYbEJ3oRgFk,388.28,133.4,34.36,41.51,34.36
FZ4waB-THOA,1535.32,969.11,63.12,85.65,63.12
Fr4ZqY97Bco,1267.24,849.21,67.01,88.39,67.01
GfEdSBXxyHA,1430.24,1005.44,70.3,87.41,70.3
GthDbmZFW-w,1336.48,893.04,66.82,80.97,66.82
IgJxh-fJTBU,1192.68,836.06,70.1,92.55,70.1
JXTBwlW02No,719.3186000000001,538.11,74.81,82.5,74.81
K5zVqoMMj3Y,1115.16,808.48,72.5,88.94,72.5
LH3DvvXTxzc,970.44,647.55,66.73,87.58,66.73
Mc0b511IaVU,1109.08,812.0,73.21,91.37,73.21
NE38Pn3CYRc,365.4,189.4,51.83,60.0,51.83
Nvq6okhPSOw,1569.12,783.18,49.91,80.7,49.91
OpuMLYUuP_M,723.56,538.98,74.49,85.39,74.49
P9bVljfAWS8,737.24,579.39,78.59,91.44,78.59
Q1ZmiQVX9cY,1828.28,988.64,54.08,76.6,54.08
RhVq2oJpsEY,1378.48,984.82,71.44,87.46,71.44
RkwsqGM4_DE,669.96,516.94,77.16,86.25,77.16
S_o49-nmh5w,690.84,487.43,70.56,85.77,70.56
Sf95qeC7BUs,1918.64,1248.02,65.05,79.48,65.05
U8e1Pd7aBLY,913.36,713.88,78.16,95.31,78.16
VYYzb9KHawI,584.8843,427.16,73.03,89.24,73.03
