video_id,total_mae,n_points,mae_first_drop,mae_dip,mae_main
eL9OqXpmvOE,0.52,766,10.68,,0.493
DrS6_CT0XrU,0.557,508,13.69,,0.505
Db6f982wxPg,0.643,724,12.795,,0.609
39R6j9qkzPo,0.663,993,3.449,,0.658
jTtvWTti3b0,0.676,1609,11.593,,0.662
3WA4YT8fkx8,0.692,808,15.932,7.648,0.62
LH3DvvXTxzc,0.708,971,14.602,,0.679
FZ4waB-THOA,0.746,1536,6.556,6.74,0.703
3MncoqWP_qg,0.746,1015,12.976,7.704,0.666
EhAdb6fIEe0,0.751,1127,9.084,8.652,0.679
1J5zlq2Vs3Y,0.756,1734,6.358,,0.749
6_qPAwOsDi0,0.773,1095,15.956,6.931,0.699
YoGUM0AsXJI,0.807,848,12.221,10.262,0.632
S_o49-nmh5w,0.841,691,13.466,9.659,0.661
eLSgNBnpeRg,0.848,1306,7.589,,0.838
Q1ZmiQVX9cY,0.856,1829,4.021,7.384,0.788
gYHHQNT6100,0.863,1418,7.348,7.445,0.681
RkwsqGM4_DE,0.877,670,13.506,6.702,0.812
Mc0b511IaVU,0.922,1110,12.072,11.312,0.73
8YXWaEo201o,0.923,1117,10.482,,0.906
pfacUo-6wNs,0.923,1839,15.096,5.174,0.841
gkSAR3jbMjA,0.933,951,13.032,12.613,0.757
GfEdSBXxyHA,0.935,1431,8.33,14.139,0.69
4WcGtcKKoWg,0.956,778,14.966,12.767,0.718
JXTBwlW02No,0.996,720,11.523,13.327,0.845
Fr4ZqY97Bco,1.033,1268,9.104,11.78,0.848
iP_siVZjbzc,1.047,1130,11.7,10.817,0.851
hnyYg62DY4E,1.051,1201,9.105,11.224,0.83
b5gAWk2QuSU,1.067,1001,13.966,11.216,0.791
yXaJpj7Bb9w,1.096,1980,4.404,7.502,0.916
ib29EiVnmJM,1.122,1603,8.463,5.795,1.033
Nvq6okhPSOw,1.153,1570,19.203,5.98,1.048
e21aHqRYPKE,1.16,1191,10.66,10.298,0.891
7g_56jn0NCA,1.162,1748,13.35,5.874,1.02
kifrPvJigCU,1.192,679,12.133,13.858,0.931
OpuMLYUuP_M,1.235,724,13.12,11.296,1.103
RhVq2oJpsEY,1.249,1379,7.903,9.969,0.87
YubjPoEmzgU,1.265,1325,9.326,8.895,1.183
jPVQgOI33V0,1.27,1154,10.977,10.924,0.869
dx7dMwMXSAA,1.319,1532,14.084,5.415,1.275
mBzEZBF1a_U,1.319,1189,3.712,7.902,0.896
U8e1Pd7aBLY,1.334,914,16.582,7.793,1.214
W6enyqR-1Jw,1.371,1386,6.528,10.415,1.115
yv4o4Epz1eM,1.459,1735,4.709,13.649,1.093
bK-1Mfb93uA,1.508,862,9.94,10.294,1.342
GthDbmZFW-w,1.771,1337,10.514,12.299,1.236
rJxhpVu7BhU,1.821,1145,12.94,12.005,1.146
FYbEJ3oRgFk,1.856,389,1.555,6.561,1.628
6Ha1lqRKMig,1.932,1051,12.699,7.867,1.439
yKC5nekLvbs,1.977,1414,6.984,12.458,1.222
K5zVqoMMj3Y,1.988,1116,12.257,13.07,1.535
lLoSngvynB8,1.991,1265,11.6,11.717,1.238
v_puTGCZjnA,2.057,1546,7.75,9.716,1.541
lYAEH2n3I58,2.119,1591,7.027,8.677,1.528
ECP4p12A5FY,2.242,1420,14.455,9.83,1.629
BZEZxzRJ-L4,2.266,1645,3.817,16.623,1.869
ie3vumn9Je4,2.273,818,8.852,15.45,1.559
qoqjZR52lOQ,2.348,1504,5.849,14.213,1.658
xZnMwJQ4mfc,2.492,1158,10.73,11.436,1.564
lgeLlSArJXU,2.548,1249,8.87,11.903,1.887
IgJxh-fJTBU,2.661,1193,10.275,13.828,1.832
DhFuAhFMvms,2.689,1635,9.135,13.112,1.595
q607HENWvqY,2.694,1430,17.425,12.029,1.705
vVZDZxRRXDI,2.694,1333,8.633,10.227,1.727
Z6cbf9WN0c4,2.712,1181,0.643,12.82,1.85
EFxlvlchMw8,2.991,1227,10.335,10.739,2.144
Sf95qeC7BUs,3.01,1919,11.304,13.676,2.167
NE38Pn3CYRc,3.131,366,3.036,6.322,2.539
3PBo1GiAlbs,3.153,1176,13.673,10.343,2.119
xK0GkyIVzq4,3.286,1458,6.697,17.466,2.03
Ei6QuJppkb4,3.449,944,14.12,13.334,2.21
sujXtr4AVRU,3.474,1216,11.094,12.043,2.27
138P93_Z_u0,3.631,1196,14.523,14.439,2.459
9B3N8I4Vidc,3.808,752,3.645,13.778,2.551
mM6sYTdPZ-0,4.118,334,19.078,7.79,3.181
wWtq4RlbRos,4.369,123,19.25,13.049,3.461
fwHhuHVNR4I,4.438,1011,12.473,15.384,2.872
wS79wHHkjjw,4.493,555,10.613,13.495,2.922
VYsqc9S5b9E,4.566,869,13.638,16.019,2.998
vopiJ3KKT-k,4.622,336,5.125,9.268,3.364
iKGmIRAfmCM,4.726,765,15.914,14.782,3.228
8__NWVjeyZ8,5.008,1590,8.543,16.998,3.384
VYYzb9KHawI,5.321,585,9.727,13.183,3.792
porv8WwTSgc,5.364,795,17.122,15.95,3.46
3G6JrAq-w4M,5.513,934,6.0,11.953,4.306
szF7osJgt-A,5.866,651,8.978,15.326,4.049
P9bVljfAWS8,5.967,738,15.293,13.91,4.152
