video_id,total_mae,n_points,mae_first_drop,mae_dip,mae_main
DrS6_CT0XrU,0.821,508,3.715,,0.526
yXaJpj7Bb9w,1.205,1980,3.613,7.026,0.888
jTtvWTti3b0,1.356,1609,2.035,5.966,1.183
Nvq6okhPSOw,1.375,1570,2.105,6.384,0.993
dx7dMwMXSAA,1.446,1532,1.555,6.667,1.033
pfacUo-6wNs,1.467,1839,4.879,6.224,1.168
ib29EiVnmJM,1.591,1603,3.367,6.658,1.042
S_o49-nmh5w,1.703,691,2.557,11.209,1.282
3WA4YT8fkx8,1.744,808,2.094,9.527,1.589
FYbEJ3oRgFk,1.803,389,4.159,,1.682
1J5zlq2Vs3Y,1.806,1734,2.523,5.181,1.669
7g_56jn0NCA,1.819,1748,2.229,5.806,1.578
gkSAR3jbMjA,1.829,951,2.191,9.561,1.402
YubjPoEmzgU,1.839,1325,2.606,9.191,1.568
JXTBwlW02No,1.969,720,3.256,14.353,1.553
4WcGtcKKoWg,2.008,778,2.396,15.3,1.607
RkwsqGM4_DE,2.021,670,2.224,8.446,1.916
eL9OqXpmvOE,2.049,766,2.998,,1.882
gYHHQNT6100,2.118,1418,3.453,10.564,1.705
39R6j9qkzPo,2.169,993,3.282,,1.973
8YXWaEo201o,2.209,1117,2.612,,2.138
b5gAWk2QuSU,2.321,1001,2.158,12.737,1.877
mBzEZBF1a_U,2.499,1189,8.549,7.12,1.952
YoGUM0AsXJI,2.525,848,2.075,11.917,2.312
OpuMLYUuP_M,2.67,724,2.153,7.595,2.21
6Ha1lqRKMig,2.675,1051,4.265,7.641,1.827
kifrPvJigCU,2.717,679,3.695,16.203,2.18
ECP4p12A5FY,2.728,1420,4.349,10.634,2.059
e21aHqRYPKE,2.737,1191,2.704,11.267,2.215
Db6f982wxPg,2.744,724,2.845,6.076,2.384
W6enyqR-1Jw,2.808,1386,3.48,13.638,2.163
bK-1Mfb93uA,2.839,862,4.029,11.943,2.312
3MncoqWP_qg,2.938,1015,2.338,7.407,2.61
LH3DvvXTxzc,3.031,971,2.578,5.696,2.852
Q1ZmiQVX9cY,3.031,1829,3.814,8.187,2.613
jPVQgOI33V0,3.033,1154,2.765,14.435,2.314
6_qPAwOsDi0,3.047,1095,2.69,7.046,2.657
RhVq2oJpsEY,3.089,1379,2.873,11.085,2.583
BZEZxzRJ-L4,3.149,1645,4.467,18.414,2.221
U8e1Pd7aBLY,3.186,914,2.7,7.445,2.725
rJxhpVu7BhU,3.191,1145,2.927,10.759,2.48
EhAdb6fIEe0,3.219,1127,3.39,7.469,2.953
GfEdSBXxyHA,3.303,1431,3.109,10.16,2.83
iP_siVZjbzc,3.333,1130,3.742,8.893,2.627
Mc0b511IaVU,3.435,1110,2.597,8.986,2.964
yKC5nekLvbs,3.436,1414,4.269,10.709,2.745
qoqjZR52lOQ,3.562,1504,4.308,19.041,2.248
FZ4waB-THOA,3.703,1536,3.822,7.225,3.346
lLoSngvynB8,3.738,1265,2.589,9.518,3.134
yv4o4Epz1eM,3.748,1735,3.015,11.895,3.082
GthDbmZFW-w,3.766,1337,4.684,11.053,2.986
DhFuAhFMvms,3.778,1635,3.106,11.365,2.924
Sf95qeC7BUs,3.782,1919,8.124,7.071,2.661
q607HENWvqY,3.801,1430,2.832,10.997,3.043
K5zVqoMMj3Y,3.841,1116,4.443,12.35,2.951
Z6cbf9WN0c4,3.947,1181,7.172,8.93,3.227
sujXtr4AVRU,3.949,1216,2.678,12.088,2.851
Ei6QuJppkb4,3.999,944,2.612,12.772,3.193
Fr4ZqY97Bco,4.105,1268,3.543,9.182,3.644
vVZDZxRRXDI,4.106,1333,3.293,9.132,3.297
xZnMwJQ4mfc,4.16,1158,4.596,21.169,3.168
9B3N8I4Vidc,4.168,752,1.947,12.9,3.173
NE38Pn3CYRc,4.176,366,6.271,10.465,2.649
138P93_Z_u0,4.192,1196,4.808,12.114,2.976
eLSgNBnpeRg,4.206,1306,3.13,6.396,3.835
IgJxh-fJTBU,4.299,1193,7.577,7.429,3.337
EFxlvlchMw8,4.32,1227,5.369,8.336,3.41
3PBo1GiAlbs,4.366,1176,3.156,8.935,3.668
wWtq4RlbRos,4.369,123,5.365,13.049,3.245
hnyYg62DY4E,4.445,1201,3.711,8.558,3.862
wS79wHHkjjw,4.461,555,2.59,13.81,2.856
ie3vumn9Je4,4.598,818,4.801,15.962,3.265
lgeLlSArJXU,4.76,1249,3.758,7.332,4.218
iKGmIRAfmCM,4.804,765,3.198,14.767,3.391
8__NWVjeyZ8,4.84,1590,3.141,18.204,3.182
lYAEH2n3I58,4.91,1591,5.062,7.937,4.251
fwHhuHVNR4I,5.077,1011,2.844,15.107,3.738
mM6sYTdPZ-0,5.088,334,4.492,14.067,3.649
v_puTGCZjnA,5.088,1546,6.502,6.992,4.47
VYsqc9S5b9E,5.156,869,4.764,16.031,3.57
porv8WwTSgc,5.416,795,4.106,15.978,3.572
xK0GkyIVzq4,5.448,1458,3.742,11.67,4.379
3G6JrAq-w4M,5.643,934,4.27,9.574,4.62
szF7osJgt-A,5.875,651,4.873,14.646,4.127
vopiJ3KKT-k,5.932,336,5.808,15.405,4.366
VYYzb9KHawI,6.135,585,4.797,8.385,5.391
P9bVljfAWS8,7.05,738,3.395,15.126,5.462
