video_id,total_mae,n_points,mae_first_drop,mae_dip,mae_main
eL9OqXpmvOE,0.756,766,19.254,,0.731
FZ4waB-THOA,0.82,1536,19.084,6.782,0.773
eLSgNBnpeRg,0.942,1306,22.118,,0.909
Q1ZmiQVX9cY,1.079,1829,27.301,6.403,0.936
1J5zlq2Vs3Y,1.088,1734,17.787,,1.078
Fr4ZqY97Bco,1.11,1268,20.83,12.039,0.894
jTtvWTti3b0,1.167,1609,20.765,5.027,1.152
gYHHQNT6100,1.195,1418,15.482,8.49,1.091
YubjPoEmzgU,1.195,1325,17.271,8.413,1.122
pfacUo-6wNs,1.232,1839,29.877,7.258,0.966
hnyYg62DY4E,1.268,1201,25.641,11.276,1.031
EhAdb6fIEe0,1.294,1127,30.673,9.237,1.203
ib29EiVnmJM,1.375,1603,16.103,,1.366
iP_siVZjbzc,1.377,1130,28.907,10.867,1.156
yXaJpj7Bb9w,1.414,1980,23.888,7.834,1.205
GfEdSBXxyHA,1.456,1431,27.316,13.296,1.225
3MncoqWP_qg,1.5,1015,22.328,7.136,1.43
Mc0b511IaVU,1.547,1110,22.894,10.529,1.376
LH3DvvXTxzc,1.601,971,29.282,,1.544
yv4o4Epz1eM,1.643,1735,28.483,12.704,1.31
W6enyqR-1Jw,1.644,1386,27.454,10.598,1.353
Nvq6okhPSOw,1.654,1570,20.866,7.034,1.49
OpuMLYUuP_M,1.67,724,32.124,9.872,1.528
6_qPAwOsDi0,1.7,1095,22.68,5.835,1.65
Db6f982wxPg,1.77,724,28.754,,1.695
GthDbmZFW-w,1.777,1337,37.581,11.819,1.24
RhVq2oJpsEY,1.778,1379,24.54,9.52,1.397
RkwsqGM4_DE,1.841,670,32.593,,1.749
gkSAR3jbMjA,1.847,951,2.205,12.396,1.533
39R6j9qkzPo,1.877,993,20.946,6.577,1.66
8YXWaEo201o,1.878,1117,35.553,,1.817
yKC5nekLvbs,1.893,1414,25.906,11.757,1.185
jPVQgOI33V0,1.956,1154,28.342,10.3,1.585
e21aHqRYPKE,1.974,1191,31.14,9.057,1.785
kifrPvJigCU,1.982,679,32.897,12.332,1.734
v_puTGCZjnA,1.99,1546,33.351,9.803,1.429
lgeLlSArJXU,2.005,1249,28.054,12.126,1.285
U8e1Pd7aBLY,2.049,914,29.903,6.01,1.965
bK-1Mfb93uA,2.05,862,29.683,7.186,1.81
YoGUM0AsXJI,2.052,848,30.334,8.553,1.899
mBzEZBF1a_U,2.059,1189,30.59,8.787,1.554
4WcGtcKKoWg,2.099,778,30.068,11.22,1.907
JXTBwlW02No,2.103,720,34.16,12.132,1.943
b5gAWk2QuSU,2.167,1001,31.551,9.5,1.972
lLoSngvynB8,2.257,1265,26.008,12.871,1.383
rJxhpVu7BhU,2.283,1145,32.268,12.916,1.565
lYAEH2n3I58,2.296,1591,30.145,9.967,1.522
EFxlvlchMw8,2.355,1227,9.335,11.839,0.848
dx7dMwMXSAA,2.367,1532,17.593,,2.357
wWtq4RlbRos,2.368,123,22.437,15.363,1.697
3WA4YT8fkx8,2.402,808,34.175,5.517,2.319
K5zVqoMMj3Y,2.409,1116,26.167,12.545,1.977
xZnMwJQ4mfc,2.554,1158,31.888,9.492,1.863
ie3vumn9Je4,2.657,818,34.085,13.919,1.981
BZEZxzRJ-L4,2.667,1645,25.093,15.794,2.286
qoqjZR52lOQ,2.692,1504,30.445,13.8,2.02
vVZDZxRRXDI,2.703,1333,28.454,10.504,1.609
S_o49-nmh5w,2.762,691,34.496,7.042,2.625
IgJxh-fJTBU,2.779,1193,31.237,16.318,1.818
DhFuAhFMvms,2.91,1635,28.862,14.107,1.717
6Ha1lqRKMig,2.925,1051,20.375,10.391,2.138
q607HENWvqY,2.943,1430,28.377,13.02,1.825
xK0GkyIVzq4,3.052,1458,31.824,17.691,1.718
ECP4p12A5FY,3.086,1420,34.037,10.626,2.448
Sf95qeC7BUs,3.165,1919,34.577,15.288,2.262
3PBo1GiAlbs,3.171,1176,33.963,11.094,1.932
sujXtr4AVRU,3.498,1216,3.565,15.105,2.105
DrS6_CT0XrU,3.617,508,38.773,,3.478
NE38Pn3CYRc,3.62,366,32.82,7.134,2.747
7g_56jn0NCA,3.671,1748,13.275,7.766,2.955
Ei6QuJppkb4,3.728,944,5.67,12.115,1.092
mM6sYTdPZ-0,4.223,334,27.937,7.329,3.213
FYbEJ3oRgFk,4.285,389,29.433,8.289,3.261
Z6cbf9WN0c4,4.381,1181,4.702,13.625,3.166
vopiJ3KKT-k,4.501,336,5.794,6.55,3.364
fwHhuHVNR4I,4.617,1011,4.586,12.909,3.393
3G6JrAq-w4M,4.821,934,4.826,,3.036
iKGmIRAfmCM,4.88,765,5.817,18.331,1.823
VYsqc9S5b9E,4.99,869,20.912,15.661,3.371
VYYzb9KHawI,5.259,585,6.052,10.242,1.399
8__NWVjeyZ8,5.57,1590,14.304,19.428,3.771
szF7osJgt-A,5.696,651,5.67,11.361,
P9bVljfAWS8,5.829,738,21.382,13.754,3.997
porv8WwTSgc,5.891,795,5.912,,0.356
wS79wHHkjjw,6.688,555,10.153,14.239,5.406
138P93_Z_u0,7.0,1196,17.188,13.444,5.25
9B3N8I4Vidc,7.322,752,2.248,12.411,5.909
