feature,corr_with_positive_spike
ad_density_percent,0.2487728197021394
is_ad,0.17671683998261423
llm_interval_label_mean__trigger_urgency,0.1513768839285022
sent_gratitude,0.14136636511120465
ad_segment_length,0.13640113868298448
speech_complexity,0.12261638593879715
llm_evidence_water_ratio_mean,0.11723539110608046
llm_emotion__personal_pronoun_ratio,0.11649142250189379
llm_interval_label_mean__promise_result,0.11080967220111095
n_ad_segments,0.09653166061773881
curiosity_gap,0.09580643781291547
avg_word_length,0.08774224469271664
sent_excitement,0.08685139337630322
cumulative_info,0.08397273840539361
llm_integration_confidence,0.07708494957757797
flow_mag_med,0.07543212591934884
sent_annoyance,0.07498976898424169
sent_pride,0.07018433952540616
sent_anger,0.06930299755362557
bumper_score,0.06455406028819893
llm_interval_label_mean__quick_tip,0.0633869622248574
is_ad_x_viewer_address,0.061913664785850996
sent_neutral,0.05717525032750144
retention,0.0568814803023353
is_question,0.05441555469253876
viewer_engagement,0.05416912925164697
llm_interval_label_mean__solution_simple,0.05222546263127605
llm_interval_label_mean__solution_fast,0.0472625537922658
llm_emotion__emotional_polarity_ratio,0.04349669694573812
ekman_excitement,0.042582093406242014
viewer_address,0.03964275152475764
screencast_prob,0.03510115182597179
early_retention_drop_30s,0.03465055659457367
sent_amusement,0.032906987236249255
llm_expectation_alignment_score,0.03206231843534488
sent_relief,0.031080731640934466
lexical_diversity,0.030198819462916218
sent_approval,0.029543940326546045
sent_disgust,0.02935472763172256
comment_reply_depth_30s,0.023238632277775298
radial_med,0.02206366582074219
wps,0.02027486357270519
sent_caring,0.01993663942893453
topic_shift,0.018990051898923836
hook_score,0.017678565766801883
sent_curiosity,0.016302915607971914
timecode_like_weighted_30s,0.007119946177797308
brightness,0.0065230070832084635
syntactic_depth,0.006191541123109905
voiced_frac,0.0060071064140167696
semantic_momentum,0.005069660304352114
ekman_neutral,0.004798898089359263
llm_integration_evidence_count_max,0.0041799358260331656
sent_fear,0.000413317840167499
hook_similarity,-0.001583533806600338
sent_joy,-0.004735814363743599
llm_expectation_mismatch_points_count,-0.00728929581753032
mean_retention_prior,-0.008115292651135161
information_density,-0.010158835897919393
