video_id,sec,retention,diff
mM6sYTdPZ-0,88,87.0,13.5
8__NWVjeyZ8,513,69.0,13.499999999999993
Sf95qeC7BUs,311,67.5,11.999999999999993
q607HENWvqY,461,68.25,11.250000000000007
xK0GkyIVzq4,470,69.75,11.249999999999993
fwHhuHVNR4I,295,90.75,10.5
P9bVljfAWS8,573,73.5,10.5
porv8WwTSgc,352,72.0,10.5
ECP4p12A5FY,258,77.25,9.75
vopiJ3KKT-k,184,66.0,9.75
iKGmIRAfmCM,323,70.5,9.749999999999993
8__NWVjeyZ8,497,55.50000000000001,9.000000000000007
szF7osJgt-A,184,81.0,9.0
yKC5nekLvbs,229,86.25,9.0
GthDbmZFW-w,188,75.75,9.0
IgJxh-fJTBU,193,81.75,9.0
lYAEH2n3I58,579,68.25,8.25
EFxlvlchMw8,223,75.75,8.25
sujXtr4AVRU,319,84.75,8.25
lYAEH2n3I58,242,76.5,8.25
lgeLlSArJXU,214,75.75,8.25
9B3N8I4Vidc,242,60.75000000000001,7.500000000000007
IgJxh-fJTBU,181,72.75,7.5
3G6JrAq-w4M,225,83.25,7.5
iKGmIRAfmCM,331,78.0,7.5
szF7osJgt-A,177,72.0,7.5
VYYzb9KHawI,171,79.5,6.75
wS79wHHkjjw,218,54.75,6.75
mM6sYTdPZ-0,219,73.5,6.75
DhFuAhFMvms,595,71.25,6.75
mM6sYTdPZ-0,286,66.75,6.75
NE38Pn3CYRc,103,66.75,6.75
NE38Pn3CYRc,33,66.75,6.75
NE38Pn3CYRc,274,53.25,6.75
BZEZxzRJ-L4,647,76.5,6.75
BZEZxzRJ-L4,432,80.25,6.75
Sf95qeC7BUs,368,84.75,6.75
Sf95qeC7BUs,330,74.25,6.75
lLoSngvynB8,255,75.75,6.75
FYbEJ3oRgFk,7,83.25,6.75
v_puTGCZjnA,171,74.25,6.75
vopiJ3KKT-k,24,69.0,6.749999999999993
VYsqc9S5b9E,429,65.25,6.749999999999993
vopiJ3KKT-k,110,56.25,6.000000000000007
VYsqc9S5b9E,421,58.50000000000001,6.000000000000007
vopiJ3KKT-k,113,62.25000000000001,6.000000000000007
EFxlvlchMw8,211,67.5,6.0
3G6JrAq-w4M,197,74.25,6.0
Sf95qeC7BUs,949,71.25,6.0
rJxhpVu7BhU,242,74.25,6.0
rJxhpVu7BhU,253,80.25,6.0
8__NWVjeyZ8,528,75.0,6.0
