seg_idx,start_sec,end_sec,speaker_prob,face_screen_ratio,face_count,close_up_prob,cinematic,screencast_prob,bumper_score,visual_entropy,visual_text_info,overlay_graphics,visual_variety,location_type,segment_type,segment_position,multi_person_interaction,sound_effect_event,is_ad,viewer_address,crutch_cnt,cultural_ref_cnt,pos_cnt,neg_cnt,hook_score,hook_has_question,hook_has_address
0,0,30,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,intro,intro,0,0,0,1,1,2,0,0.1,0,0.75,0,1
1,30,60,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,intro,intro,0,0,0,0,0,1,1,0.1,0,0.7,1,0
2,60,90,0.85,0.25,1,0.4,0.55,0.0,0.0,0.5,0.0,0.0,0.3,studio,intro,intro,0,0,0,0,0,1,1,0.1,0,0.6,0,0
3,90,120,0.7,0.2,1,0.35,0.5,0.0,0.0,0.55,0.0,0.5,0.6,mixed,main_content,intro,0,1,0,1,1,2,2,0.1,0,0.5,0,1
4,120,150,0.65,0.18,1,0.3,0.5,0.0,0.0,0.6,0.0,0.6,0.65,mixed,main_content,middle,0,1,0,0,0,0,4,0.1,0,0.0,0,0
5,150,180,0.6,0.15,1,0.25,0.45,0.0,0.0,0.65,0.0,0.6,0.7,mixed,main_content,middle,0,1,0,0,0,0,3,0.1,0,0.0,0,0
6,180,210,0.55,0.15,1,0.25,0.45,0.0,0.0,0.65,0.0,0.6,0.7,mixed,main_content,middle,0,1,0,0,0,0,4,0.1,0,0.0,0,0
7,210,240,0.55,0.15,1,0.25,0.45,0.0,0.0,0.65,0.0,0.6,0.7,mixed,main_content,middle,0,1,0,0,0,0,5,0.1,0,0.0,0,0
8,240,270,0.6,0.18,1,0.3,0.5,0.0,0.0,0.6,0.0,0.5,0.6,mixed,main_content,middle,0,1,0,0,0,0,4,0.1,0,0.0,0,0
9,270,300,0.85,0.25,1,0.4,0.55,0.0,0.0,0.5,0.0,0.3,0.5,studio,main_content,middle,0,0,0,0,0,0,6,0.1,0,0.0,0,0
10,300,330,0.85,0.25,1,0.4,0.55,0.0,0.0,0.5,0.0,0.5,0.55,mixed,main_content,middle,0,1,0,0,0,0,5,0.1,0,0.0,0,0
11,330,360,0.6,0.18,1,0.3,0.5,0.0,0.0,0.6,0.0,0.6,0.65,mixed,main_content,middle,0,1,0,0,0,0,5,0.1,0,0.0,0,0
