seg_idx,start_sec,end_sec,speaker_prob,face_screen_ratio,face_count,close_up_prob,cinematic,screencast_prob,bumper_score,visual_entropy,visual_text_info,overlay_graphics,visual_variety,location_type,segment_type,segment_position,multi_person_interaction,sound_effect_event,is_ad,viewer_address,crutch_cnt,cultural_ref_cnt,pos_cnt,neg_cnt,hook_score,hook_has_question,hook_has_address
0,0,30,0.95,0.25,2,0.35,0.5,0.0,0.3,0.45,0.0,0.3,0.25,studio,intro,intro,1,0,0,1,2,2,2,0,0.75,0,1
1,30,60,0.95,0.25,2,0.35,0.5,0.0,0.0,0.45,0.0,0.3,0.25,studio,intro,intro,1,0,0,1,3,3,2,0,0.65,0,1
2,60,90,0.95,0.25,2,0.35,0.5,0.0,0.0,0.45,0.0,0.0,0.25,studio,intro,intro,1,0,0,0,1,0,0,0,0.6,0,0
3,90,120,0.95,0.25,2,0.35,0.5,0.0,0.0,0.45,0.0,0.2,0.25,studio,main_content,middle,1,1,0,0,2,3,3,0,0.5,0,0
4,120,150,0.95,0.25,2,0.35,0.5,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,1,0,0,0,2,4,3,0,0.5,0,0
5,150,180,0.95,0.25,2,0.35,0.5,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,1,0,0,0,2,5,2,0,0.5,0,0
6,180,210,0.95,0.25,2,0.35,0.5,0.0,0.0,0.45,0.0,0.2,0.25,studio,main_content,middle,1,0,0,0,1,5,3,0,0.5,0,0
7,210,240,0.5,0.2,2,0.3,0.5,0.0,0.0,0.4,0.5,0.0,0.2,studio,main_content,middle,1,0,0,0,0,0,0,0,0.0,0,0
8,240,270,0.95,0.25,2,0.35,0.5,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,1,0,0,0,3,4,2,0,0.6,0,0
9,270,300,0.95,0.25,2,0.35,0.5,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,1,0,0,0,2,3,1,0,0.5,0,0
10,300,330,0.95,0.25,2,0.35,0.5,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,1,0,0,0,2,5,4,0,0.6,0,0
11,330,360,0.95,0.25,2,0.35,0.5,0.0,0.0,0.45,0.0,0.2,0.25,studio,main_content,middle,1,1,0,0,1,3,4,0,0.5,0,0
12,360,390,0.95,0.25,2,0.35,0.5,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,1,0,0,0,2,5,3,0,0.6,0,0
13,390,420,0.95,0.25,2,0.35,0.5,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,1,0,0,0,2,5,2,0,0.6,0,0
14,420,450,0.95,0.25,2,0.35,0.5,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,1,0,0,0,1,4,4,0,0.6,0,0
15,450,480,0.95,0.25,2,0.35,0.5,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,1,0,0,0,1,4,2,0,0.65,0,0
16,480,510,0.95,0.25,2,0.35,0.5,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,1,0,0,0,1,3,4,0,0.5,0,0
17,510,540,0.95,0.25,2,0.35,0.5,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,1,0,0,0,2,4,2,0,0.65,0,0
