seg_idx,start_sec,end_sec,speaker_prob,face_screen_ratio,face_count,close_up_prob,cinematic,screencast_prob,bumper_score,visual_entropy,visual_text_info,overlay_graphics,visual_variety,location_type,segment_type,segment_position,multi_person_interaction,sound_effect_event,is_ad,viewer_address,crutch_cnt,cultural_ref_cnt,pos_cnt,neg_cnt,hook_score,hook_has_question,hook_has_address
0,0,15,0.9,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.6,0.5,studio,intro,intro,0,0,0,1,1,1,1,0,0.7,0,1
1,15,30,0.9,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.5,0.4,studio,intro,intro,0,0,0,1,0,1,1,0,0.6,1,0
2,30,45,0.9,0.3,1,0.5,0.6,0.0,0.0,0.4,0.0,0.0,0.2,studio,intro,intro,0,0,0,0,0,1,0,0,0.5,0,0
3,45,60,0.9,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.5,0.4,studio,intro,intro,0,0,0,0,0,2,0,0,0.4,0,0
4,60,75,0.9,0.3,1,0.5,0.6,0.0,0.0,0.4,0.0,0.0,0.2,studio,main_content,intro,0,0,0,0,0,1,0,0,0.0,0,0
5,75,90,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,1,0,0,0.0,0,0
6,90,105,0.9,0.3,1,0.5,0.6,0.0,0.0,0.4,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
7,105,120,0.9,0.25,1,0.4,0.6,0.0,0.0,0.4,0.0,0.0,0.2,studio,main_content,middle,0,0,0,1,0,0,0,0,0.0,1,0
8,120,135,0.8,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.5,0.4,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
9,135,150,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.5,0.4,studio,main_content,middle,0,0,0,0,0,2,0,0,0.0,0,0
10,150,165,0.9,0.3,1,0.5,0.6,0.0,0.0,0.4,0.0,0.0,0.2,studio,main_content,middle,0,1,0,0,0,0,0,0,0.0,0,0
11,165,180,0.6,0.15,1,0.3,0.5,0.0,0.0,0.6,0.0,0.6,0.6,studio,main_content,middle,0,0,0,0,0,1,0,1,0.0,0,0
12,180,195,0.9,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.5,0.4,studio,main_content,middle,0,0,0,0,0,1,0,0,0.0,0,0
13,195,210,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.5,0.4,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
14,210,225,0.9,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.5,0.4,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
15,225,240,0.7,0.2,1,0.3,0.5,0.0,0.0,0.6,0.0,0.6,0.6,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
16,240,255,0.9,0.3,1,0.5,0.6,0.0,0.0,0.4,0.0,0.5,0.5,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
17,255,270,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.5,0.5,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
18,270,285,0.9,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.5,0.4,studio,main_content,middle,0,0,0,0,1,0,0,0,0.0,0,0
19,285,300,0.9,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,1,0,0,0,0,0.0,0,0
20,300,315,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.5,0.4,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
21,315,330,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.5,0.4,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
22,330,345,0.0,0.0,0,0.0,0.4,0.0,1.0,0.3,0.8,0.0,0.8,studio,main_content,middle,0,1,0,0,0,0,0,0,0.0,0,0
23,345,360,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.5,0.5,studio,main_content,middle,0,0,0,0,0,1,0,0,0.0,0,0
24,360,375,0.8,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.5,0.4,studio,main_content,middle,0,0,0,0,0,1,0,0,0.0,0,0
25,375,390,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,2,0,0,0.0,0,0
26,390,405,0.8,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.5,0.5,studio,main_content,middle,0,0,0,0,0,2,0,0,0.0,0,0
27,405,420,0.9,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,1,0,0,0.0,0,0
28,420,435,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.5,0.4,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
29,435,450,0.7,0.2,1,0.3,0.5,0.0,0.0,0.6,0.0,0.5,0.5,studio,main_content,middle,0,0,0,0,0,1,0,0,0.0,0,0
30,450,465,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
31,465,480,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,1,0,0,0,2,0,0,0.0,0,0
32,480,495,0.0,0.0,0,0.0,0.3,0.0,0.0,0.3,0.8,0.0,0.8,studio,main_content,middle,0,1,0,0,0,1,0,0,0.0,0,0
33,495,510,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.5,0.5,studio,main_content,middle,0,0,0,0,0,2,0,0,0.0,0,0
34,510,525,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.5,0.4,studio,main_content,middle,0,0,0,0,0,1,0,1,0.0,0,0
35,525,540,0.7,0.2,1,0.3,0.5,0.0,0.0,0.6,0.0,0.5,0.6,studio,main_content,middle,0,0,0,0,0,2,0,0,0.0,0,0
36,540,555,0.9,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,1,0,0,0.0,0,0
37,555,570,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
38,570,585,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
39,585,600,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,0,1,0,0.0,0,0
40,600,615,0.8,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.5,0.4,studio,main_content,middle,0,0,0,0,0,2,0,0,0.0,0,0
