features_file_id,features_status,idx,retention_points_raw,retention_source_file,retention_source_file_id,retention_status,status,transcript_drive_file_id,transcript_filename,transcript_path,transcript_source_type,video_folder
1oyn4MDzGN_FpSRV1xIS_PCehL4ZqGe15,downloaded,1,101,retention.csv,1A7RV7X_QLyY1E737U-rfRJoRHX3HG0wR,ok,ok,1eVkwJcjsMyZqrvFMl3MZEeJpXvxnzsAm,whisper_segments.csv,transcripts,csv_timestamps,138P93_Z_u0
1dyeof4DItV9wkQhJaO-EC2Kol6BKQGku,downloaded,2,101,retention.csv,1IkKqVMHBFKlRJBDNgoKM39hBUMuxVV3g,ok,ok,1zgK_2hxK6Xy27mEVmm6TcZuLMGTSv5VQ,whisper_segments.csv,transcripts,csv_timestamps,1J5zlq2Vs3Y
1kBgnqBBppriz-8niD0zuD1Hr3J11z24F,downloaded,3,101,retention.csv,1nW7ebM7ewGJdBZC5h_qzNLSTUm0VAseH,ok,ok,1fmROk9v4uUM4QGgDf_gS8sUkdoNcjCjv,whisper_segments.csv,transcripts,csv_timestamps,39R6j9qkzPo
1MXgIJEQF2R0Iir3U00Zj2K46gPLeMuGJ,downloaded,4,101,retention.csv,1m1VHra5gZkr4rW_9Yn5FATuwJvu28R4-,ok,ok,1sO4wrtrja37YbYpQzeD1k9H6sblOKXk0,whisper_segments.csv,transcripts,csv_timestamps,3G6JrAq-w4M
1e5TfBwMGS7zXtHVrMAlWTLoSyDTc94kx,downloaded,5,101,retention.csv,1REzaaY09bQTrBqSmJDOGnAr92UzdicJF,ok,ok,1LJbBZS8R83iMyGQthBdK14UD2YcLhBoj,whisper_segments.csv,transcripts,csv_timestamps,3MncoqWP_qg
1VjmVCJxWWROdRa-EGpiklp5i9TRTFj0y,downloaded,6,101,retention.csv,1YkQZTu9N0RrYgHGk_vWcdOSL1fJFnC_H,ok,ok,1UbOiAMFqYPFQ6i0MTlgtoiHt7IAJk5mn,whisper_segments.csv,transcripts,csv_timestamps,3PBo1GiAlbs
1Fg9lRFZx5dKHFAf8S2ky3A-fJKjN2XTU,downloaded,7,101,retention.csv,1azil_97cmc2UDmhZ6mPfZ_02Kj8_symh,ok,ok,1GEb9UvxzPWX_T-1_4bTy71X6DMm1YI3m,whisper_segments.csv,transcripts,csv_timestamps,3WA4YT8fkx8
1zuVBEie0PfOnd7ReJVivTm0oXHfd9STg,downloaded,8,101,retention.csv,1rMKhcfJ0hxH0lUsceI-SajQIe9UyQ_LV,ok,ok,1QEeECVF68KZ_XIXJe3MSm8paHr4A7M1K,whisper_segments.csv,transcripts,csv_timestamps,4WcGtcKKoWg
1ghziUa2t0KTolp1-nj53FKAwZtYasLxJ,downloaded,9,101,retention.csv,1Bd68PiLdojiw9yVLea0Y3iKp5QpjhVcq,ok,ok,1FCyizBgEzn1dWhcYzvt5JpNT0Z0E_ufe,whisper_segments.csv,transcripts,csv_timestamps,6_qPAwOsDi0
1EWO4JtqWswqTRpKPAXaPglh5zhDc_tp5,downloaded,10,101,retention.csv,1bGnVVAnh3iH0JvuS0RA1rLxK9e8VYhL7,ok,ok,1lAxYPrF6iIQJOssHT4qPtQ4ue-5yynnG,whisper_segments.csv,transcripts,csv_timestamps,6Ha1lqRKMig
12r0nL8s6R4NXmVWvW0p8kbO1sKini2cY,downloaded,11,101,retention.csv,190dPxw1fOfWr9q8ThG0ZaQFYQ3sJ3FHy,ok,ok,1oDoORuSWi7VbH4x2CPUUfe77NGmgiM3R,whisper_segments.csv,transcripts,csv_timestamps,7g_56jn0NCA
