video_folder,transcript_path,drive_file_id,duration_seconds,segments_count,channel_subscribers,interval_label_mean__pain_point,interval_label_mean__why_important,interval_label_mean__problem_consequence,interval_label_mean__promise_result,interval_label_mean__solution_simple,interval_label_mean__solution_fast,interval_label_mean__solution_radical,interval_label_mean__trigger_watch_to_end,interval_label_mean__trigger_urgency,interval_label_mean__quick_tip,abstract_total_count,abstract_intervals_with_feature,abstract_intervals_total,integration_present,integration_confidence,integration_evidence_count_max,integration_suggested_next_step_present,evidence_concreteness_density_mean,evidence_authority_intervals,evidence_analytical_intervals,evidence_water_ratio_mean,linguistic__avg_word_length,linguistic__technical_term_density,linguistic__rare_word_ratio,linguistic__foreign_terms_count,linguistic__avg_sentence_length,linguistic__subordinate_clause_ratio,linguistic__flesch_reading_ease,emotion__positive_emotion_ratio,emotion__negative_emotion_ratio,emotion__energy_density,emotion__personal_pronoun_ratio,emotion__emotional_polarity_ratio,expectation_alignment_score,expectation_mismatch_points_count,target__retention_mean,target__retention_mid,target__retention_tail,target__retention_curve_20__00,target__retention_curve_20__01,target__retention_curve_20__02,target__retention_curve_20__03,target__retention_curve_20__04,target__retention_curve_20__05,target__retention_curve_20__06,target__retention_curve_20__07,target__retention_curve_20__08,target__retention_curve_20__09,target__retention_curve_20__10,target__retention_curve_20__11,target__retention_curve_20__12,target__retention_curve_20__13,target__retention_curve_20__14,target__retention_curve_20__15,target__retention_curve_20__16,target__retention_curve_20__17,target__retention_curve_20__18,target__retention_curve_20__19,target__retention_point__000,target__retention_point__001,target__retention_point__002,target__retention_point__003,target__retention_point__004,target__retention_point__005,target__retention_point__006,target__retention_point__007,target__retention_point__008,target__retention_point__009,target__retention_point__010,target__retention_point__011,target__retention_point__012,target__retention_point__013,target__retention_point__014,target__retention_point__015,target__retention_point__016,target__retention_point__017,target__retention_point__018,target__retention_point__019,target__retention_point__020,target__retention_point__021,target__retention_point__022,target__retention_point__023,target__retention_point__024,target__retention_point__025,target__retention_point__026,target__retention_point__027,target__retention_point__028,target__retention_point__029,target__retention_point__030,target__retention_point__031,target__retention_point__032,target__retention_point__033,target__retention_point__034,target__retention_point__035,target__retention_point__036,target__retention_point__037,target__retention_point__038,target__retention_point__039,target__retention_point__040,target__retention_point__041,target__retention_point__042,target__retention_point__043,target__retention_point__044,target__retention_point__045,target__retention_point__046,target__retention_point__047,target__retention_point__048,target__retention_point__049
138P93_Z_u0,transcripts,1eVkwJcjsMyZqrvFMl3MZEeJpXvxnzsAm,1189.0,163,136000,0.065,0.027999999999999997,0.036,0.016,0.032,0.004,0.006999999999999999,0.094,0.01,0.021,103,61,100,1,0.9,3,1,0.20800000000000002,2,0,0.6589999999999999,1.8035134255722491,0.0,0.9237331296154826,2.5686274509803924,2.2964052287581698,0.06601307189542484,140.8725163398693,0.196,0.069,0.2825,0.062,0.138,0.1,5,0.6535328947368421,0.6675,0.3675,1.0,0.7610526315789474,0.75,0.47092105263157896,0.6323684210526317,0.7148684210526316,0.746842105263158,0.6975,0.6892105263157894,0.687236842105263,0.6675,0.6457894736842105,0.6375,0.6375,0.6225,0.615,0.5909210526315789,0.5814473684210526,0.555,0.3675,1.0,0.8738265306122448,0.765,0.75,0.75,0.75,0.7481632653061224,0.6203571428571427,0.47739795918367345,0.5292857142857144,0.6122448979591837,0.6851020408163266,0.7086734693877551,0.7164795918367347,0.72,0.7337755102040817,0.7255102040816326,0.6997959183673469,0.6975,0.6916836734693877,0.6824999999999999,0.6835714285714286,0.689234693877551,0.69,0.6751530612244898,0.6895408163265305,0.6675,0.6599999999999999,0.6514285714285714,0.645,0.6433163265306123,0.6375,0.6375,0.6423979591836734,0.6375,0.63,0.6225,0.6225,0.6183673469387756,0.6238775510204081,0.5980102040816326,0.5925,0.5903571428571428,0.5868367346938776,0.5790306122448978,0.57,0.5568367346938776,0.5481122448979591,0.5256122448979593,0.3675
1J5zlq2Vs3Y,transcripts,1zgK_2hxK6Xy27mEVmm6TcZuLMGTSv5VQ,1733.6,243,136000,0.102,0.071,0.043,0.003,0.008,0.0,0.018,0.024,0.002,0.0,200,88,100,0,0.9,0,1,0.242,7,2,0.634,2.6401415447297802,0.0,0.8294368987079984,6.58,3.8169999999999997,0.08566666666666667,138.83820000000003,0.1515,0.07100000000000001,0.261,0.044000000000000004,0.106,0.1,4,0.48612500000000003,0.44526315789473686,0.315,1.0,0.6730263157894737,0.6185526315789474,0.5865789473684211,0.5546052631578947,0.5301315789473684,0.5056578947368421,0.48118421052631577,0.4717105263157894,0.45473684210526316,0.44526315789473686,0.43578947368421056,0.4188157894736842,0.3975,0.39,0.3825,0.36750000000000005,0.3564473684210526,0.3375,0.315,1.0,0.7922448979591837,0.6887755102040817,0.6647448979591837,0.6350510204081632,0.6209693877551021,0.6131632653061224,0.5925,0.5850000000000001,0.5672448979591836,0.5594387755102042,0.5441326530612245,0.5288265306122448,0.5285204081632653,0.5132142857142856,0.51,0.49760204081632653,0.495,0.4819897959183673,0.4741836734693877,0.4725,0.46607142857142864,0.458265306122449,0.4579591836734694,0.45,0.4573469387755102,0.4434183673469388,0.45,0.4414285714285714,0.44112244897959185,0.43331632653061225,0.41801020408163264,0.41020408163265304,0.4023979591836735,0.40040816326530615,0.3985714285714286,0.39,0.3825,0.3825,0.37806122448979596,0.3722448979591837,0.3699489795918367,0.36749999999999994,0.36,0.35403061224489796,0.345,0.33841836734693875,0.3375,0.33030612244897967,0.315
39R6j9qkzPo,transcripts,1fmROk9v4uUM4QGgDf_gS8sUkdoNcjCjv,991.72,128,136000,0.12574257425742574,0.06435643564356436,0.05643564356435644,0.007920792079207921,0.0,0.0,0.0,0.05544554455445544,0.0,0.0,107,70,101,1,0.9,2,1,0.1900990099009901,11,0,0.6801980198019802,2.4798533166180228,0.0,0.8152873814638519,4.392156862745098,3.9689542483660127,0.08823529411764706,141.5753594771242,0.14356435643564355,0.08514851485148514,0.2207920792079208,0.05643564356435644,0.13663366336633664,0.1,4,0.5437960526315789,0.5222368421052631,0.405,1.0,0.6355263157894737,0.6260526315789474,0.6075,0.5925,0.5751315789473683,0.5625,0.555,0.54,0.5175,0.5222368421052631,0.5107894736842106,0.5025,0.49184210526315786,0.48,0.4575,0.4409210526315789,0.43144736842105263,0.4219736842105262,0.405,1.0,0.8126020408163266,0.6581632653061225,0.6309183673469387,0.6375,0.6284693877551021,0.6225,0.6128571428571429,0.6050510204081633,0.6,0.5925,0.5925,0.5813265306122448,0.5735204081632652,0.57,0.5654081632653061,0.5625,0.5572959183673469,0.555,0.5491836734693878,0.555,0.54,0.5332653061224489,0.5179591836734694,0.5175,0.5175,0.525,0.516734693877551,0.5164285714285713,0.51,0.5083163265306123,0.5025,0.5122959183673469,0.4998979591836734,0.4904081632653061,0.48,0.48,0.4686734693877551,0.4608673469387755,0.4575,0.45000000000000007,0.4425,0.435,0.435,0.4290306122448979,0.4275,0.4275,0.42,0.41280612244897963,0.405
3G6JrAq-w4M,transcripts,1sO4wrtrja37YbYpQzeD1k9H6sblOKXk0,932.48,278,136000,0.06831683168316832,0.05148514851485149,0.07623762376237624,0.05742574257425742,0.007920792079207921,0.0,0.010891089108910892,0.04356435643564357,0.041584158415841586,0.017821782178217824,132,76,101,1,0.9,3,1,0.18613861386138614,25,3,0.6806930693069307,1.7632275132275133,0.0,0.8728291316526611,1.9215686274509804,2.3333333333333335,0.1437908496732026,132.1930392156863,0.13910891089108912,0.06683168316831684,0.2198019801980198,0.04108910891089109,0.15841584158415842,0.1,3,0.7940394736842105,0.8202631578947369,0.6525,1.0,0.9067105263157894,0.6335526315789474,0.69,0.6856578947368422,0.8972368421052631,0.8806578947368422,0.8711842105263158,0.8399999999999999,0.8419736842105263,0.8202631578947369,0.8242105263157894,0.8088157894736843,0.7961842105263157,0.7673684210526316,0.7575,0.75,0.735,0.7219736842105262,0.6525,1.0,0.9986734693877551,0.9362755102040816,0.8579081632653062,0.7853571428571429,0.635969387755102,0.6673469387755102,0.69,0.680204081632653,0.6402551020408163,0.6603061224489796,0.7559693877551021,0.7942346938775509,0.9004591836734693,0.8957142857142857,0.885,0.8775,0.8775,0.8719897959183673,0.8625,0.8488775510204082,0.84,0.8400000000000001,0.8470408163265307,0.8251530612244897,0.825,0.8175000000000001,0.8175,0.8185714285714285,0.825,0.8158163265306123,0.8080102040816326,0.795,0.7976020408163266,0.7875,0.7767857142857142,0.7689795918367346,0.765,0.7575,0.753061224489796,0.75,0.75,0.7446428571428573,0.7425,0.735,0.7349999999999999,0.7275,0.72,0.7203061224489796,0.6525
3MncoqWP_qg,transcripts,1LJbBZS8R83iMyGQthBdK14UD2YcLhBoj,1012.58,274,136000,0.048999999999999995,0.034,0.03,0.021,0.022000000000000002,0.0,0.0,0.02,0.002,0.02,110,63,100,1,0.9,2,1,0.172,5,0,0.723,2.232730158730159,0.0,0.8872301587301586,2.08,2.5366666666666666,0.10166666666666666,140.50263333333334,0.124,0.038000000000000006,0.1895,0.037000000000000005,0.115,0.2,4,0.7022039473684211,0.677763157894737,0.45,1.0,0.8830263157894737,0.8435526315789473,0.8174999999999999,0.8025,0.7626315789473684,0.7425,0.7286842105263157,0.7125,0.6947368421052631,0.677763157894737,0.6532894736842105,0.6536842105263158,0.641842105263158,0.6225,0.6078947368421053,0.6,0.5850000000000001,0.5644736842105262,0.45,1.0,0.9971428571428571,0.9056632653061224,0.8756632653061225,0.8612755102040817,0.8459693877551021,0.8381632653061224,0.8175,0.8150510204081632,0.8025,0.798061224489796,0.795765306122449,0.7763265306122449,0.7610204081632653,0.7532142857142856,0.7454081632653062,0.7376020408163265,0.740204081632653,0.7294897959183673,0.7216836734693878,0.7125,0.7125,0.7057653061224489,0.6975,0.69,0.6825,0.675,0.6675,0.6589285714285714,0.6525,0.645,0.6544897959183673,0.6554081632653062,0.645,0.6345918367346939,0.63,0.6225,0.6186734693877551,0.615,0.6075,0.6027551020408164,0.6,0.6,0.5925,0.5850000000000001,0.5787244897959183,0.57,0.5556122448979592,0.5478061224489796,0.45
3WA4YT8fkx8,transcripts,1GEb9UvxzPWX_T-1_4bTy71X6DMm1YI3m,803.32,122,136000,0.01881188118811881,0.05148514851485149,0.007920792079207921,0.0059405940594059415,0.0,0.0,0.005940594059405941,0.032673267326732675,0.005940594059405941,0.0,109,67,101,0,0.9,0,1,0.20891089108910893,5,1,0.6564356435643564,1.7376944444444444,0.0,0.9416428571428571,2.44,2.7583333333333333,0.05666666666666667,140.21446666666668,0.13762376237623763,0.026237623762376237,0.2079207920792079,0.033663366336633666,0.08514851485148514,0.2,4,0.7098815789473684,0.69,0.5025,1.0,0.8530263157894737,0.8135526315789474,0.7875,0.765,0.75,0.7381578947368421,0.72,0.7057894736842105,0.705,0.69,0.6825,0.6738157894736843,0.66,0.6548684210526315,0.645,0.63,0.6189473684210527,0.6019736842105263,0.5025,1.0,0.9941326530612244,0.8756632653061224,0.8465816326530613,0.8237755102040816,0.8159693877551021,0.8006632653061225,0.7928571428571429,0.7850510204081632,0.7847448979591837,0.7694387755102041,0.7616326530612245,0.75,0.75,0.7457142857142858,0.7425,0.7301020408163266,0.722295918367347,0.72,0.7141836734693877,0.7063775510204081,0.7114285714285714,0.72,0.7054591836734693,0.705,0.69,0.6895408163265306,0.6825,0.6825,0.6824999999999999,0.6883163265306123,0.6730102040816327,0.665204081632653,0.66,0.66,0.6525,0.6564795918367347,0.645,0.645,0.645,0.6375,0.6324489795918367,0.63,0.6243367346938776,0.6165306122448979,0.615,0.6075,0.6,0.5925,0.5025
4WcGtcKKoWg,transcripts,1QEeECVF68KZ_XIXJe3MSm8paHr4A7M1K,771.3,111,136000,0.07623762376237624,0.06534653465346535,0.04455445544554455,0.04554455445544554,0.06930693069306931,0.005940594059405941,0.008910891089108912,0.046534653465346534,0.0029702970297029703,0.046534653465346534,74,52,101,1,0.9,2,1,0.29207920792079206,3,4,0.601980198019802,1.5241060606060606,0.0,0.912142857142857,1.0,1.9216666666666666,0.06333333333333332,132.49803333333335,0.15544554455445544,0.03663366336633664,0.2376237623762376,0.04504950495049505,0.10693069306930694,0.1,4,0.8001184210526315,0.7949999999999999,0.51,1.0,0.8924999999999998,0.8885526315789474,0.8640789473684212,0.8553947368421053,0.8475,0.8325,0.8388157894736842,0.8175,0.7949999999999999,0.7949999999999999,0.7807894736842105,0.7725,0.7713157894736842,0.7650000000000001,0.7575,0.7559210526315788,0.7425,0.72,0.51,1.0,0.9974489795918368,0.9062755102040816,0.8906632653061224,0.8862244897959184,0.890969387755102,0.8775,0.8753571428571428,0.8625,0.8625,0.8594387755102041,0.8625,0.855,0.8475,0.8475,0.8354081632653061,0.8276020408163265,0.825,0.8380102040816326,0.8266836734693876,0.8175000000000001,0.8175,0.803265306122449,0.795,0.795,0.795,0.7945408163265307,0.780765306122449,0.7864285714285714,0.78,0.7783163265306122,0.7725,0.7725,0.7698979591836734,0.7741836734693879,0.765,0.765,0.7575,0.7575,0.7575,0.7622448979591836,0.7623979591836734,0.7446428571428573,0.7425,0.7425,0.7299489795918369,0.72,0.7131122448979591,0.7053061224489796,0.51
6_qPAwOsDi0,transcripts,1FCyizBgEzn1dWhcYzvt5JpNT0Z0E_ufe,1094.28,160,136000,0.035,0.18600000000000003,0.006999999999999999,0.11900000000000001,0.026999999999999996,0.012999999999999998,0.161,0.057999999999999996,0.006999999999999999,0.0,243,94,100,1,0.9,2,1,0.276,31,4,0.6225,1.8100561139488476,0.0,0.9186961058933377,2.411764705882353,2.3302054154995333,0.08940242763772176,140.82857609710553,0.131,0.0335,0.21100000000000002,0.0365,0.09,0.0,4,0.7279210526315789,0.7125,0.495,1.0,0.9055263157894737,0.8775,0.841578947368421,0.8025,0.78,0.765,0.75,0.7342105263157894,0.7172368421052631,0.7125,0.6975,0.6825,0.675,0.6525,0.6375,0.6209210526315789,0.6114473684210526,0.6,0.495,1.0,0.9950510204081633,0.9143877551020408,0.8990816326530612,0.885,0.8775,0.8681632653061224,0.8528571428571429,0.84,0.8269897959183673,0.8113775510204082,0.7991326530612245,0.7913265306122449,0.78,0.7725,0.765,0.765,0.7575000000000001,0.75,0.7441836734693877,0.7425,0.7285714285714285,0.7275,0.72,0.7125,0.7125,0.7120408163265307,0.7117346938775511,0.6975,0.6975,0.6883163265306123,0.6825,0.675,0.675,0.675,0.66,0.6525,0.645,0.6375,0.633061224489796,0.6252551020408164,0.6225,0.615,0.63,0.609030612244898,0.6012244897959185,0.6,0.5862244897959183,0.5778061224489794,0.495
6Ha1lqRKMig,transcripts,1lAxYPrF6iIQJOssHT4qPtQ4ue-5yynnG,1044.3999999999999,139,136000,0.11386138613861387,0.07722772277227723,0.032673267326732675,0.01386138613861386,0.034653465346534656,0.00693069306930693,0.010891089108910892,0.06534653465346535,0.0009900990099009901,0.0029702970297029708,141,71,101,0,0.9,0,0,0.18118811881188118,1,1,0.7138613861386138,2.2519649122807017,0.0,0.8394181286549707,4.02,3.162555555555555,0.06666666666666667,139.6889777777778,0.1417821782178218,0.07920792079207921,0.19554455445544555,0.03693069306930693,0.1600990099009901,0.0,4,0.6003026315789474,0.5782894736842106,0.42,1.0,0.8325,0.7235526315789473,0.560921052631579,0.5928947368421053,0.6525,0.63,0.6086842105263158,0.6075,0.5925,0.5782894736842106,0.5625,0.555,0.5443421052631578,0.5325,0.5253947368421052,0.51,0.5025,0.47447368421052627,0.42,1.0,0.9347448979591837,0.8393877551020408,0.8269897959183674,0.7550510204081632,0.7259693877551021,0.6958163265306123,0.5764285714285715,0.5625,0.5727551020408163,0.5925,0.6134693877551021,0.6525,0.6525,0.645,0.6329081632653061,0.63,0.617295918367347,0.6094897959183674,0.6075,0.6075,0.6075,0.6,0.5925,0.58515306122449,0.58515306122449,0.57,0.569234693877551,0.5625,0.555,0.555,0.555,0.5475,0.5475,0.54,0.54,0.5325,0.525,0.5291326530612245,0.525,0.5175,0.51,0.51,0.5025,0.5025,0.4887244897959184,0.48091836734693877,0.4656122448979592,0.45030612244897966,0.42
7g_56jn0NCA,transcripts,1oDoORuSWi7VbH4x2CPUUfe77NGmgiM3R,1747.96,593,136000,0.09207920792079206,0.14356435643564355,0.04554455445544555,0.08217821782178218,0.008910891089108912,0.007920792079207921,0.1188118811881188,0.07425742574257425,0.0019801980198019802,0.011881188118811881,239,89,101,1,0.9,2,1,0.23564356435643566,8,4,0.6485148514851485,1.9678822491322492,0.0,0.8792422284922284,4.0,2.972047619047619,0.11699999999999999,139.9366380952381,0.16435643564356436,0.0707920792079208,0.2584158415841584,0.04207920792079208,0.1425742574257426,0.0,4,0.6547368421052632,0.625263157894737,0.495,1.0,0.8080263157894737,0.7685526315789474,0.650921052631579,0.6978947368421052,0.7002631578947368,0.6825,0.6611842105263158,0.6592105263157895,0.6477631578947369,0.625263157894737,0.6284210526315789,0.6075,0.6,0.5925,0.5778947368421051,0.5759210526315788,0.5664473684210526,0.5494736842105263,0.495,1.0,0.8906632653061224,0.8237755102040816,0.8015816326530611,0.7787755102040816,0.770969387755102,0.7463265306122449,0.6664285714285714,0.6549489795918367,0.6552551020408164,0.6753061224489796,0.705,0.7126530612244897,0.6970408163265305,0.6857142857142857,0.6825,0.6776020408163266,0.6802040816326531,0.6619897959183674,0.6541836734693877,0.6538775510204081,0.6535714285714286,0.645,0.645,0.6671938775510203,0.63,0.6225,0.615,0.6171428571428572,0.615,0.6075,0.6075,0.6052040816326532,0.6048979591836734,0.6,0.5925,0.5925,0.5850000000000001,0.5850000000000001,0.5819387755102041,0.5802551020408163,0.5774999999999999,0.57,0.57,0.5640306122448979,0.5625,0.555,0.5406122448979592,0.5325,0.495
